"species","Sample","treat","pred_abun","pred_mg","herb_abun","herb_mg","omni_abun","omni_mg","total_abun","total_mg","plant","sample_g","plant_wt","vaccum","abun","vac_sec","vac_min"
"ARCA","ARCA1","C",0.00138889037758295,0.00280874798836674,0.00324266669717008,0.00182888788382214,3,3.77039252946035,0.00365407301883207,0.00352418063268436,1,7.827,791,"2:28",7,148,2.46666666666667
"ARCA","ARCA10","C",0.00153351146141581,0.00139348354687953,0.00402387849527255,0.00249844461895861,2,0.10670319602532,0.00416061959700615,0.00276714077364245,10,4.444,904,"3:30",12,210,3.5
"ARCA","ARCA11","T",0.00122680916913265,0.00214107943746704,0.00312067303063377,0.00240723097699165,0,0,0.00319550257756126,0.00286338490692412,11,6.899,1130,"3:58",29,238,3.96666666666667
"ARCA","ARCA14","C",0.00467089792852258,0.00466985843337252,0.00601981837462328,0.00395067342993855,1,5.22234407085637,0.00669768076799692,0.00586799156072589,14,8,565,"1:32",34,92,1.53333333333333
"ARCA","ARCA2","T",0,0,0.00441848417928317,0.00492482925608218,0,0,0.00441848417928317,0.00492482925608218,2,4.998,678,"3:47",20,227,3.78333333333333
"ARCA","ARCA3","T",0.00102234097427721,0.00175142067005611,0.00544082515356038,0.00395352475008825,3,0.422570249283479,0.00558140063999744,0.00420403287655362,3,4.544,678,"3:03",30,183,3.05
"ARCA","ARCA4","T",0.00175258452733235,0.00304581433598558,0.00358181206581064,0.00331671406636353,1,0.653516130647452,0.00384895377714718,0.00404709043516228,4,5.932,791,"3:49",18,229,3.81666666666667
"ARCA","ARCA5","C",0.00368042750739794,0.00400100102572851,0.00511570222636489,0.00367887152628252,1,0.400329065064269,0.00576654254517076,0.00501264205414466,5,8.675,565,"3:36",19,216,3.6
"ARCA","ARCA6","T",0.00121527908038508,0.00189250044441002,0.00364583724115523,0.00282413374072528,0,0,0.00372488476768415,0.00315849535077946,6,9.91,904,"3:33",32,213,3.55
"ARCA","ARCA7","T",0.00191338264410552,0.0027913823919691,0.00266278289193924,0.002460767981824,0,0,0.00299363071555892,0.0032873330814214,7,7.983,1017,"3:23",10,203,3.38333333333333
"ARCA","ARCA8","C",0.00226518264124912,0.00264480743234867,0.0039077654277602,0.00282202067938381,0,0,0.00416667113274884,0.00353807819129088,8,6.868,791,"3:45",14,225,3.75
"ARCA","ARCA9","T",0.00203468762633894,0.00118115996172498,0.00365407301883207,0.00327061628341811,0,0,0.0039077654277602,0.00340968235288864,9,3.209,791,"2:42",21,162,2.7
"ARDO","ARDO1","T",0.00641931595452871,0.00850585787153282,0.0138693071471335,0.0130275770261616,0,0,0.0142243189794788,0.013846204326427,1,8.113,279.12,"1:58",32,118,1.96666666666667
"ARDO","ARDO10","C",0.00384407641261608,0.00406556268607866,0.00727171691440581,0.00683290732611179,2,0.439494053196198,0.0078719711139876,0.00742595643789562,10,1.098,418.68,"2:01",24,121,2.01666666666667
"ARDO","ARDO11","C",0.0046128916951393,0.0041656325732261,0.00885939367543226,0.00775845702573313,0,0,0.00933819586707218,0.00832545942233667,11,3.533,348.9,"2:21",25,141,2.35
"ARDO","ARDO12","T",0,0,0.0131253999932991,0.0107070038175679,4,0.941234729603157,0.0134752082104241,0.0108729264488664,12,NA,279.12,"2:57",42,177,2.95
"ARDO","ARDO13","C",0.00496666079506983,0.00425923131644414,0.00945492021214982,0.00828938108244851,5,3.64799873586804,0.0110742420942903,0.00994301559194954,13,2.379,279.12,"2:40",16,160,2.66666666666667
"ARDO","ARDO3","T",0.00366818054544498,0.00351977115062335,0.00770011897738518,0.00718768546961405,0,0,0.00792531836979055,0.00745021122843344,3,8,488.46,"2:05",31,125,2.08333333333333
"ARDO","ARDO4","T",0.00248333039753491,0.00440069920340438,0.00689693967058981,0.00551101907436877,0,0,0.00700777981769158,0.00622766745696719,4,NA,558.24,"2:12",49,132,2.2
"ARDO","ARDO5","T",0,0,0.0101505207224714,0.00710125392719228,0,0,0.0101505207224714,0.00710125392719228,5,1.611,279.12,"2:19",7,139,2.31666666666667
"ARDO","ARDO6","T",0.00398376560835138,0.00374917232233269,0.00554405724338167,0.00338020191826457,0,0,0.00623290021234783,0.00480502264915393,6,2.023,488.46,"1:56",9,116,1.93333333333333
"ARDO","ARDO7","T",0.00331110719671322,0.00612115406824411,0.00572727446450361,0.00396095098254475,1,1.94352269347208,0.00646806678394528,0.00705350139006069,7,1.766,418.68,"2:14",8,134,2.23333333333333
"ARDO","ARDO8","C",0.00110370239890441,0.000374122569526754,0.00512543521682144,0.00447169406153069,1,0.0341,0.0052479807426584,0.00450014585483263,8,3.522,628.02,"2:30",13,150,2.5
"ARDO","ARDO9","C",0.00256271760841072,0.00408487005799798,0.00512543521682144,0.0032925280561389,0,0,0.00536176527815432,0.00476316466693347,9,NA,628.02,"2:51",29,171,2.85
"ENCA","ENCA1","T",0.00731895367182401,0.00986102309666301,0.0131440280031658,0.0102010854776804,0,0,0.014056582325413,0.0129288812986501,1,NA,219.9,"2:58",8,178,2.96666666666667
"ENCA","ENCA10","C",0,0,0.00276533388622003,0.00108604419764879,0,0,0.00276533388622003,0.00108604419764879,10,22.222,703.68,"3:42",8,222,3.7
"ENCA","ENCA11","C",0.00131337574003324,0.000903047539197404,0.00536837453398555,0.00369929390943943,0,0,0.00547667833465243,0.00385677939061712,11,11.491,527.76,"4:26",7,266,4.43333333333333
"ENCA","ENCA12","T",0.00525350296013298,0.00956347244036318,0.0102624306544725,0.00675560345621531,0,0,0.0109533566693049,0.0108290704710018,12,5.308,263.88,"2:30",7,150,2.5
"ENCA","ENCA14","T",0,0,0.0118203816602992,0.00631149256597888,0,0,0.0118203816602992,0.00631149256597888,14,9.761,175.92,"2:40",7,160,2.66666666666667
"ENCA","ENCA2","C",0.00254627027800713,0.00231021007835962,0.00364505081494648,0.00213290516823168,1,0.653516130647452,0.00418434370618241,0.00315693235768996,2,6.545,703.68,"4:28",10,268,4.46666666666667
"ENCA","ENCA3","T",0.00112575063431421,0.00218954249657945,0.0047821070927799,0.0041687112464201,3,0.1023,0.00509240274139081,0.00450057696375241,3,NA,615.72,"4:00",14,240,4
"ENCA","ENCA4","C",0.00225150126862842,0.00202413273580647,0.00572721452058754,0.00458838832393006,0,0,0.00586454543078709,0.00481100841028641,4,11.47,615.72,"3:38",32,218,3.63333333333333
"ENCA","ENCA5","C",0.00315210177607979,0.00274522809133731,0.00702829116270649,0.00544270267407044,0,0,0.00731895367182401,0.00588371188956987,5,4.747,439.8,"2:58",26,178,2.96666666666667
"ENCA","ENCA6","T",0.00262675148006649,0.00467070113299019,0.00513121532723626,0.00334919573429672,0,0,0.00547667833465243,0.00532556290610242,6,17.766,527.76,"4:45",11,285,4.75
"ENCA","ENCA7","C",0.00166532103784767,0.00213414067285487,0.00454105240799453,0.00431913539945407,0,0,0.00468552744180433,0.00456836274684119,7,17.998,659.7,"3:15",16,195,3.25
"ENCA","ENCA8","T",0.00175116765337766,0.00254049263828897,0.00378421033999544,0.0039556416536979,4,4.68497899582589,0.00416330259461918,0.00445687436246785,8,NA,791.64,"4:44",36,284,4.73333333333333
"ENCA","ENCA9","T",0.00245807456552892,0.00265141111896755,0.00390460620150361,0.00426661139747338,2,0.0682,0.00429639404484634,0.00454505588323913,9,NA,791.64,"4:44",36,284,4.73333333333333
"ERFA","ERFA1","C",0.00194585856757667,0.00320463586634657,0.00583757570273,0.00378855273215459,2,7.02701496255823,0.0060822671398451,0.00536044676489458,1,23.456,564.59,"3:26",30,206,3.43333333333333
"ERFA","ERFA10","T",0.00481984613274035,0.0057629024825256,0.00665240581572844,0.00490500850267599,1,0.653516130647452,0.00738149273567949,0.00680055251320934,10,4.186,477.73,"2:43",36,163,2.71666666666667
"ERFA","ERFA11","T",0.00247054710635367,0.00281107211963475,0.00443682824145547,0.00270425510854936,10,0.341,0.0053200336216129,0.00373637073362638,11,18.28,651.45,"2:51",26,171,2.85
"ERFA","ERFA12","T",0.00298704451462939,0.00228590430371027,0.00505923227569933,0.0032297874230478,2,0.321158637940789,0.00545759162098306,0.00380849825815163,12,10.856,651.45,"2:44",23,164,2.73333333333333
"ERFA","ERFA13","T",0.00589375174904791,0.00563947367987622,0.00912005763705069,0.00538026815904129,0,0,0.0100145470139911,0.00746926321663374,13,5.252,304.01,"2:13",16,133,2.21666666666667
"ERFA","ERFA2","T",0.00361373733978524,0.0042444301748336,0.00408688307915529,0.00230485371458479,26,0.8866,0.00629690042513255,0.00467455244664326,2,22.282,608.02,"3:38",43,218,3.63333333333333
"ERFA","ERFA3","T",0,0,0.00566857890670925,0.00200727945220764,3,0.974674768588241,0.00605022032925746,0.00267173371272708,3,20.992,477.73,"2:30",17,150,2.5
"ERFA","ERFA4","C",0.00448056677194408,0.00238671941083083,0.00689784083249825,0.0043987521086202,3,0.236923222685379,0.00775338666817056,0.00501063668546197,4,17.533,434.3,"2:00",25,120,2
"ERFA","ERFA5","C",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERFA","ERFA6","T",NA,NA,NA,NA,5,4.66805519191317,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERFA","ERFA7","C",0.00168446393615023,0.00162459470494278,0.00336892787230046,0.00214318792280038,2,1.81642160754831,0.00359406694627211,0.00270750838982821,7,10.366,955.46,"4:25",36,265,4.41666666666667
"ERFA","ERFA8","T",0.000665004202701613,0.00113925014803328,0.00319691122704659,0.00177026868804105,0,0,0.0032305777784044,0.00206529265041037,8,14.982,1042.32,"3:30",18,210,3.5
"ERFA","ERFA9","C",0.00252001592602717,0.00217263113042269,0.00290594092465597,0.0020291917887638,11,2.3565203676873,0.00408072982535293,0.0030799471030229,9,25.013,825.17,"4:55",23,295,4.91666666666667
"ERPA","ERPA1","T",0.00127830329846552,0.00121543873416866,0.00330436609108154,0.0039202877113006,1,0.653516130647452,0.00383490989539657,0.00424006899415602,1,9.669,542.24,"2:58",10,178,2.96666666666667
"ERPA","ERPA10","C",0.00163622822203587,0.00188955720484854,0.00283020982330879,0.00191146504627439,1,0.00529158468263005,0.00319628232647059,0.00259511991357524,10,12.456,847.25,"3:17",17,197,3.28333333333333
"ERPA","ERPA11","T",0.00272704703672645,0.00161174044905523,0.00519141797898153,0.00148493193592965,0,0,0.00557335171448061,0.00240520614215066,11,6.26,508.35,"2:39",16,159,2.65
"ERPA","ERPA12","T",0.00249947649894255,0.00243469829068635,0.00385909001225016,0.00286088542306663,3,0.540905664538888,0.00457274926490727,0.00367326852864787,12,9.333,643.91,"2:40",14,160,2.66666666666667
"ERPA","ERPA13","T",0.00115775016720915,0.00108080852197269,0.00343347862625035,0.00225787835548125,0,0,0.00351157580214897,0.00245869213684647,13,10.743,948.92,"4:02",28,242,4.03333333333333
"ERPA","ERPA2","C",0,0,0.00318991205051525,0.00199076868371581,0,0,0.00318991205051525,0.00199076868371581,2,NA,610.02,"3:52",6,232,3.86666666666667
"ERPA","ERPA3","T",0.00358865105682966,0.00407914569246897,0.00533042888369756,0.00581803223070313,0,0,0.00586097268801259,0.00636717865177009,3,9.576,542.24,"2:28",16,148,2.46666666666667
"ERPA","ERPA4","C",0.00163622822203587,0.00156472984657813,0.00341147448556644,0.00307467129033498,0,0,0.00359341686364523,0.00329411522161235,4,23.779,847.25,"3:29",19,209,3.48333333333333
"ERPA","ERPA5","T",0.00294813523261332,0.00329161381965426,0.00418166295571722,0.00251492849737795,0,0,0.00453535882526057,0.00375934843380752,5,36.256,813.36,"2:30",11,150,2.5
"ERPA","ERPA6","C",0,0,0.00840939430661794,0.00398137848081626,0,0,0.00840939430661794,0.00398137848081626,6,NA,305.01,"1:20",12,80,1.33333333333333
"ERPA","ERPA7","T",0.00180466348018662,0.00249772224678915,0.00199832077221638,0.00120849489414541,10,2.19747026598099,0.00286032394251673,0.00272122576113456,7,13.662,1152.26,"4:25",29,265,4.41666666666667
"ERPA","ERPA8","C",0.00182309853301051,0.00219018874375603,0.00327517610206266,0.00297243735256381,0,0,0.00346068658404184,0.00332182506792546,8,9.854,982.81,"2:12",18,132,2.2
"ISME","ISME1","T",0.00158079543094313,0.00128210769877988,0.00292481909945897,0.00308657083406314,0,0,0.00316159086188627,0.00323470428203911,1,6.356,876.96,"3:44",12,224,3.73333333333333
"ISME","ISME10","C",0,0,0.00384304735421027,0.00459685077563703,2,0.501740676406959,0.00396531513413167,0.00461460979432258,10,4.765,779.52,"2:30",16,150,2.5
"ISME","ISME11","C",0.00112747566571029,0.000917817674332158,0.00355678971962205,0.00377074587123751,0,0,0.00361900710654368,0.00380771145036785,11,6.096,974.4,"3:20",15,200,3.33333333333333
"ISME","ISME12","C",0.00101622563417773,0.000552878787549531,0.00251729064368193,0.00218446887620067,2,0.620076091662369,0.002626905156621,0.00224675892632456,12,13.111,1364.16,"3:00",26,180,3
"ISME","ISME13","C",0,0,0.00417961891679685,0.00408950778898698,0,0,0.00417961891679685,0.00408950778898698,13,7.2,779.52,"2:55",15,175,2.91666666666667
"ISME","ISME2","T",0.00229854201204338,0.00264858308982947,0.00318773944194889,0.00246284257112444,2,0.0868525518476211,0.00377724622737895,0.00336601023316398,2,NA,779.52,"3:40",18,220,3.66666666666667
"ISME","ISME3","T",0.0012527507396781,0.00217636902413437,0.00250550147935621,0.00341219376831897,0,0,0.00273432684820102,0.00370092565781842,3,4.863,876.96,"2:08",7,128,2.13333333333333
"ISME","ISME4","T",0.00129337807986256,0.00151699676963153,0.00264331742056297,0.00228020341955007,0,0,0.00279494353033474,0.00256328863497638,4,10.228,1071.84,"3:19",16,199,3.31666666666667
"ISME","ISME5","T",0.00158079543094313,0.00250742411429058,0.00300932463238376,0.00259930404383415,0,0,0.00323072129179919,0.00328231493031455,5,5.367,876.96,"3:37",14,217,3.61666666666667
"ISME","ISME6","T",0,0,0.00598061638181869,0.00562542562165132,0,0,0.00598061638181869,0.00562542562165132,6,8.878,584.64,"3:18",13,198,3.3
"ISME","ISME7","T",0.000939563054758578,0.00096728922804111,0.00225699347428782,0.00206447743032938,0,0,0.0023711931464147,0.00221163964262345,7,9.677,1169.28,"4:29",5,269,4.48333333333333
"ISME","ISME8","T",0.002626905156621,0.00221175648487694,0.00465935642497646,0.0052011716858817,0,0,0.00493680481759687,0.00534272171668331,8,7.682,682.08,"4:10",24,250,4.16666666666667
"ISME","ISME9","C",0.00102497787791845,0.000658465445539859,0.00296504499771229,0.00303323922813706,0,0,0.00303972284857953,0.00306957428289872,9,12.921,1071.84,"3:05",15,185,3.08333333333333
"LUAL","LUAL1","T",0.00636745494712019,0.00529642539692684,0.013456232717448,0.0112050088072511,2,0.873263157245551,0.0141775555406556,0.0119824180334935,1,NA,252.76,"3:51",35,231,3.85
"LUAL","LUAL10","T",0.00217323209500734,0.000545981210413591,0.00411347037046969,0.00480944449874648,0,0,0.00455488426371666,0.00486397034697382,10,15.044,505.52,"3:03",15,183,3.05
"LUAL","LUAL11","T",0.00411347037046969,0.00508754612178474,0.00679297991075555,0.00677486178589878,4,0.878988106392396,0.00739371264892263,0.00747158981918998,11,13.517,505.52,"3:09",42,189,3.15
"LUAL","LUAL12","T",0.00274231358031312,0.00304875806635117,0.00492914176594842,0.00418079534198891,3,0.659241079794297,0.00521079775093821,0.00463347204509645,12,5.041,758.28,"2:31",41,151,2.51666666666667
"LUAL","LUAL13","T",0.00109692543212525,0.000215243339223309,0.00567102221626224,0.00501847986698787,0,0,0.00571438188422887,0.00502812371374001,13,5.249,631.9,"2:18",38,138,2.3
"LUAL","LUAL2","C",0.00274231358031312,0.0043941267832635,0.00582457465415105,0.00393340152783563,6,2.21084523362102,0.00659163734407185,0.00568819929259746,2,1.458,505.52,"2:11",33,131,2.18333333333333
"LUAL","LUAL3","C",0.00289764279334312,0.0015172217397433,0.00632456420530245,0.00415341400490646,3,1.917833218891,0.00731283621416833,0.00532311240107455,3,3.564,379.14,"2:41",20,161,2.68333333333333
"LUAL","LUAL4","T",0.00217323209500734,0.00320218697062454,0.00522048055391529,0.00134903580052371,1,0.0341,0.00560455242929304,0.00356365958745526,4,10.151,505.52,"2:42",6,162,2.7
"LUAL","LUAL5","C",0.0021938508642505,0.00114782272820836,0.00835276888626447,0.00397213402142756,2,0.253847026598099,0.00896728388686886,0.0045412284056463,5,9.867,315.95,"2:35",20,155,2.58333333333333
"LUAL","LUAL6","T",0.0042449699647468,0.00494587685097686,0.00714261275808991,0.00638879337769605,5,2.28170702988315,0.00838226995396937,0.00777647063228613,6,13.333,379.14,"2:46",23,166,2.76666666666667
"LUAL","LUAL7","T",0.00379473852318147,0.00447352730231796,0.00527330987525748,0.00418515117807054,2,5.91290554130514,0.00583775827522383,0.00566584277212176,7,NA,631.9,"3:31",39,211,3.51666666666667
"LUAL","LUAL8","C",0,0,0.00404878601219259,0.00387341926491474,0,0,0.00404878601219259,0.00387341926491474,8,13.862,568.71,"3:04",9,184,3.06666666666667
"LUAL","LUAL9","C",0.0008437887939425,0.000580170145333149,0.00405639221173653,0.00295911841719356,0,0,0.00409910992487428,0.00302280442068191,9,13.353,821.47,"2:01",33,121,2.01666666666667
"SAAP","SAAP1","T",0.00135726452469506,0.00223944420965736,0.00241733689251568,0.00224174046102896,0,0,0.00253720175749905,0.00270987598532942,1,NA,1433.7,"2:47",34,167,2.78333333333333
"SAAP","SAAP10","T",0.00105241545853872,0.00115960325643124,0.00277810161778704,0.00221857156848059,0,0,0.00281443888182947,0.00231809487529285,10,NA,1529.28,"2:45",70,165,2.75
"SAAP","SAAP11","T",0.000604334223128919,0.000263892506799714,0.00333807752361817,0.00341873233968317,0,0,0.00335682813847916,0.00342481870746598,11,NA,1146.96,"2:32",48,152,2.53333333333333
"SAAP","SAAP12","C",0.000805778964171892,0.000481153349646417,0.00353923698324083,0.00278159349063929,0,0,0.00359331619046095,0.00283481704430121,12,1.286,860.22,"2:20",16,140,2.33333333333333
"SAAP","SAAP15","T",0.00335445354344729,0.00416336852219393,0.00426095487814067,0.00385050375851312,1,0.10141161134269,0.00479122416578997,0.00489523385647512,15,16.134,764.64,"4:15",37,255,4.25
"SAAP","SAAP2","C",0.00181300266938676,0.00157171516421895,0.00468654391407213,0.00369437240543183,0,0,0.00479122416578997,0.0038634074634556,2,NA,764.64,"2:51",32,171,2.85
"SAAP","SAAP3","T",0.00241733689251568,0.00307424542604022,0.0030998012672538,0.00303900021260914,3,1.3411322612949,0.0034615783580527,0.00366558744832701,3,NA,1146.96,"2:18",46,138,2.3
"SAAP","SAAP4","C",0.000853177726770239,0.00104571229869361,0.00218809501217915,0.00173431741520206,0,0,0.0022387074330874,0.00187992268949637,4,NA,1624.86,"4:31",31,271,4.51666666666667
"SAAP","SAAP5","T",0,0,0.00334504467154687,0.00303027425039123,9,1.97772323938289,0.00417902249222849,0.00331372095679867,5,NA,716.85,"2:39",19,159,2.65
"SAAP","SAAP6","C",0.00120866844625784,0.000820819630913256,0.00290524910212667,0.00230477341154439,1,0.219747026598099,0.0030216711156446,0.00240887872541999,6,7.58,1146.96,"2:34",32,154,2.56666666666667
"SAAP","SAAP7","T",0.00226210754115844,0.00278338872361971,0.00387366546950222,0.00386737327757899,0,0,0.00409937053848569,0.00422283239605426,7,NA,860.22,"2:40",22,160,2.66666666666667
"SAAP","SAAP8","C",0,0,0.00339316131173766,0.00243320469069997,0,0,0.00339316131173766,0.00243320469069997,8,7.555,573.48,"3:13",5,193,3.21666666666667
"SAAP","SAAP9","T",0.000725201067754703,0.00088012793590848,0.00323398457141485,0.00329333529700812,0,0,0.0032804919605871,0.00335099409270597,9,3.5,955.8,"2:33",12,153,2.55
"SAME","SAME1","T",0.00291796092607732,0.00323370807564058,0.00636891174714043,0.00649875365029312,0,0,0.00681261449524977,0.00699609697901891,1,NA,376.5,"3:20",38,200,3.33333333333333
"SAME","SAME10","T",0.00387631503795879,0.00438032617922582,0.00552308510406331,0.00202957580515621,3,0.659241079794297,0.00641210323678924,0.00485560412207831,10,7.119,502,"3:41",12,221,3.68333333333333
"SAME","SAME11","C",0.00145898046303866,0.00118767801045054,0.00291796092607732,0.00243944286068711,3,0.659241079794297,0.00350472420931641,0.00282348323517825,11,8.657,753,"4:03",13,243,4.05
"SAME","SAME12","T",0.00276154255203165,0.00302484883961168,0.0057577126651318,0.00436139938249245,7,1.03101412171576,0.00663785758999045,0.00518852110271593,12,10.121,502,"4:29",25,269,4.48333333333333
"SAME","SAME14","T",0.00475898929409842,0.00667558239059763,0.00719269641727015,0.00657106120371915,0,0,0.00795679222723504,0.00835285487652128,14,NA,376.5,"3:01",19,181,3.01666666666667
"SAME","SAME2","C",0,0,0.00350155311129278,0.00247617345032796,2,0.620076091662369,0.00382134704828426,0.00267250847394576,2,13.579,627.5,"3:31",7,211,3.51666666666667
"SAME","SAME3","T",0.00320605161839462,0.00410821253378562,0.00510946087143732,0.00355708583445749,1,0.219747026598099,0.0057577126651318,0.00511671992412504,3,15.858,502,"4:17",24,257,4.28333333333333
"SAME","SAME4","T",NA,NA,NA,NA,11,5.96984700975323,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAME","SAME5","T",0.00350155311129278,0.00368226165994264,0.00985192813819384,0.00669126671799902,1,0.219747026598099,0.0102593651788628,0.00751134703527407,5,15.351,313.75,"3:09",25,189,3.15
"SAME","SAME6","C",0,0,0.00616516835766012,0.00611033054973964,2,0.754927741990142,0.00645011575197773,0.00622477680686904,6,9.333,439.25,"3:30",9,210,3.5
"SAME","SAME7","T",0.00250110936520913,0.00212535199376371,0.00583938385307123,0.00372392932383103,0,0,0.00616516835766012,0.00432245087327839,7,22.3,439.25,"3:15",8,195,3.25
"SAME","SAME8","C",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAME","SAME9","C",0,0,0.00524208330789766,0.00431020927706558,0,0,0.00524208330789766,0.00431020927706558,9,5.949,439.25,"3:58",5,238,3.96666666666667
