"Sample","SP","Order","abundance","size","OTHER","feed","ID","SPECIES","treat"
"ARDO11","ARDO","LEPI",1,"S","ADULT","herb","LEPI","ARDO","C"
"ERFA9","ERFA","LEPI",2,"L","ADULT","herb","LEPI","ERFA","C"
"LUAL12","LUAL","LEPI",1,"L","ADULT","herb","LEPI","LUAL","T"
"SAAP12","SAAP","LEPI",1,"L","ADULT","herb","LEPI","SAAP","C"
"SAAP2","SAAP","LEPI",1,"L","ADULT","herb","LEPI","SAAP","C"
"SAAP5","SAAP","LEPI",1,"L","ADULT","herb","LEPI","SAAP","T"
"ARDO1","ARDO","LEPID",1,"L","ADULT","herb","LEPI","ARDO","T"
"ARDO3","ARDO","LEPID",2,"L","ADULT","herb","LEPI","ARDO","T"
"SAAP11","SAAP","LEPID",1,"L","ADULT","herb","LEPI","SAAP","T"
"ARCA5","ARCA","HYME",1,"L","ANT","pred","ANT","ARCA","C"
"ARCA7","ARCA","HYME",1,"L","ANT","pred","ANT","ARCA","T"
"ARDO13","ARDO","HYME",1,"S","ANT","pred","ANT","ARDO","C"
"ENCA1","ENCA","HYME",1,"L","ANT","pred","ANT","ENCA","T"
"ENCA1","ENCA","HYME",3,"S","ANT","pred","ANT","ENCA","T"
"ENCA11","ENCA","HYME",1,"S","ANT","pred","ANT","ENCA","C"
"ENCA3","ENCA","HYME",1,"L","ANT","pred","ANT","ENCA","T"
"ENCA6","ENCA","HYME",1,"L","ANT","pred","ANT","ENCA","T"
"ENCA6","ENCA","HYME",1,"S","ANT","pred","ANT","ENCA","T"
"ENCA8","ENCA","HYME",2,"L","ANT","pred","ANT","ENCA","T"
"ENCA8","ENCA","HYME",2,"S","ANT","pred","ANT","ENCA","T"
"ENCA9","ENCA","HYME",4,"S","ANT","pred","ANT","ENCA","T"
"ERFA11","ERFA","HYME",1,"L","ANT","pred","ANT","ERFA","T"
"ERFA13","ERFA","HYME",2,"S","ANT","pred","ANT","ERFA","T"
"ERFA2","ERFA","HYME",6,"S","ANT","pred","ANT","ERFA","T"
"ERFA5","ERFA","HYME",5,"S","ANT","pred","ANT","ERFA","T"
"ERFA6","ERFA","HYME",2,"L","ANT","pred","ANT","ERFA","C"
"ERFA9","ERFA","HYME",1,"L","ANT","pred","ANT","ERFA","C"
"ERFA9","ERFA","HYME",1,"S","ANT","pred","ANT","ERFA","C"
"ERPA10","ERPA","HYME",1,"S","ANT","pred","ANT","ERPA","C"
"ERPA3","ERPA","HYME",3,"S","ANT","pred","ANT","ERPA","T"
"ERPA3.1","ERPA","HYME",1,"L","ANT","pred","ANT",NA,NA
"ERPA3.1","ERPA","HYME",9,"S","ANT","pred","ANT",NA,NA
"ISME7","ISME","HYME",1,"S","ANT","pred","ANT","ISME","T"
"ISME8","ISME","HYME",2,"S","ANT","pred","ANT","ISME","T"
"LUAL11","LUAL","HYME",1,"S","ANT","pred","ANT","LUAL","T"
"LUAL2","LUAL","HYME",1,"S","ANT","pred","ANT","LUAL","C"
"LUAL6.2","LUAL","HYME",1,"L","ANT","pred","ANT",NA,NA
"SAAP1","SAAP","HYME",1,"S","ANT","pred","ANT","SAAP","T"
"SAAP10","SAAP","HYME",1,"S","ANT","pred","ANT","SAAP","T"
"SAAP11","SAAP","HYME",1,"S","ANT","pred","ANT","SAAP","T"
"SAAP15","SAAP","HYME",6,"S","ANT","pred","ANT","SAAP","T"
"SAAP3","SAAP","HYME",14,"S","ANT","pred","ANT","SAAP","T"
"SAAP6","SAAP","HYME",1,"S","ANT","pred","ANT","SAAP","C"
"SAAP7","SAAP","HYME",1,"S","ANT","pred","ANT","SAAP","T"
"SAME10","SAME","HYME",3,"L","ANT","pred","ANT","SAME","T"
"SAME4","SAME","HYME",5,"L","ANT","pred","ANT","SAME","C"
"SAME7","SAME","HYME",1,"S","ANT","pred","ANT","SAME","T"
"ARCA11","ARCA","HEMI",8,"L","AUCH","herb","AUCH","ARCA","T"
"ARCA11","ARCA","HEMI",10,"S","AUCH","herb","AUCH","ARCA","T"
"ARCA14","ARCA","HEMI",5,"L","AUCH","herb","AUCH",NA,NA
"ARCA14","ARCA","HEMI",1,"L","AUCH","herb","AUCH",NA,NA
"ARCA14","ARCA","HEMI",2,"S","AUCH","herb","AUCH",NA,NA
"ARCA2","ARCA","HEMI",4,"L","AUCH","herb","AUCH","ARCA","T"
"ARCA2","ARCA","HEMI",1,"S","AUCH","herb","AUCH","ARCA","T"
"ARCA4","ARCA","HEMI",1,"L","AUCH","herb","AUCH","ARCA","T"
"ARCA4","ARCA","HEMI",7,"S","AUCH","herb","AUCH","ARCA","T"
"ARCA5","ARCA","HEMI",1,"L","AUCH","herb","AUCH","ARCA","C"
"ARCA5","ARCA","HEMI",1,"S","AUCH","herb","AUCH","ARCA","C"
"ARCA6","ARCA","HEMI",7,"L","AUCH","herb","AUCH","ARCA","T"
"ARCA6","ARCA","HEMI",10,"S","AUCH","herb","AUCH","ARCA","T"
"ARCA7","ARCA","HEMI",3,"L","AUCH","herb","AUCH","ARCA","T"
"ARCA9","ARCA","HEMI",8,"L","AUCH","herb","AUCH","ARCA","T"
"ARCAC2","ARCA","HEMI",5,"L","AUCH","herb","AUCH",NA,NA
"ARCAC2","ARCA","HEMI",1,"S","AUCH","herb","AUCH",NA,NA
"ARDO1","ARDO","HEMI",4,"L","AUCH","herb","AUCH","ARDO","T"
"ARDO1","ARDO","HEMI",7,"S","AUCH","herb","AUCH","ARDO","T"
"ARDO10","ARDO","HEMI",17,"S","AUCH","herb","AUCH","ARDO","C"
"ARDO11","ARDO","HEMI",4,"L","AUCH","herb","AUCH","ARDO","C"
"ARDO11","ARDO","HEMI",7,"S","AUCH","herb","AUCH","ARDO","C"
"ARDO13","ARDO","HEMI",1,"L","AUCH","herb","AUCH","ARDO","C"
"ARDO3","ARDO","HEMI",6,"L","AUCH","herb","AUCH","ARDO","T"
"ARDO3","ARDO","HEMI",7,"S","AUCH","herb","AUCH","ARDO","T"
"ARDO6","ARDO","HEMI",1,"L","AUCH","herb","AUCH","ARDO","T"
"ARDO6","ARDO","HEMI",3,"S","AUCH","herb","AUCH","ARDO","T"
"ARDO7","ARDO","HEMI",2,"L","AUCH","herb","AUCH","ARDO","T"
"ARDO7","ARDO","HEMI",4,"S","AUCH","herb","AUCH","ARDO","T"
"ARDO8","ARDO","HEMI",8,"L","AUCH","herb","AUCH","ARDO","C"
"ARDO8","ARDO","HEMI",10,"S","AUCH","herb","AUCH","ARDO","C"
"ENCA1","ENCA","HEMI",1,"L","AUCH","herb","AUCH","ENCA","T"
"ENCA1","ENCA","HEMI",1,"S","AUCH","herb","AUCH","ENCA","T"
"ENCA3","ENCA","HEMI",4,"S","AUCH","herb","AUCH","ENCA","T"
"ENCA4","ENCA","HEMI",19,"S","AUCH","herb","AUCH","ENCA","C"
"ENCA5","ENCA","HEMI",6,"S","AUCH","herb","AUCH","ENCA","C"
"ENCA6","ENCA","HEMI",7,"L","AUCH","herb","AUCH","ENCA","T"
"ENCA6","ENCA","HEMI",1,"S","AUCH","herb","AUCH","ENCA","T"
"ENCA7","ENCA","HEMI",2,"S","AUCH","herb","AUCH","ENCA","C"
"ENCA8","ENCA","HEMI",1,"S","AUCH","herb","AUCH","ENCA","T"
"ENCA9","ENCA","HEMI",7,"S","AUCH","herb","AUCH","ENCA","T"
"ENCAX","ENCA","HEMI",1,"S","AUCH","herb","AUCH",NA,NA
"ERFA10","ERFA","HEMI",1,"L","AUCH","herb","AUCH","ERFA","T"
"ERFA10","ERFA","HEMI",2,"S","AUCH","herb","AUCH","ERFA","T"
"ERFA11","ERFA","HEMI",3,"L","AUCH","herb","AUCH","ERFA","T"
"ERFA11","ERFA","HEMI",2,"S","AUCH","herb","AUCH","ERFA","T"
"ERFA12","ERFA","HEMI",6,"L","AUCH","herb","AUCH","ERFA","T"
"ERFA13","ERFA","HEMI",1,"L","AUCH","herb","AUCH","ERFA","T"
"ERFA3","ERFA","HEMI",1,"S","AUCH","herb","AUCH","ERFA","T"
"ERFA4","ERFA","HEMI",8,"S","AUCH","herb","AUCH","ERFA","C"
"ERFA5","ERFA","HEMI",2,"S","AUCH","herb","AUCH","ERFA","T"
"ERFA6","ERFA","HEMI",1,"L","AUCH","herb","AUCH","ERFA","C"
"ERFA6","ERFA","HEMI",5,"S","AUCH","herb","AUCH","ERFA","C"
"ERFA7","ERFA","HEMI",2,"S","AUCH","herb","AUCH","ERFA","C"
"ERFA9","ERFA","HEMI",1,"L","AUCH","herb","AUCH","ERFA","C"
"ERPA1","ERPA","HEMI",1,"L","AUCH","herb","AUCH","ERPA","T"
"ERPA10","ERPA","HEMI",8,"L","AUCH","herb","AUCH","ERPA","C"
"ERPA10","ERPA","HEMI",1,"S","AUCH","herb","AUCH","ERPA","C"
"ERPA10","ERPA","HEMI",1,"S","AUCH","herb","AUCH","ERPA","C"
"ERPA11","ERPA","HEMI",2,"L","AUCH","herb","AUCH","ERPA","T"
"ERPA11","ERPA","HEMI",2,"S","AUCH","herb","AUCH","ERPA","T"
"ERPA12","ERPA","HEMI",1,"S","AUCH","herb","AUCH","ERPA","T"
"ERPA3","ERPA","HEMI",3,"S","AUCH","herb","AUCH","ERPA","T"
"ERPA3.1","ERPA","HEMI",7,"L","AUCH","herb","AUCH",NA,NA
"ERPA4","ERPA","HEMI",4,"L","AUCH","herb","AUCH","ERPA","C"
"ERPA4","ERPA","HEMI",5,"S","AUCH","herb","AUCH","ERPA","C"
"ERPA7","ERPA","HEMI",1,"S","AUCH","herb","AUCH","ERPA","T"
"ERPA8","ERPA","HEMI",10,"S","AUCH","herb","AUCH","ERPA","C"
"ISME1","ISME","HEMI",3,"S","AUCH","herb","AUCH","ISME","T"
"ISME12","ISME","HEMI",2,"L","AUCH","herb","AUCH","ISME","C"
"ISME12","ISME","HEMI",2,"S","AUCH","herb","AUCH","ISME","C"
"ISME13","ISME","HEMI",1,"S","AUCH","herb","AUCH","ISME","C"
"ISME4","ISME","HEMI",2,"S","AUCH","herb","AUCH","ISME","T"
"ISME5","ISME","HEMI",1,"S","AUCH","herb","AUCH","ISME","T"
"ISME6","ISME","HEMI",7,"L","AUCH","herb","AUCH","ISME","T"
"ISME7","ISME","HEMI",1,"L","AUCH","herb","AUCH","ISME","T"
"ISME8","ISME","HEMI",3,"L","AUCH","herb","AUCH","ISME","T"
"ISME8","ISME","HEMI",2,"S","AUCH","herb","AUCH","ISME","T"
"LUAL10","LUAL","HEMI",2,"S","AUCH","herb","AUCH","LUAL","T"
"LUAL11","LUAL","HEMI",4,"L","AUCH","herb","AUCH","LUAL","T"
"LUAL11","LUAL","HEMI",3,"S","AUCH","herb","AUCH","LUAL","T"
"LUAL12","LUAL","HEMI",8,"L","AUCH","herb","AUCH","LUAL","T"
"LUAL12","LUAL","HEMI",25,"S","AUCH","herb","AUCH","LUAL","T"
"LUAL13","LUAL","HEMI",1,"L","AUCH","herb","AUCH","LUAL","T"
"LUAL13","LUAL","HEMI",30,"S","AUCH","herb","AUCH","LUAL","T"
"LUAL14","LUAL","HEMI",1,"S","AUCH","herb","AUCH",NA,NA
"LUAL2","LUAL","HEMI",1,"L","AUCH","herb","AUCH","LUAL","C"
"LUAL2","LUAL","HEMI",9,"S","AUCH","herb","AUCH","LUAL","C"
"LUAL3","LUAL","HEMI",5,"S","AUCH","herb","AUCH","LUAL","C"
"LUAL4","LUAL","HEMI",2,"L","AUCH","herb","AUCH","LUAL","T"
"LUAL6.2","LUAL","HEMI",2,"L","AUCH","herb","AUCH",NA,NA
"SAAP1","SAAP","HEMI",3,"L","AUCH","herb","AUCH","SAAP","T"
"SAAP10","SAAP","HEMI",17,"L","AUCH","herb","AUCH","SAAP","T"
"SAAP10","SAAP","HEMI",39,"S","AUCH","herb","AUCH","SAAP","T"
"SAAP11","SAAP","HEMI",11,"L","AUCH","herb","AUCH","SAAP","T"
"SAAP11","SAAP","HEMI",22,"S","AUCH","herb","AUCH","SAAP","T"
"SAAP12","SAAP","HEMI",10,"L","AUCH","herb","AUCH","SAAP","C"
"SAAP12","SAAP","HEMI",6,"S","AUCH","herb","AUCH","SAAP","C"
"SAAP15","SAAP","HEMI",3,"L","AUCH","herb","AUCH","SAAP","T"
"SAAP15","SAAP","HEMI",7,"S","AUCH","herb","AUCH","SAAP","T"
"SAAP2","SAAP","HEMI",6,"L","AUCH","herb","AUCH","SAAP","C"
"SAAP2","SAAP","HEMI",22,"S","AUCH","herb","AUCH","SAAP","C"
"SAAP4","SAAP","HEMI",8,"L","AUCH","herb","AUCH","SAAP","C"
"SAAP4","SAAP","HEMI",23,"S","AUCH","herb","AUCH","SAAP","C"
"SAAP5","SAAP","HEMI",1,"L","AUCH","herb","AUCH","SAAP","T"
"SAAP5","SAAP","HEMI",4,"S","AUCH","herb","AUCH","SAAP","T"
"SAAP6","SAAP","HEMI",12,"L","AUCH","herb","AUCH","SAAP","C"
"SAAP6","SAAP","HEMI",11,"S","AUCH","herb","AUCH","SAAP","C"
"SAAP7","SAAP","HEMI",11,"L","AUCH","herb","AUCH","SAAP","T"
"SAAP7","SAAP","HEMI",8,"S","AUCH","herb","AUCH","SAAP","T"
"SAAP8","SAAP","HEMI",3,"L","AUCH","herb","AUCH","SAAP","C"
"SAAP8","SAAP","HEMI",2,"S","AUCH","herb","AUCH","SAAP","C"
"SAAP9","SAAP","HEMI",8,"L","AUCH","herb","AUCH","SAAP","T"
"SAAP9","SAAP","HEMI",9,"S","AUCH","herb","AUCH","SAAP","T"
"SAME10","SAME","HEMI",1,"S","AUCH","herb","AUCH","SAME","T"
"SAME11","SAME","HEMI",1,"L","AUCH","herb","AUCH","SAME","C"
"SAME11","SAME","HEMI",3,"S","AUCH","herb","AUCH","SAME","C"
"SAME12","SAME","HEMI",6,"S","AUCH","herb","AUCH","SAME","T"
"SAME3","SAME","HEMI",4,"L","AUCH","herb","AUCH","SAME","T"
"SAME3","SAME","HEMI",1,"S","AUCH","herb","AUCH","SAME","T"
"SAME4","SAME","HEMI",2,"S","AUCH","herb","AUCH","SAME","C"
"SAME5","SAME","HEMI",1,"L","AUCH","herb","AUCH","SAME","T"
"SAME5","SAME","HEMI",9,"S","AUCH","herb","AUCH","SAME","T"
"SAME5.2","SAME","HEMI",1,"L","AUCH","herb","AUCH",NA,NA
"SAME5.2","SAME","HEMI",7,"S","AUCH","herb","AUCH",NA,NA
"SAME7","SAME","HEMI",1,"L","AUCH","herb","AUCH","SAME","T"
"SAME7","SAME","HEMI",3,"S","AUCH","herb","AUCH","SAME","T"
"SAAP1","SAAP","HETE",8,"S","AUCH","herb","AUCH","SAAP","T"
"SAAP3","SAAP","HETE",7,"L","AUCH","herb","AUCH","SAAP","T"
"SAAP3","SAAP","HETE",6,"S","AUCH","herb","AUCH","SAAP","T"
"ARDO1","ARDO","HYME",1,"L","BEE","pred","BEE","ARDO","T"
"ARDO1","ARDO","HYME",1,"S","BEE","pred","BEE","ARDO","T"
"ARDO10","ARDO","HYME",3,"S","BEE","pred","BEE","ARDO","C"
"ARDO11","ARDO","HYME",1,"S","BEE","pred","BEE","ARDO","C"
"ARDO3","ARDO","HYME",1,"S","BEE","pred","BEE","ARDO","T"
"ENCA5","ENCA","HYME",3,"S","BEE","pred","BEE","ENCA","C"
"ENCA7","ENCA","HYME",2,"S","BEE","pred","BEE","ENCA","C"
"ERFA10","ERFA","HYME",3,"S","BEE","pred","BEE","ERFA","T"
"ERFA9","ERFA","HYME",1,"L","BEE","pred","BEE","ERFA","C"
"ERPA7","ERPA","HYME",1,"L","BEE","pred","BEE","ERPA","T"
"ERPA8","ERPA","HYME",1,"L","BEE","pred","BEE","ERPA","C"
"SAAP1","SAAP","HYME",2,"L","BEE","pred","BEE","SAAP","T"
"SAAP9","SAAP","HYME",1,"L","BEE","pred","BEE","SAAP","T"
"SAME5","SAME","HYME",1,"S","BEE","pred","BEE","SAME","T"
"SAAP4","SAAP","HYME",3,"S","BEE, ANT, WASP","pred","BEE","SAAP","C"
"ENCA1","ENCA","COLE",1,"S","COCC","pred","COCC","ENCA","T"
"ENCA3","ENCA","COLE",1,"L","COCC","pred","COCC","ENCA","T"
"ENCA3","ENCA","COLE",2,"S","COCC","pred","COCC","ENCA","T"
"ENCA7","ENCA","COLE",1,"S","COCC","pred","COCC","ENCA","C"
"ENCA9","ENCA","COLE",6,"S","COCC","pred","COCC","ENCA","T"
"ERPA3","ERPA","COLE",1,"L","COCC","pred","COCC","ERPA","T"
"ERPA4","ERPA","COLE",2,"S","COCC","pred","COCC","ERPA","C"
"LUAL11","LUAL","COLE",2,"S","COCC","pred","COCC","LUAL","T"
"LUAL12","LUAL","COLE",1,"S","COCC","pred","COCC","LUAL","T"
"SAAP1","SAAP","COLE",1,"L","COCC","pred","COCC","SAAP","T"
"SAAP4","SAAP","COLE",1,"S","COCC","pred","COCC","SAAP","C"
"SAAP6","SAAP","COLE",1,"S","COCC","pred","COCC","SAAP","C"
"SAME7","SAME","COLE",1,"S","COCC","pred","COCC","SAME","T"
"ARCA11","ARCA","COLE",3,"L","COL35","herb","COLE","ARCA","T"
"ARCA11.2","ARCA","COLE",13,"L","COL35","herb","COLE",NA,NA
"ARCA14","ARCA","COLE",4,"L","COL35","herb","COLE",NA,NA
"ARCA2","ARCA","COLE",8,"L","COL35","herb","COLE","ARCA","T"
"ARCA4","ARCA","COLE",4,"L","COL35","herb","COLE","ARCA","T"
"ARCA6","ARCA","COLE",6,"L","COL35","herb","COLE","ARCA","T"
"ARCA9","ARCA","COLE",4,"L","COL35","herb","COLE","ARCA","T"
"ARDO13","ARDO","COLE",1,"S","COL35","herb","COLE","ARDO","C"
"ERFA5","ERFA","COLE",1,"L","COL35","herb","COLE","ERFA","T"
"ERPA3","ERPA","COLE",7,"L","COL35","herb","COLE","ERPA","T"
"ERPA4","ERPA","COLE",1,"L","COL35","herb","COLE","ERPA","C"
"ISME1","ISME","COLE",3,"L","COL35","herb","COLE","ISME","T"
"ISME10","ISME","COLE",18,"L","COL35","herb","COLE","ISME","C"
"ISME11","ISME","COLE",24,"L","COL35","herb","COLE","ISME","C"
"ISME12","ISME","COLE",20,"L","COL35","herb","COLE","ISME","C"
"ISME13","ISME","COLE",15,"L","COL35","herb","COLE","ISME","C"
"ISME3","ISME","COLE",6,"L","COL35","herb","COLE","ISME","T"
"ISME4","ISME","COLE",14,"L","COL35","herb","COLE","ISME","T"
"ISME5","ISME","COLE",5,"L","COL35","herb","COLE","ISME","T"
"ISME7","ISME","COLE",3,"L","COL35","herb","COLE","ISME","T"
"ISME8","ISME","COLE",17,"L","COL35","herb","COLE","ISME","T"
"ISME9","ISME","COLE",15,"L","COL35","herb","COLE","ISME","C"
"LUAL11","LUAL","COLE",12,"L","COL35","herb","COLE","LUAL","T"
"LUAL11","LUAL","COLE",8,"S","COL35","herb","COLE","LUAL","T"
"LUAL12","LUAL","COLE",5,"L","COL35","herb","COLE","LUAL","T"
"LUAL14","LUAL","COLE",26,"S","COL35","herb","COLE",NA,NA
"SAAP1","SAAP","COLE",11,"L","COL35","herb","COLE","SAAP","T"
"SAAP10","SAAP","COLE",10,"L","COL35","herb","COLE","SAAP","T"
"SAAP11","SAAP","COLE",15,"L","COL35","herb","COLE","SAAP","T"
"SAAP15","SAAP","COLE",12,"L","COL35","herb","COLE","SAAP","T"
"SAAP9","SAAP","COLE",4,"L","COL35","herb","COLE","SAAP","T"
"SAME7","SAME","COLE",1,"L","COL35","herb","COLE","SAME","T"
"ISME3","ISME","ARAN",1,"L","GLS","pred","ARAN","ISME","T"
"ISME5","ISME","ARAN",1,"L","GLS","pred","ARAN","ISME","T"
"ARCA14","ARCA","HEMI",1,"L","HETE","pred","HETE",NA,NA
"ARCA5","ARCA","HEMI",1,"S","HETE","pred","HETE","ARCA","C"
"ARCAC2","ARCA","HEMI",1,"L","HETE","pred","HETE",NA,NA
"ARCAC2","ARCA","HEMI",1,"S","HETE","pred","HETE",NA,NA
"ARDO10","ARDO","HEMI",2,"S","HETE","pred","HETE","ARDO","C"
"ARDO13","ARDO","HEMI",1,"L","HETE","pred","HETE","ARDO","C"
"ARDO13","ARDO","HEMI",4,"S","HETE","pred","HETE","ARDO","C"
"ARDO7","ARDO","HEMI",2,"S","HETE","pred","HETE","ARDO","T"
"ARDO8","ARDO","HEMI",1,"S","HETE","pred","HETE","ARDO","C"
"ENCA3","ENCA","HEMI",1,"S","HETE","pred","HETE","ENCA","T"
"ENCA8","ENCA","HEMI",7,"S","HETE","pred","HETE","ENCA","T"
"ENCAX","ENCA","HEMI",1,"S","HETE","pred","HETE",NA,NA
"ERFA10","ERFA","HEMI",1,"L","HETE","pred","HETE","ERFA","T"
"ERFA12","ERFA","HEMI",2,"L","HETE","pred","HETE","ERFA","T"
"ERFA3","ERFA","HEMI",4,"S","HETE","pred","HETE","ERFA","T"
"ERFA4","ERFA","HEMI",1,"L","HETE","pred","HETE","ERFA","C"
"ERFA4","ERFA","HEMI",4,"S","HETE","pred","HETE","ERFA","C"
"ERFA6","ERFA","HEMI",1,"L","HETE","pred","HETE","ERFA","C"
"ERFA6","ERFA","HEMI",9,"S","HETE","pred","HETE","ERFA","C"
"ERFA7","ERFA","HEMI",2,"S","HETE","pred","HETE","ERFA","C"
"ERPA10","ERPA","HEMI",1,"S","HETE","pred","HETE","ERPA","C"
"ERPA12","ERPA","HEMI",2,"S","HETE","pred","HETE","ERPA","T"
"LUAL14","LUAL","HEMI",1,"L","HETE","pred","HETE",NA,NA
"LUAL2","LUAL","HEMI",1,"L","HETE","pred","HETE","LUAL","C"
"LUAL2","LUAL","HEMI",4,"S","HETE","pred","HETE","LUAL","C"
"LUAL3","LUAL","HEMI",2,"L","HETE","pred","HETE","LUAL","C"
"LUAL3","LUAL","HEMI",1,"S","HETE","pred","HETE","LUAL","C"
"LUAL4","LUAL","HEMI",1,"L","HETE","pred","HETE","LUAL","T"
"LUAL6.2","LUAL","HEMI",2,"L","HETE","pred","HETE",NA,NA
"SAAP15","SAAP","HEMI",1,"S","HETE","pred","HETE","SAAP","T"
"SAME12","SAME","HEMI",8,"S","HETE","pred","HETE","SAME","T"
"SAME4","SAME","HEMI",18,"L","HETE","pred","HETE","SAME","C"
"SAME5","SAME","HEMI",1,"S","HETE","pred","HETE","SAME","T"
"ENCA6","ENCA","COLE",1,"S","LARVAE","herb","COLE","ENCA","T"
"LUAL11","LUAL","COLE",1,"L","LARVAE","herb","COLE","LUAL","T"
"ERPA7","ERPA","LEPI",1,"S","LARVAE","herb","LEPI","ERPA","T"
"SAAP3","SAAP","LEPI",1,"L","LARVAE","herb","LEPI","SAAP","T"
"ARCA6","ARCA","LEPID",1,"L","LARVAE","herb","LEPI","ARCA","T"
"ENCA7","ENCA","LEPID",1,"S","LARVAE","herb","LEPI","ENCA","C"
"ENCA1","ENCA","COLE",1,"L","MIRID","omni","MIRID","ENCA","T"
"ENCA8","ENCA","COLE",1,"L","MIRID","omni","MIRID","ENCA","T"
"ENCA8","ENCA","COLE",1,"S","MIRID","omni","MIRID","ENCA","T"
"SAAP3","SAAP","COLE",3,"S","MIRID","omni","MIRID","SAAP","T"
"SAAP5","SAAP","COLE",4,"L","MIRID","omni","MIRID","SAAP","T"
"SAAP5","SAAP","COLE",5,"S","MIRID","omni","MIRID","SAAP","T"
"SAAP6","SAAP","COLE",1,"L","MIRID","omni","MIRID","SAAP","C"
"ARDO10","ARDO","HEMI",1,"L","MIRID","omni","MIRID","ARDO","C"
"ENCA5","ENCA","HEMI",1,"S","MIRID","omni","MIRID","ENCA","C"
"ERFA10","ERFA","HEMI",10,"S","MIRID","omni","MIRID","ERFA","T"
"ERFA11","ERFA","HEMI",1,"L","MIRID","omni","MIRID","ERFA","T"
"ERFA11","ERFA","HEMI",14,"S","MIRID","omni","MIRID","ERFA","T"
"ERFA13","ERFA","HEMI",1,"S","MIRID","omni","MIRID","ERFA","T"
"ERFA2","ERFA","HEMI",6,"L","MIRID","omni","MIRID","ERFA","T"
"ERFA2","ERFA","HEMI",26,"S","MIRID","omni","MIRID","ERFA","T"
"ERFA3","ERFA","HEMI",1,"L","MIRID","omni","MIRID","ERFA","T"
"ERFA4","ERFA","HEMI",2,"L","MIRID","omni","MIRID","ERFA","C"
"ERFA4","ERFA","HEMI",1,"S","MIRID","omni","MIRID","ERFA","C"
"ERFA5","ERFA","HEMI",2,"L","MIRID","omni","MIRID","ERFA","T"
"ERFA5","ERFA","HEMI",9,"S","MIRID","omni","MIRID","ERFA","T"
"ERFA7","ERFA","HEMI",10,"S","MIRID","omni","MIRID","ERFA","C"
"ERFA9","ERFA","HEMI",6,"L","MIRID","omni","MIRID","ERFA","C"
"ERFA9","ERFA","HEMI",5,"S","MIRID","omni","MIRID","ERFA","C"
"ERPA1","ERPA","HEMI",1,"S","MIRID","omni","MIRID","ERPA","T"
"ERPA12","ERPA","HEMI",1,"S","MIRID","omni","MIRID","ERPA","T"
"ERPA3.1","ERPA","HEMI",1,"L","MIRID","omni","MIRID",NA,NA
"ERPA7","ERPA","HEMI",3,"L","MIRID","omni","MIRID","ERPA","T"
"ERPA7","ERPA","HEMI",7,"S","MIRID","omni","MIRID","ERPA","T"
"LUAL11","LUAL","HEMI",4,"L","MIRID","omni","MIRID","LUAL","T"
