"Sample","SP","Order","abundance","size","OTHER","feed","ID","SPECIES","treat"
"LUAL12","LUAL","HEMI",3,"S","MIRID","omni","MIRID","LUAL","T"
"LUAL14","LUAL","HEMI",1,"S","MIRID","omni","MIRID",NA,NA
"LUAL2","LUAL","HEMI",2,"S","MIRID","omni","MIRID","LUAL","C"
"LUAL6.2","LUAL","HEMI",3,"L","MIRID","omni","MIRID",NA,NA
"LUAL6.2","LUAL","HEMI",1,"S","MIRID","omni","MIRID",NA,NA
"SAME10","SAME","HEMI",3,"L","MIRID","omni","MIRID","SAME","T"
"SAME11","SAME","HEMI",2,"L","MIRID","omni","MIRID","SAME","C"
"SAME11","SAME","HEMI",1,"S","MIRID","omni","MIRID","SAME","C"
"SAME3","SAME","HEMI",1,"S","MIRID","omni","MIRID","SAME","T"
"ARCA11.2","ARCA","HEMI",1,"S","STER","herb","STER",NA,NA
"ARCA14","ARCA","HEMI",1,"L","STER","herb","STER",NA,NA
"ARCA14","ARCA","HEMI",2,"S","STER","herb","STER",NA,NA
"ARCA5","ARCA","HEMI",1,"S","STER","herb","STER","ARCA","C"
"ARCA6","ARCA","HEMI",1,"L","STER","herb","STER","ARCA","T"
"ARDO6","ARDO","HEMI",1,"S","STER","herb","STER","ARDO","T"
"ARDO7","ARDO","HEMI",1,"L","STER","herb","STER","ARDO","T"
"ARDO7","ARDO","HEMI",1,"S","STER","herb","STER","ARDO","T"
"ENCA5","ENCA","HEMI",1,"S","STER","herb","STER","ENCA","C"
"ENCA6","ENCA","HEMI",1,"S","STER","herb","STER","ENCA","T"
"ERFA12","ERFA","HEMI",1,"L","STER","herb","STER","ERFA","T"
"ERFA13","ERFA","HEMI",5,"S","STER","herb","STER","ERFA","T"
"ERFA4","ERFA","HEMI",1,"S","STER","herb","STER","ERFA","C"
"ERFA6","ERFA","HEMI",3,"L","STER","herb","STER","ERFA","C"
"ERFA6","ERFA","HEMI",3,"S","STER","herb","STER","ERFA","C"
"ERPA3.1","ERPA","HEMI",1,"S","STER","herb","STER",NA,NA
"ISME5","ISME","HEMI",1,"S","STER","herb","STER","ISME","T"
"ISME6","ISME","HEMI",2,"S","STER","herb","STER","ISME","T"
"LUAL10","LUAL","HEMI",1,"S","STER","herb","STER","LUAL","T"
"LUAL2","LUAL","HEMI",2,"S","STER","herb","STER","LUAL","C"
"SAAP15","SAAP","HEMI",1,"S","STER","herb","STER","SAAP","T"
"SAME12","SAME","HEMI",1,"S","STER","herb","STER","SAME","T"
"ARDO11","ARDO","HYME",1,"L","WASP","pred","WASP","ARDO","C"
"ARDO6","ARDO","HYME",2,"S","WASP","pred","WASP","ARDO","T"
"ENCA4","ENCA","HYME",1,"L","WASP","pred","WASP","ENCA","C"
"ERFA13","ERFA","HYME",1,"S","WASP","pred","WASP","ERFA","T"
"ERPA11","ERPA","HYME",2,"S","WASP","pred","WASP","ERPA","T"
"ERPA12","ERPA","HYME",6,"S","WASP","pred","WASP","ERPA","T"
"ERPA3","ERPA","HYME",2,"S","WASP","pred","WASP","ERPA","T"
"ERPA4","ERPA","HYME",5,"S","WASP","pred","WASP","ERPA","C"
"ERPA7","ERPA","HYME",5,"S","WASP","pred","WASP","ERPA","T"
"ERPA8","ERPA","HYME",7,"S","WASP","pred","WASP","ERPA","C"
"LUAL11","LUAL","HYME",1,"L","WASP","pred","WASP","LUAL","T"
"LUAL12","LUAL","HYME",1,"S","WASP","pred","WASP","LUAL","T"
"LUAL2","LUAL","HYME",2,"S","WASP","pred","WASP","LUAL","C"
"SAME11","SAME","HYME",1,"S","WASP","pred","WASP","SAME","C"
"SAME7","SAME","HYME",1,"S","WASP","pred","WASP","SAME","T"
"SAAP15","SAAP","HYME",1,"S","X","pred","HYME","SAAP","T"
"ARCA14","ARCA","ACAR",1,"S","","pred","ACAR",NA,NA
"ARDO7","ARDO","ACAR",1,"S","","pred","ACAR","ARDO","T"
"ENCA4","ENCA","ACAR",2,"S","","pred","ACAR","ENCA","C"
"ERFA10","ERFA","ACAR",1,"S","","pred","ACAR","ERFA","T"
"ERFA10","ERFA","ACAR",1,"S","","pred","ACAR","ERFA","T"
"ERFA12","ERFA","ACAR",4,"S","","pred","ACAR","ERFA","T"
"ERFA4","ERFA","ACAR",3,"S","","pred","ACAR","ERFA","C"
"ERPA11","ERPA","ACAR",1,"S","","pred","ACAR","ERPA","T"
"LUAL10","LUAL","ACAR",1,"S","","pred","ACAR","LUAL","T"
"LUAL12","LUAL","ACAR",4,"S","","pred","ACAR","LUAL","T"
"LUAL13","LUAL","ACAR",1,"S","","pred","ACAR","LUAL","T"
"SAAP15","SAAP","ACAR",1,"S","","pred","ACAR","SAAP","T"
"SAAP6","SAAP","ACAR",1,"S","","pred","ACAR","SAAP","C"
"SAAP7","SAAP","ACAR",3,"S","","pred","ACAR","SAAP","T"
"SAME10","SAME","ACAR",1,"S","","pred","ACAR","SAME","T"
"ARCA11","ARCA","ARAN",4,"L","","pred","ARAN","ARCA","T"
"ARCA14","ARCA","ARAN",4,"L","","pred","ARAN",NA,NA
"ARCA4","ARCA","ARAN",2,"L","","pred","ARAN","ARCA","T"
"ARCA4","ARCA","ARAN",1,"S","","pred","ARAN","ARCA","T"
"ARCA6","ARCA","ARAN",3,"L","","pred","ARAN","ARCA","T"
"ARCA7","ARCA","ARAN",1,"L","","pred","ARAN","ARCA","T"
"ARCAC2","ARCA","ARAN",1,"L","","pred","ARAN",NA,NA
"ARDO1","ARDO","ARAN",1,"L","","pred","ARAN","ARDO","T"
"ARDO1","ARDO","ARAN",2,"S","","pred","ARAN","ARDO","T"
"ARDO10","ARDO","ARAN",1,"S","","pred","ARAN","ARDO","C"
"ARDO11","ARDO","ARAN",1,"L","","pred","ARAN","ARDO","C"
"ARDO11","ARDO","ARAN",1,"S","","pred","ARAN","ARDO","C"
"ARDO3","ARDO","ARAN",1,"L","","pred","ARAN","ARDO","T"
"ARDO3","ARDO","ARAN",3,"S","","pred","ARAN","ARDO","T"
"ARDO8","ARDO","ARAN",1,"S","","pred","ARAN","ARDO","C"
"ENCA12","ENCA","ARAN",1,"L","","pred","ARAN","ENCA","T"
"ENCA5","ENCA","ARAN",1,"L","","pred","ARAN","ENCA","C"
"ENCA5","ENCA","ARAN",3,"S","","pred","ARAN","ENCA","C"
"ENCA6","ENCA","ARAN",1,"L","","pred","ARAN","ENCA","T"
"ENCA8","ENCA","ARAN",3,"L","","pred","ARAN","ENCA","T"
"ENCA9","ENCA","ARAN",1,"L","","pred","ARAN","ENCA","T"
"ENCA9","ENCA","ARAN",1,"S","","pred","ARAN","ENCA","T"
"ENCAx","ENCA","ARAN",1,"L","","pred","ARAN",NA,NA
"ENCAX","ENCA","ARAN",3,"S","","pred","ARAN",NA,NA
"ERFA10","ERFA","ARAN",2,"L","","pred","ARAN","ERFA","T"
"ERFA10","ERFA","ARAN",2,"S","","pred","ARAN","ERFA","T"
"ERFA11","ERFA","ARAN",1,"L","","pred","ARAN","ERFA","T"
"ERFA11","ERFA","ARAN",1,"S","","pred","ARAN","ERFA","T"
"ERFA12","ERFA","ARAN",2,"L","","pred","ARAN","ERFA","T"
"ERFA13","ERFA","ARAN",2,"S","","pred","ARAN","ERFA","T"
"ERFA2","ERFA","ARAN",2,"L","","pred","ARAN","ERFA","T"
"ERFA2","ERFA","ARAN",2,"S","","pred","ARAN","ERFA","T"
"ERFA4","ERFA","ARAN",1,"L","","pred","ARAN","ERFA","C"
"ERFA4","ERFA","ARAN",1,"S","","pred","ARAN","ERFA","C"
"ERFA6","ERFA","ARAN",4,"L","","pred","ARAN","ERFA","C"
"ERFA7","ERFA","ARAN",4,"S","","pred","ARAN","ERFA","C"
"ERFA9","ERFA","ARAN",2,"L","","pred","ARAN","ERFA","C"
"ERFA9","ERFA","ARAN",4,"S","","pred","ARAN","ERFA","C"
"ERPA11","ERPA","ARAN",2,"S","","pred","ARAN","ERPA","T"
"ERPA3","ERPA","ARAN",1,"L","","pred","ARAN","ERPA","T"
"ERPA3.1","ERPA","ARAN",3,"L","","pred","ARAN",NA,NA
"ERPA4","ERPA","ARAN",2,"L","","pred","ARAN","ERPA","C"
"ERPA4","ERPA","ARAN",1,"S","","pred","ARAN","ERPA","C"
"ERPA7","ERPA","ARAN",4,"S","","pred","ARAN","ERPA","T"
"ERPA8","ERPA","ARAN",1,"S","","pred","ARAN","ERPA","C"
"ISME1","ISME","ARAN",1,"L","","pred","ARAN","ISME","T"
"ISME4","ISME","ARAN",1,"S","","pred","ARAN","ISME","T"
"ISME8","ISME","ARAN",3,"S","","pred","ARAN","ISME","T"
"ISME9","ISME","ARAN",1,"L","","pred","ARAN","ISME","C"
"LUAL10","LUAL","ARAN",1,"S","","pred","ARAN","LUAL","T"
"LUAL11","LUAL","ARAN",5,"S","","pred","ARAN","LUAL","T"
"LUAL12","LUAL","ARAN",2,"L","","pred","ARAN","LUAL","T"
"LUAL14","LUAL","ARAN",3,"S","","pred","ARAN",NA,NA
"LUAL2","LUAL","ARAN",2,"L","","pred","ARAN","LUAL","C"
"LUAL2","LUAL","ARAN",1,"S","","pred","ARAN","LUAL","C"
"LUAL3","LUAL","ARAN",2,"S","","pred","ARAN","LUAL","C"
"LUAL6.2","LUAL","ARAN",2,"L","","pred","ARAN",NA,NA
"LUAL6.2","LUAL","ARAN",2,"S","","pred","ARAN",NA,NA
"SAAP1","SAAP","ARAN",2,"L","","pred","ARAN","SAAP","T"
"SAAP12","SAAP","ARAN",1,"L","","pred","ARAN","SAAP","C"
"SAAP15","SAAP","ARAN",2,"L","","pred","ARAN","SAAP","T"
"SAAP15","SAAP","ARAN",2,"S","","pred","ARAN","SAAP","T"
"SAAP2","SAAP","ARAN",1,"L","","pred","ARAN","SAAP","C"
"SAAP2","SAAP","ARAN",2,"S","","pred","ARAN","SAAP","C"
"SAAP3","SAAP","ARAN",1,"L","","pred","ARAN","SAAP","T"
"SAAP7","SAAP","ARAN",2,"L","","pred","ARAN","SAAP","T"
"SAME10","SAME","ARAN",3,"S","","pred","ARAN","SAME","T"
"SAME11","SAME","ARAN",1,"L","","pred","ARAN","SAME","C"
"SAME12","SAME","ARAN",1,"S","","pred","ARAN","SAME","T"
"SAME3","SAME","ARAN",1,"L","","pred","ARAN","SAME","T"
"SAME3","SAME","ARAN",3,"S","","pred","ARAN","SAME","T"
"SAME4","SAME","ARAN",1,"S","","pred","ARAN","SAME","C"
"SAME5","SAME","ARAN",1,"S","","pred","ARAN","SAME","T"
"ENCA6","ENCA","ARCH",1,"L","","herb","ARCH","ENCA","T"
"SAAP15","SAAP","ARCH",1,"L","","herb","ARCH","SAAP","T"
"SAAP2","SAAP","ARCH",2,"L","","herb","ARCH","SAAP","C"
"SAAP3","SAAP","ARCH",2,"L","","herb","ARCH","SAAP","T"
"SAAP5","SAAP","ARCH",3,"L","","herb","ARCH","SAAP","T"
"SAAP6","SAAP","ARCH",1,"L","","herb","ARCH","SAAP","C"
"ARCA5","ARCA","COLE",2,"L","","herb","COLE","ARCA","C"
"ARCA5","ARCA","COLE",1,"S","","herb","COLE","ARCA","C"
"ARCA6","ARCA","COLE",1,"S","","herb","COLE","ARCA","T"
"ARCA7","ARCA","COLE",1,"L","","herb","COLE","ARCA","T"
"ARDO1","ARDO","COLE",5,"L","","herb","COLE","ARDO","T"
"ARDO1","ARDO","COLE",4,"S","","herb","COLE","ARDO","T"
"ARDO10","ARDO","COLE",1,"L","","herb","COLE","ARDO","C"
"ARDO11","ARDO","COLE",1,"L","","herb","COLE","ARDO","C"
"ARDO11","ARDO","COLE",4,"S","","herb","COLE","ARDO","C"
"ARDO13","ARDO","COLE",7,"L","","herb","COLE","ARDO","C"
"ARDO3","ARDO","COLE",10,"L","","herb","COLE","ARDO","T"
"ARDO6","ARDO","COLE",1,"L","","herb","COLE","ARDO","T"
"ARDO8","ARDO","COLE",3,"L","","herb","COLE","ARDO","C"
"ARDO8","ARDO","COLE",3,"S","","herb","COLE","ARDO","C"
"ENCA10","ENCA","COLE",4,"S","","herb","COLE","ENCA","C"
"ENCA11","ENCA","COLE",16,"S","","herb","COLE","ENCA","C"
"ENCA3","ENCA","COLE",4,"L","","herb","COLE","ENCA","T"
"ENCA3","ENCA","COLE",1,"S","","herb","COLE","ENCA","T"
"ENCA4","ENCA","COLE",4,"L","","herb","COLE","ENCA","C"
"ENCA4","ENCA","COLE",9,"S","","herb","COLE","ENCA","C"
"ENCA5","ENCA","COLE",1,"L","","herb","COLE","ENCA","C"
"ENCA5","ENCA","COLE",9,"S","","herb","COLE","ENCA","C"
"ENCA6","ENCA","COLE",1,"S","","herb","COLE","ENCA","T"
"ENCA7","ENCA","COLE",15,"S","","herb","COLE","ENCA","C"
"ENCA8","ENCA","COLE",10,"L","","herb","COLE","ENCA","T"
"ENCA8","ENCA","COLE",2,"S","","herb","COLE","ENCA","T"
"ENCA9","ENCA","COLE",2,"L","","herb","COLE","ENCA","T"
"ENCA9","ENCA","COLE",7,"S","","herb","COLE","ENCA","T"
"ERFA10","ERFA","COLE",1,"L","","herb","COLE","ERFA","T"
"ERFA11","ERFA","COLE",5,"S","","herb","COLE","ERFA","T"
"ERFA12","ERFA","COLE",2,"L","","herb","COLE","ERFA","T"
"ERFA12","ERFA","COLE",6,"S","","herb","COLE","ERFA","T"
"ERFA2","ERFA","COLE",1,"L","","herb","COLE","ERFA","T"
"ERFA2","ERFA","COLE",3,"S","","herb","COLE","ERFA","T"
"ERFA3","ERFA","COLE",1,"L","","herb","COLE","ERFA","T"
"ERFA4","ERFA","COLE",1,"L","","herb","COLE","ERFA","C"
"ERFA4","ERFA","COLE",1,"S","","herb","COLE","ERFA","C"
"ERFA5","ERFA","COLE",5,"S","","herb","COLE","ERFA","T"
"ERFA6","ERFA","COLE",1,"L","","herb","COLE","ERFA","C"
"ERFA6","ERFA","COLE",2,"S","","herb","COLE","ERFA","C"
"ERFA7","ERFA","COLE",10,"S","","herb","COLE","ERFA","C"
"ERFA9","ERFA","COLE",7,"S","","herb","COLE","ERFA","C"
"ERPA1","ERPA","COLE",1,"L","","herb","COLE","ERPA","T"
"ERPA12","ERPA","COLE",3,"S","","herb","COLE","ERPA","T"
"ERPA3","ERPA","COLE",1,"S","","herb","COLE","ERPA","T"
"ERPA3.1","ERPA","COLE",1,"L","","herb","COLE",NA,NA
"ERPA7","ERPA","COLE",1,"S","","herb","COLE","ERPA","T"
"ERPA8","ERPA","COLE",17,"S","","herb","COLE","ERPA","C"
"ISME5","ISME","COLE",1,"S","","herb","COLE","ISME","T"
"ISME6","ISME","COLE",28,"L","","herb","COLE","ISME","T"
"LUAL10","LUAL","COLE",2,"L","","herb","COLE","LUAL","T"
"LUAL10","LUAL","COLE",1,"S","","herb","COLE","LUAL","T"
"LUAL13","LUAL","COLE",2,"S","","herb","COLE","LUAL","T"
"LUAL14","LUAL","COLE",2,"L","","herb","COLE",NA,NA
"LUAL2","LUAL","COLE",4,"S","","herb","COLE","LUAL","C"
"LUAL3","LUAL","COLE",1,"L","","herb","COLE","LUAL","C"
"LUAL3","LUAL","COLE",3,"S","","herb","COLE","LUAL","C"
"LUAL6.2","LUAL","COLE",1,"S","","herb","COLE",NA,NA
"SAAP10","SAAP","COLE",1,"S","","herb","COLE","SAAP","T"
"SAAP11","SAAP","COLE",2,"S","","herb","COLE","SAAP","T"
"SAAP15","SAAP","COLE",1,"S","","herb","COLE","SAAP","T"
"SAAP2","SAAP","COLE",1,"L","","herb","COLE","SAAP","C"
"SAAP3","SAAP","COLE",10,"L","","herb","COLE","SAAP","T"
"SAAP3","SAAP","COLE",2,"S","","herb","COLE","SAAP","T"
"SAAP6","SAAP","COLE",1,"L","","herb","COLE","SAAP","C"
"SAAP7","SAAP","COLE",6,"L","","herb","COLE","SAAP","T"
"SAAP7","SAAP","COLE",1,"S","","herb","COLE","SAAP","T"
"SAAP8","SAAP","COLE",1,"L","","herb","COLE","SAAP","C"
"SAME11","SAME","COLE",2,"L","","herb","COLE","SAME","C"
"SAME12","SAME","COLE",1,"S","","herb","COLE","SAME","T"
"SAME3","SAME","COLE",1,"S","","herb","COLE","SAME","T"
"SAME4","SAME","COLE",1,"L","","herb","COLE","SAME","C"
"SAME5","SAME","COLE",3,"S","","herb","COLE","SAME","T"
"SAME5.2","SAME","COLE",1,"L","","herb","COLE",NA,NA
"SAME5.2","SAME","COLE",1,"S","","herb","COLE",NA,NA
"ARCAC2","ARCA","DERM",1,"L","","omni","DERM",NA,NA
"ARCA4","ARCA","DIPT",1,"S","","herb","DIPT","ARCA","T"
"ARCAC2","ARCA","DIPT",4,"L","","herb","DIPT",NA,NA
"ARCAC2","ARCA","DIPT",1,"L","","herb","DIPT",NA,NA
"ARDO1","ARDO","DIPT",4,"S","","herb","DIPT","ARDO","T"
"ARDO11","ARDO","DIPT",1,"S","","herb","DIPT","ARDO","C"
"ARDO3","ARDO","DIPT",6,"S","","herb","DIPT","ARDO","T"
"ARDO7","ARDO","DIPT",1,"S","","herb","DIPT","ARDO","T"
"ENCA1","ENCA","DIPT",1,"S","","herb","DIPT","ENCA","T"
"ENCA4","ENCA","DIPT",4,"S","","herb","DIPT","ENCA","C"
"ERFA12","ERFA","DIPT",1,"S","","herb","DIPT","ERFA","T"
"ERFA7","ERFA","DIPT",2,"S","","herb","DIPT","ERFA","C"
"ERPA3","ERPA","DIPT",1,"S","","herb","DIPT","ERPA","T"
"ERPA8","ERPA","DIPT",1,"S","","herb","DIPT","ERPA","C"
"LUAL10","LUAL","DIPT",1,"S","","herb","DIPT","LUAL","T"
"LUAL3","LUAL","DIPT",1,"S","","herb","DIPT","LUAL","C"
"SAAP1","SAAP","DIPT",1,"S","","herb","DIPT","SAAP","T"
"SAAP10","SAAP","DIPT",2,"S","","herb","DIPT","SAAP","T"
"SAAP3","SAAP","DIPT",4,"S","","herb","DIPT","SAAP","T"
"SAME10","SAME","DIPT",1,"S","","herb","DIPT","SAME","T"
"SAME12","SAME","DIPT",1,"S","","herb","DIPT","SAME","T"
"SAME3","SAME","DIPT",1,"S","","herb","DIPT","SAME","T"
"ARCA14","ARCA","HYME",13,"L","","pred","HYME",NA,NA
"ARCA5","ARCA","HYME",9,"L","","pred","HYME","ARCA","C"
"ARCA5","ARCA","HYME",1,"S","","pred","HYME","ARCA","C"
"ARCAC2","ARCA","HYME",1,"S","","pred","HYME",NA,NA
"ARDO7","ARDO","HYME",1,"L","","pred","HYME","ARDO","T"
"ARDO8","ARDO","HYME",NA,"","","pred","HYME","ARDO","C"
"ENCAX","ENCA","HYME",1,"S","","pred","HYME",NA,NA
"ERFA12","ERFA","HYME",2,"L","","pred","HYME","ERFA","T"
"ERFA4","ERFA","HYME",5,"L","","pred","HYME","ERFA","C"
"ERFA4","ERFA","HYME",1,"S","","pred","HYME","ERFA","C"
"ERPA1","ERPA","HYME",1,"S","","pred","HYME","ERPA","T"
"ERPA10","ERPA","HYME",7,"S","","pred","HYME","ERPA","C"
"ERPA10","ERPA","HYME",1,"S","","pred","HYME","ERPA","C"
"ISME11","ISME","HYME",1,"S","","pred","HYME","ISME","C"
"LUAL14","LUAL","HYME",1,"S","","pred","HYME",NA,NA
"LUAL4","LUAL","HYME",2,"L","","pred","HYME","LUAL","T"
"SAAP1","SAAP","HYME",1,"L","","pred","HYME","SAAP","T"
"ERFA6","ERFA","ISOP",1,"L","","herb","ISOP","ERFA","C"
"ARDO13","ARDO","LEPI",1,"S","","herb","LEPI","ARDO","C"
"ERFA6","ERFA","LEPI",1,"L","","herb","LEPI","ERFA","C"
"SAAP4","SAAP","LEPI",2,"L","","herb","LEPI","SAAP","C"
"ARCA4","ARCA","MIRID",1,"L","","omni","MIRID","ARCA","T"
"ISME12","ISME","MIRID",1,"S","","omni","MIRID","ISME","C"
"ARCA6","ARCA","NEUR",1,"S","","pred","NEUR","ARCA","T"
"ERFA11","ERFA","NEUR",1,"S","","pred","NEUR","ERFA","T"
"ERFA5","ERFA","NEUR",1,"L","","pred","NEUR","ERFA","T"
"ISME7","ISME","NEUR",1,"S","","pred","NEUR","ISME","T"
"SAAP6","SAAP","NEUR",1,"S","","pred","NEUR","SAAP","C"
"ARCA6","ARCA","ORTH",1,"L","","herb","ORTH","ARCA","T"
"ARDO10","ARDO","ORTH",1,"L","","herb","ORTH","ARDO","C"
"ERFA11","ERFA","ORTH",1,"L","","herb","ORTH","ERFA","T"
"ERPA1","ERPA","ORTH",1,"L","","herb","ORTH","ERPA","T"
"ERPA12","ERPA","ORTH",1,"S","","herb","ORTH","ERPA","T"
"ERPA4","ERPA","ORTH",2,"L","","herb","ORTH","ERPA","C"
"ISME12","ISME","ORTH",1,"L","","herb","ORTH","ISME","C"
"LUAL12","LUAL","ORTH",1,"L","","herb","ORTH","LUAL","T"
"LUAL13","LUAL","ORTH",2,"L","","herb","ORTH","LUAL","T"
"LUAL6.2","LUAL","ORTH",1,"L","","herb","ORTH",NA,NA
"SAAP1","SAAP","ORTH",1,"L","","herb","ORTH","SAAP","T"
"SAAP3","SAAP","ORTH",1,"L","","herb","ORTH","SAAP","T"
"SAAP5","SAAP","ORTH",1,"L","","herb","ORTH","SAAP","T"
"SAAP6","SAAP","ORTH",1,"L","","herb","ORTH","SAAP","C"
"SAAP7","SAAP","ORTH",1,"L","","herb","ORTH","SAAP","T"
"SAME12","SAME","ORTH",1,"L","","herb","ORTH","SAME","T"
"ARDO1","ARDO","PSCO",1,"S","","herb","PSCO","ARDO","T"
"SAAP1","SAAP","PSCO",1,"S","","herb","PSCO","SAAP","T"
"ENCA10","ENCA","PSOC",1,"S","","herb","PSOC","ENCA","C"
"ENCA9","ENCA","PSOC",1,"S","","herb","PSOC","ENCA","T"
"SAME5","SAME","PSOC",2,"L","","herb","PSOC","SAME","T"
"ARCA11","ARCA","STER",4,"S","","herb","STER","ARCA","T"
"ARCA9","ARCA","STER",2,"S","","herb","STER","ARCA","T"
"ARCAC2","ARCA","STER",1,"S","","herb","STER",NA,NA
"ISME11","ISME","STER",1,"S","","herb","STER","ISME","C"
"ISME3","ISME","STER",2,"S","","herb","STER","ISME","T"
"SAAP1","SAAP","STER",5,"S","","herb","STER","SAAP","T"
"ARDO7","ARDO","THYS",1,"L","","herb","THYS","ARDO","T"
"ENCA4","ENCA","THYS",1,"S","","herb","THYS","ENCA","C"
"ERFA10","ERFA","THYS",6,"S","","herb","THYS","ERFA","T"
"ERFA11","ERFA","THYS",1,"S","","herb","THYS","ERFA","T"
"ERFA13","ERFA","THYS",8,"S","","herb","THYS","ERFA","T"
"ERFA4","ERFA","THYS",1,"S","","herb","THYS","ERFA","C"
"ERFA6","ERFA","THYS",3,"S","","herb","THYS","ERFA","C"
"ERPA1","ERPA","THYS",1,"S","","herb","THYS","ERPA","T"
"ERPA11","ERPA","THYS",1,"S","","herb","THYS","ERPA","T"
"ERPA11","ERPA","THYS",1,"S","","herb","THYS","ERPA","T"
"ERPA7","ERPA","THYS",2,"S","","herb","THYS","ERPA","T"
"ERPA8","ERPA","THYS",2,"S","","herb","THYS","ERPA","C"
"ARCA1",NA,NA,NA,NA,NA,NA,NA,"ARCA","C"
"ARCA8",NA,NA,NA,NA,NA,NA,NA,"ARCA","C"
"ARCA10",NA,NA,NA,NA,NA,NA,NA,"ARCA","C"
"ARCA14.1",NA,NA,NA,NA,NA,NA,NA,"ARCA","C"
"ARCA3",NA,NA,NA,NA,NA,NA,NA,"ARCA","T"
"ARDO9",NA,NA,NA,NA,NA,NA,NA,"ARDO","C"
"ARDO5",NA,NA,NA,NA,NA,NA,NA,"ARDO","T"
"ARDO12",NA,NA,NA,NA,NA,NA,NA,"ARDO","T"
"ENCA2",NA,NA,NA,NA,NA,NA,NA,"ENCA","C"
"ENCA14",NA,NA,NA,NA,NA,NA,NA,"ENCA","T"
"ERFA1",NA,NA,NA,NA,NA,NA,NA,"ERFA","C"
"ERFA8",NA,NA,NA,NA,NA,NA,NA,"ERFA","T"
"ERPA2",NA,NA,NA,NA,NA,NA,NA,"ERPA","C"
"ERPA6",NA,NA,NA,NA,NA,NA,NA,"ERPA","C"
"ERPA5",NA,NA,NA,NA,NA,NA,NA,"ERPA","T"
"ERPA9",NA,NA,NA,NA,NA,NA,NA,"ERPA","T"
"ERPA13",NA,NA,NA,NA,NA,NA,NA,"ERPA","T"
"ISME2",NA,NA,NA,NA,NA,NA,NA,"ISME","T"
"LUAL5",NA,NA,NA,NA,NA,NA,NA,"LUAL","C"
"LUAL8",NA,NA,NA,NA,NA,NA,NA,"LUAL","C"
"LUAL9",NA,NA,NA,NA,NA,NA,NA,"LUAL","C"
"LUAL1",NA,NA,NA,NA,NA,NA,NA,"LUAL","T"
"LUAL6",NA,NA,NA,NA,NA,NA,NA,"LUAL","T"
"LUAL7",NA,NA,NA,NA,NA,NA,NA,"LUAL","T"
"SAAP14",NA,NA,NA,NA,NA,NA,NA,"SAAP","C"
"SAME2",NA,NA,NA,NA,NA,NA,NA,"SAME","C"
"SAME6",NA,NA,NA,NA,NA,NA,NA,"SAME","C"
"SAME9",NA,NA,NA,NA,NA,NA,NA,"SAME","C"
"SAME1",NA,NA,NA,NA,NA,NA,NA,"SAME","T"
"SAME8",NA,NA,NA,NA,NA,NA,NA,"SAME","T"
"SAME14",NA,NA,NA,NA,NA,NA,NA,"SAME","T"
"",NA,NA,NA,NA,NA,NA,NA,"",""
