species,Sample,treat,Order,feed,abundance,orig.x,S,L,L_S
ARCA,ARCA1,C,AUCH,herb,6,arth,6,0,6
ARCA,ARCA1,C,DIPT,herb,5,arth,5,0,5
ARCA,ARCA1,C,STER,herb,1,arth,1,0,1
ARCA,ARCA1,C,DERM,omni,1,arth,1,0,1
ARCA,ARCA1,C,ARAN,pred,1,arth,0,1,1
ARCA,ARCA1,C,HETE,pred,2,arth,1,1,2
ARCA,ARCA1,C,HYME,pred,1,arth,0,1,1
ARCA,ARCA10,C,ARCH,herb,5,arth,5,0,5
ARCA,ARCA10,C,COLE,herb,6,arth,4,2,6
ARCA,ARCA10,C,PSOC,herb,4,arth,4,0,4
ARCA,ARCA10,C,STER,herb,22,arth,18,4,22
ARCA,ARCA10,C,ACAR,pred,1,arth,1,0,1
ARCA,ARCA10,C,HETE,pred,2,arth,2,0,2
ARCA,ARCA10,C,HYME,pred,2,arth,0,2,2
ARCA,ARCA14,C,AUCH,herb,8,arth,7,1,8
ARCA,ARCA14,C,COLE,herb,4,arth,2,2,4
ARCA,ARCA14,C,STER,herb,3,arth,3,0,3
ARCA,ARCA14,C,ACAR,pred,1,arth,1,0,1
ARCA,ARCA14,C,ARAN,pred,4,arth,3,1,4
ARCA,ARCA14,C,HETE,pred,1,arth,0,1,1
ARCA,ARCA14,C,HYME,pred,13,arth,3,10,13
ARCA,ARCA5,C,AUCH,herb,2,arth,1,1,2
ARCA,ARCA5,C,COLE,herb,3,arth,1,2,3
ARCA,ARCA5,C,STER,herb,1,arth,1,0,1
ARCA,ARCA5,C,HETE,pred,1,arth,0,1,1
ARCA,ARCA5,C,HYME,pred,11,arth,1,10,11
ARCA,ARCA8,C,AUCH,herb,3,arth,2,0,2
ARCA,ARCA8,C,COLE,herb,2,arth,1,1,2
ARCA,ARCA8,C,DIPT,herb,2,arth,2,0,2
ARCA,ARCA8,C,ISOP,herb,1,arth,1,0,1
ARCA,ARCA8,C,LEPI,herb,1,arth,0,1,1
ARCA,ARCA8,C,ORTH,herb,2,arth,0,2,2
ARCA,ARCA8,C,PSOC,herb,7,arth,5,2,7
ARCA,ARCA8,C,MIRID,omni,4,arth,0,4,4
ARCA,ARCA8,C,HYME,pred,5,arth,3,2,5
ARCA,ARCA11,T,AUCH,herb,18,arth,14,4,18
ARCA,ARCA11,T,COLE,herb,3,arth,0,3,3
ARCA,ARCA11,T,STER,herb,17,arth,12,5,17
ARCA,ARCA11,T,ARAN,pred,4,arth,0,4,4
ARCA,ARCA11,T,NEUR,pred,1,arth,0,1,1
ARCA,ARCA2,T,AUCH,herb,5,arth,5,0,5
ARCA,ARCA2,T,COLE,herb,8,arth,0,8,8
ARCA,ARCA2,T,LEPI,herb,2,arth,0,2,2
ARCA,ARCA3,T,ARCH,herb,3,arth,3,0,3
ARCA,ARCA3,T,AUCH,herb,19,arth,13,6,19
ARCA,ARCA3,T,PSOC,herb,2,arth,2,0,2
ARCA,ARCA3,T,STER,herb,17,arth,15,0,15
ARCA,ARCA3,T,HETE,pred,3,arth,3,0,3
ARCA,ARCA3,T,HYME,pred,1,arth,1,0,1
ARCA,ARCA4,T,AUCH,herb,8,arth,8,0,8
ARCA,ARCA4,T,COLE,herb,4,arth,0,4,4
ARCA,ARCA4,T,DIPT,herb,1,arth,1,0,1
ARCA,ARCA4,T,PSOC,herb,3,arth,3,0,3
ARCA,ARCA4,T,MIRID,omni,1,arth,0,1,1
ARCA,ARCA4,T,ARAN,pred,3,arth,1,2,3
ARCA,ARCA6,T,AUCH,herb,17,arth,13,4,17
ARCA,ARCA6,T,COLE,herb,7,arth,1,6,7
ARCA,ARCA6,T,LEPI,herb,1,arth,1,0,1
ARCA,ARCA6,T,ORTH,herb,1,arth,0,1,1
ARCA,ARCA6,T,PSOC,herb,3,arth,3,0,3
ARCA,ARCA6,T,STER,herb,1,arth,1,0,1
ARCA,ARCA6,T,ARAN,pred,3,arth,0,3,3
ARCA,ARCA6,T,NEUR,pred,1,arth,1,0,1
ARCA,ARCA7,T,AUCH,herb,13,arth,10,3,13
ARCA,ARCA7,T,COLE,herb,1,arth,0,1,1
ARCA,ARCA7,T,ARAN,pred,1,arth,0,1,1
ARCA,ARCA7,T,HYME,pred,2,arth,1,1,2
ARCA,ARCA7,T,NEUR,pred,3,arth,1,2,3
ARCA,ARCA9,T,AUCH,herb,8,arth,8,0,8
ARCA,ARCA9,T,COLE,herb,4,arth,0,4,4
ARCA,ARCA9,T,PSOC,herb,3,arth,1,2,3
ARCA,ARCA9,T,STER,herb,2,arth,2,0,2
ARCA,ARCA9,T,ARAN,pred,2,arth,2,0,2
ARCA,ARCA9,T,NEUR,pred,2,arth,2,0,2
ARDO,ARDO10,C,AUCH,herb,17,arth,12,5,17
ARDO,ARDO10,C,COLE,herb,1,arth,0,1,1
ARDO,ARDO10,C,ORTH,herb,1,arth,0,1,1
ARDO,ARDO10,C,MIRID,omni,1,arth,0,1,1
ARDO,ARDO10,C,ARAN,pred,1,arth,0,1,1
ARDO,ARDO10,C,HETE,pred,2,arth,2,0,2
ARDO,ARDO10,C,HYME,pred,3,arth,2,1,3
ARDO,ARDO11,C,AUCH,herb,11,arth,11,0,11
ARDO,ARDO11,C,COLE,herb,5,arth,4,1,5
ARDO,ARDO11,C,DIPT,herb,1,arth,1,0,1
ARDO,ARDO11,C,ISOP,herb,3,arth,0,3,3
ARDO,ARDO11,C,LEPI,herb,1,arth,1,0,1
ARDO,ARDO11,C,ARAN,pred,2,arth,1,1,2
ARDO,ARDO11,C,HYME,pred,2,arth,1,1,2
ARDO,ARDO13,C,AUCH,herb,4,arth,4,0,4
ARDO,ARDO13,C,COLE,herb,8,arth,6,2,8
ARDO,ARDO13,C,LEPI,herb,1,arth,1,0,1
ARDO,ARDO13,C,HETE,pred,5,arth,2,3,5
ARDO,ARDO13,C,HYME,pred,3,arth,3,0,3
ARDO,ARDO8,C,AUCH,herb,18,arth,10,8,18
ARDO,ARDO8,C,COLE,herb,6,arth,4,2,6
ARDO,ARDO8,C,ARAN,pred,1,arth,1,0,1
ARDO,ARDO8,C,HETE,pred,1,arth,0,1,1
ARDO,ARDO9,C,AUCH,herb,7,arth,7,0,7
ARDO,ARDO9,C,DIPT,herb,4,arth,4,0,4
ARDO,ARDO9,C,PSOC,herb,3,arth,1,2,3
ARDO,ARDO9,C,STER,herb,9,arth,9,0,9
ARDO,ARDO9,C,THYS,herb,1,arth,0,1,1
ARDO,ARDO9,C,ARAN,pred,2,arth,1,0,1
ARDO,ARDO9,C,HYME,pred,3,arth,0,3,3
ARDO,ARDO1,T,AUCH,herb,11,arth,10,1,11
ARDO,ARDO1,T,COLE,herb,9,arth,2,7,9
ARDO,ARDO1,T,DIPT,herb,4,arth,3,1,4
ARDO,ARDO1,T,LEPI,herb,1,arth,1,0,1
ARDO,ARDO1,T,PSOC,herb,1,arth,1,0,1
ARDO,ARDO1,T,STER,herb,21,arth,21,0,21
ARDO,ARDO1,T,ARAN,pred,3,arth,2,1,3
ARDO,ARDO1,T,HYME,pred,2,arth,1,1,2
ARDO,ARDO12,T,AUCH,herb,30,arth,26,4,30
ARDO,ARDO12,T,COCC,pred,8,arth,3,5,8
ARDO,ARDO12,T,HETE,pred,4,arth,4,0,4
ARDO,ARDO3,T,AUCH,herb,13,arth,11,2,13
ARDO,ARDO3,T,COLE,herb,10,arth,7,3,10
ARDO,ARDO3,T,DIPT,herb,6,arth,4,2,6
ARDO,ARDO3,T,LEPI,herb,2,arth,1,1,2
ARDO,ARDO3,T,STER,herb,11,arth,11,0,11
ARDO,ARDO3,T,ARAN,pred,4,arth,3,1,4
ARDO,ARDO3,T,HYME,pred,1,arth,1,0,1
ARDO,ARDO4,T,AUCH,herb,12,arth,7,5,12
ARDO,ARDO4,T,COLE,herb,11,arth,9,2,11
ARDO,ARDO4,T,DIPT,herb,1,arth,1,0,1
ARDO,ARDO4,T,LEPI,herb,1,arth,1,0,1
ARDO,ARDO4,T,STER,herb,20,arth,14,6,20
ARDO,ARDO4,T,MIRID,omni,1,arth,1,0,1
ARDO,ARDO4,T,ARAN,pred,3,arth,1,2,3
ARDO,ARDO5,T,ARCH,herb,1,arth,0,1,1
ARDO,ARDO5,T,DIPT,herb,1,arth,1,0,1
ARDO,ARDO5,T,STER,herb,13,arth,10,0,10
ARDO,ARDO5,T,COCC,pred,4,arth,0,4,4
ARDO,ARDO6,T,AUCH,herb,4,arth,4,0,4
ARDO,ARDO6,T,COLE,herb,1,arth,0,1,1
ARDO,ARDO6,T,STER,herb,9,arth,7,2,9
ARDO,ARDO6,T,ARAN,pred,2,arth,1,1,2
ARDO,ARDO6,T,HYME,pred,4,arth,2,2,4
ARDO,ARDO7,T,AUCH,herb,6,arth,5,1,6
ARDO,ARDO7,T,DIPT,herb,1,arth,1,0,1
ARDO,ARDO7,T,STER,herb,2,arth,2,0,2
ARDO,ARDO7,T,THYS,herb,1,arth,0,1,1
ARDO,ARDO7,T,ACAR,pred,1,arth,1,0,1
ARDO,ARDO7,T,ARAN,pred,3,arth,1,2,3
ARDO,ARDO7,T,HETE,pred,2,arth,1,1,2
ARDO,ARDO7,T,HYME,pred,1,arth,0,1,1
ENCA,ENCA10,C,COLE,herb,4,arth,4,0,4
ENCA,ENCA10,C,PSOC,herb,1,arth,1,0,1
ENCA,ENCA10,C,MIRID,omni,1,arth,0,1,1
ENCA,ENCA11,C,COLE,herb,16,arth,16,0,16
ENCA,ENCA11,C,HYME,pred,1,arth,1,0,1
ENCA,ENCA2,C,AUCH,herb,1,arth,1,0,1
ENCA,ENCA2,C,ARAN,pred,4,arth,2,2,4
ENCA,ENCA2,C,HETE,pred,1,arth,0,1,1
ENCA,ENCA2,C,HYME,pred,1,arth,0,1,1
ENCA,ENCA5,C,AUCH,herb,6,arth,6,0,6
ENCA,ENCA5,C,COLE,herb,10,arth,3,7,10
ENCA,ENCA5,C,STER,herb,1,arth,1,0,1
ENCA,ENCA5,C,MIRID,omni,1,arth,0,1,1
ENCA,ENCA5,C,ARAN,pred,4,arth,3,1,4
ENCA,ENCA5,C,HYME,pred,3,arth,3,0,3
ENCA,ENCA7,C,AUCH,herb,2,arth,1,1,2
ENCA,ENCA7,C,COLE,herb,15,arth,11,4,15
ENCA,ENCA7,C,LEPI,herb,1,arth,0,1,1
ENCA,ENCA7,C,COCC,pred,1,arth,0,1,1
ENCA,ENCA7,C,HYME,pred,2,arth,2,0,2
ENCA,ENCA1,T,AUCH,herb,2,arth,2,0,2
ENCA,ENCA1,T,DIPT,herb,1,arth,1,0,1
ENCA,ENCA1,T,MIRID,omni,1,arth,0,1,1
ENCA,ENCA1,T,COCC,pred,1,arth,0,1,1
ENCA,ENCA1,T,HYME,pred,4,arth,3,1,4
ENCA,ENCA12,T,LEPI,herb,1,arth,0,1,1
ENCA,ENCA12,T,ORTH,herb,3,arth,1,2,3
ENCA,ENCA12,T,STER,herb,9,arth,9,0,9
ENCA,ENCA12,T,ARAN,pred,1,arth,0,1,1
ENCA,ENCA12,T,HYME,pred,2,arth,1,1,2
ENCA,ENCA14,T,AUCH,herb,3,arth,3,0,3
ENCA,ENCA14,T,STER,herb,4,arth,4,0,4
ENCA,ENCA3,T,AUCH,herb,4,arth,4,0,4
ENCA,ENCA3,T,COLE,herb,9,arth,5,4,9
ENCA,ENCA3,T,MIRID,omni,4,arth,2,2,4
ENCA,ENCA3,T,COCC,pred,3,arth,0,3,3
ENCA,ENCA3,T,HETE,pred,1,arth,1,0,1
ENCA,ENCA3,T,HYME,pred,1,arth,0,1,1
ENCA,ENCA4,C,AUCH,herb,19,arth,13,6,19
ENCA,ENCA4,C,COLE,herb,13,arth,6,7,13
ENCA,ENCA4,C,DIPT,herb,4,arth,4,0,4
ENCA,ENCA4,C,THYS,herb,1,arth,1,0,1
ENCA,ENCA4,C,ACAR,pred,2,arth,2,0,2
ENCA,ENCA4,C,HYME,pred,1,arth,0,1,1
ENCA,ENCA6,T,ARCH,herb,1,arth,0,1,1
ENCA,ENCA6,T,AUCH,herb,8,arth,8,0,8
ENCA,ENCA6,T,COLE,herb,2,arth,2,0,2
ENCA,ENCA6,T,STER,herb,1,arth,1,0,1
ENCA,ENCA6,T,MIRID,omni,2,arth,2,0,2
ENCA,ENCA6,T,ARAN,pred,1,arth,0,1,1
ENCA,ENCA6,T,HYME,pred,2,arth,1,1,2
ENCA,ENCA8,T,AUCH,herb,5,arth,2,3,5
ENCA,ENCA8,T,COLE,herb,12,arth,2,10,12
ENCA,ENCA8,T,MIRID,omni,2,arth,1,1,2
ENCA,ENCA8,T,ARAN,pred,3,arth,0,3,3
ENCA,ENCA8,T,HETE,pred,7,arth,3,4,7
ENCA,ENCA8,T,HYME,pred,4,arth,2,2,4
ENCA,ENCA9,T,AUCH,herb,7,arth,4,3,7
ENCA,ENCA9,T,COLE,herb,9,arth,2,7,9
ENCA,ENCA9,T,PSOC,herb,1,arth,1,0,1
ENCA,ENCA9,T,ARAN,pred,2,arth,1,1,2
ENCA,ENCA9,T,COCC,pred,6,arth,2,4,6
ENCA,ENCA9,T,HYME,pred,4,arth,3,1,4
ERFA,ERFA1,C,AUCH,herb,8,arth,8,0,8
ERFA,ERFA1,C,COLE,herb,2,arth,1,1,2
ERFA,ERFA1,C,DIPT,herb,2,arth,1,1,2
ERFA,ERFA1,C,STER,herb,12,arth,12,0,12
ERFA,ERFA1,C,MIRID,omni,2,arth,1,1,2
ERFA,ERFA1,C,HETE,pred,2,arth,0,2,2
ERFA,ERFA1,C,HYME,pred,2,arth,1,1,2
ERFA,ERFA4,C,AUCH,herb,8,arth,7,1,8
ERFA,ERFA4,C,COLE,herb,2,arth,1,1,2
ERFA,ERFA4,C,STER,herb,1,arth,1,0,1
ERFA,ERFA4,C,THYS,herb,1,arth,1,0,1
ERFA,ERFA4,C,MIRID,omni,3,arth,2,1,3
ERFA,ERFA4,C,ACAR,pred,3,arth,3,0,3
ERFA,ERFA4,C,ARAN,pred,2,arth,1,1,2
ERFA,ERFA4,C,HETE,pred,5,arth,3,2,5
ERFA,ERFA4,C,HYME,pred,6,arth,4,2,6
ERFA,ERFA5,C,AUCH,herb,2,arth,2,0,2
ERFA,ERFA5,C,COLE,herb,6,arth,5,1,6
ERFA,ERFA5,C,MIRID,omni,11,arth,5,6,11
ERFA,ERFA5,C,HYME,pred,5,arth,5,0,5
ERFA,ERFA5,C,NEUR,pred,1,arth,0,1,1
ERFA,ERFA7,C,AUCH,herb,2,arth,2,0,2
ERFA,ERFA7,C,COLE,herb,10,arth,10,0,10
ERFA,ERFA7,C,DIPT,herb,2,arth,2,0,2
ERFA,ERFA7,C,MIRID,omni,10,arth,4,6,10
ERFA,ERFA7,C,ARAN,pred,4,arth,4,0,4
ERFA,ERFA7,C,HETE,pred,2,arth,1,1,2
ERFA,ERFA9,C,AUCH,herb,1,arth,1,0,1
ERFA,ERFA9,C,COLE,herb,7,arth,7,0,7
ERFA,ERFA9,C,LEPI,herb,2,arth,0,2,2
ERFA,ERFA9,C,MIRID,omni,11,arth,7,4,11
ERFA,ERFA9,C,ARAN,pred,6,arth,4,2,6
ERFA,ERFA9,C,HYME,pred,3,arth,1,2,3
ERFA,ERFA10,T,AUCH,herb,3,arth,3,0,3
ERFA,ERFA10,T,COLE,herb,1,arth,0,1,1
ERFA,ERFA10,T,THYS,herb,6,arth,2,4,6
ERFA,ERFA10,T,MIRID,omni,10,arth,9,1,10
ERFA,ERFA10,T,ACAR,pred,2,arth,2,0,2
ERFA,ERFA10,T,ARAN,pred,4,arth,2,2,4
ERFA,ERFA10,T,HETE,pred,1,arth,1,0,1
ERFA,ERFA10,T,HYME,pred,3,arth,3,0,3
ERFA,ERFA11,T,AUCH,herb,5,arth,5,0,5
ERFA,ERFA11,T,COLE,herb,5,arth,5,0,5
ERFA,ERFA11,T,ORTH,herb,1,arth,0,1,1
ERFA,ERFA11,T,THYS,herb,1,arth,1,0,1
ERFA,ERFA11,T,MIRID,omni,15,arth,7,8,15
ERFA,ERFA11,T,ARAN,pred,2,arth,1,1,2
ERFA,ERFA11,T,HYME,pred,1,arth,0,1,1
ERFA,ERFA11,T,NEUR,pred,1,arth,1,0,1
ERFA,ERFA12,T,AUCH,herb,6,arth,6,0,6
ERFA,ERFA12,T,COLE,herb,8,arth,6,2,8
ERFA,ERFA12,T,DIPT,herb,1,arth,1,0,1
ERFA,ERFA12,T,STER,herb,1,arth,1,0,1
ERFA,ERFA12,T,ACAR,pred,4,arth,4,0,4
ERFA,ERFA12,T,ARAN,pred,2,arth,0,2,2
ERFA,ERFA12,T,HETE,pred,2,arth,2,0,2
ERFA,ERFA12,T,HYME,pred,2,arth,0,2,2
ERFA,ERFA13,T,AUCH,herb,1,arth,1,0,1
ERFA,ERFA13,T,STER,herb,5,arth,4,1,5
ERFA,ERFA13,T,THYS,herb,8,arth,3,5,8
ERFA,ERFA13,T,MIRID,omni,1,arth,1,0,1
ERFA,ERFA13,T,ARAN,pred,2,arth,2,0,2
ERFA,ERFA13,T,HYME,pred,3,arth,3,0,3
ERFA,ERFA2,T,COLE,herb,4,arth,3,1,4
ERFA,ERFA2,T,MIRID,omni,32,arth,27,5,32
ERFA,ERFA2,T,ARAN,pred,4,arth,2,2,4
ERFA,ERFA2,T,HYME,pred,6,arth,6,0,6
ERFA,ERFA3,T,AUCH,herb,1,arth,1,0,1
ERFA,ERFA3,T,COLE,herb,1,arth,0,1,1
ERFA,ERFA3,T,MIRID,omni,1,arth,1,0,1
ERFA,ERFA3,T,HETE,pred,4,arth,2,2,4
ERFA,ERFA6,T,AUCH,herb,6,arth,4,2,6
ERFA,ERFA6,T,COLE,herb,3,arth,2,1,3
ERFA,ERFA6,T,ISOP,herb,1,arth,0,1,1
ERFA,ERFA6,T,LEPI,herb,1,arth,0,1,1
ERFA,ERFA6,T,STER,herb,6,arth,5,1,6
ERFA,ERFA6,T,THYS,herb,3,arth,3,0,3
ERFA,ERFA6,T,ARAN,pred,4,arth,0,4,4
ERFA,ERFA6,T,HETE,pred,10,arth,8,2,10
ERFA,ERFA6,T,HYME,pred,2,arth,0,2,2
ERFA,ERFA8,T,AUCH,herb,4,arth,4,0,4
ERFA,ERFA8,T,PSOC,herb,9,arth,2,7,9
ERFA,ERFA8,T,STER,herb,13,arth,10,3,13
ERFA,ERFA8,T,THYS,herb,1,arth,1,0,1
ERFA,ERFA8,T,HYME,pred,1,arth,1,0,1
ERPA,ERPA10,C,AUCH,herb,10,arth,10,0,10
ERPA,ERPA10,C,HETE,pred,1,arth,1,0,1
ERPA,ERPA10,C,HYME,pred,7,arth,7,0,7
ERPA,ERPA2,C,AUCH,herb,5,arth,5,0,5
ERPA,ERPA2,C,ISOP,herb,1,arth,1,0,1
ERPA,ERPA4,C,AUCH,herb,9,arth,6,3,9
ERPA,ERPA4,C,COLE,herb,1,arth,0,1,1
ERPA,ERPA4,C,ORTH,herb,2,arth,0,2,2
ERPA,ERPA4,C,ARAN,pred,3,arth,1,2,3
ERPA,ERPA4,C,COCC,pred,2,arth,2,0,2
ERPA,ERPA4,C,HYME,pred,2,arth,2,0,2
ERPA,ERPA6,C,AUCH,herb,8,arth,8,0,8
ERPA,ERPA6,C,COCC,pred,4,arth,4,0,4
ERPA,ERPA8,C,AUCH,herb,7,arth,7,0,7
ERPA,ERPA8,C,COLE,herb,14,arth,7,7,14
ERPA,ERPA8,C,DIPT,herb,1,arth,1,0,1
ERPA,ERPA8,C,THYS,herb,2,arth,2,0,2
ERPA,ERPA8,C,ARAN,pred,1,arth,1,0,1
ERPA,ERPA8,C,HYME,pred,4,arth,3,1,4
