"species","Sample","treat","ID","value","feed","size"
"ARDO","ARDO11","C","LEPI",1,"herb","S"
"ERFA","ERFA9","C","LEPI",2,"herb","L"
"LUAL","LUAL12","T","LEPI",1,"herb","L"
"SAAP","SAAP12","C","LEPI",1,"herb","L"
"SAAP","SAAP2","C","LEPI",1,"herb","L"
"SAAP","SAAP5","T","LEPI",1,"herb","L"
"ARDO","ARDO1","T","LEPID",1,"herb","L"
"ARDO","ARDO3","T","LEPID",2,"herb","L"
"SAAP","SAAP11","T","LEPID",1,"herb","L"
"ARCA","ARCA5","C","HYME",1,"pred","L"
"ARCA","ARCA7","T","HYME",1,"pred","L"
"ARDO","ARDO13","C","HYME",1,"pred","S"
"ENCA","ENCA1","T","HYME",1,"pred","L"
"ENCA","ENCA1","T","HYME",3,"pred","S"
"ENCA","ENCA11","C","HYME",1,"pred","S"
"ENCA","ENCA3","T","HYME",1,"pred","L"
"ENCA","ENCA6","T","HYME",1,"pred","L"
"ENCA","ENCA6","T","HYME",1,"pred","S"
"ENCA","ENCA8","T","HYME",2,"pred","L"
"ENCA","ENCA8","T","HYME",2,"pred","S"
"ENCA","ENCA9","T","HYME",4,"pred","S"
"ERFA","ERFA11","T","HYME",1,"pred","L"
"ERFA","ERFA13","T","HYME",2,"pred","S"
"ERFA","ERFA2","T","HYME",6,"pred","S"
"ERFA","ERFA5","C","HYME",5,"pred","S"
"ERFA","ERFA6","T","HYME",2,"pred","L"
"ERFA","ERFA9","C","HYME",1,"pred","L"
"ERFA","ERFA9","C","HYME",1,"pred","S"
"ERPA","ERPA10","C","HYME",1,"pred","S"
"ERPA","ERPA3","T","HYME",3,"pred","S"
"ERPA","ERPA3.1",NA,"HYME",1,"pred","L"
"ERPA","ERPA3.1",NA,"HYME",9,"pred","S"
"ISME","ISME7","T","HYME",1,"pred","S"
"ISME","ISME8","T","HYME",2,"pred","S"
"LUAL","LUAL11","T","HYME",1,"pred","S"
"LUAL","LUAL2","C","HYME",1,"pred","S"
"LUAL","LUAL6.2",NA,"HYME",1,"pred","L"
"SAAP","SAAP1","T","HYME",1,"pred","S"
"SAAP","SAAP10","T","HYME",1,"pred","S"
"SAAP","SAAP11","T","HYME",1,"pred","S"
"SAAP","SAAP15","T","HYME",6,"pred","S"
"SAAP","SAAP3","T","HYME",14,"pred","S"
"SAAP","SAAP6","C","HYME",1,"pred","S"
"SAAP","SAAP7","T","HYME",1,"pred","S"
"SAME","SAME10","T","HYME",3,"pred","L"
"SAME","SAME4","T","HYME",5,"pred","L"
"SAME","SAME7","T","HYME",1,"pred","S"
"ARCA","ARCA11","T","HEMI",8,"herb","L"
"ARCA","ARCA11","T","HEMI",10,"herb","S"
"ARCA","ARCA14","C","HEMI",5,"herb","L"
"ARCA","ARCA14","C","HEMI",1,"herb","L"
"ARCA","ARCA14","C","HEMI",2,"herb","S"
"ARCA","ARCA2","T","HEMI",4,"herb","L"
"ARCA","ARCA2","T","HEMI",1,"herb","S"
"ARCA","ARCA4","T","HEMI",1,"herb","L"
"ARCA","ARCA4","T","HEMI",7,"herb","S"
"ARCA","ARCA5","C","HEMI",1,"herb","L"
"ARCA","ARCA5","C","HEMI",1,"herb","S"
"ARCA","ARCA6","T","HEMI",7,"herb","L"
"ARCA","ARCA6","T","HEMI",10,"herb","S"
"ARCA","ARCA7","T","HEMI",3,"herb","L"
"ARCA","ARCA9","T","HEMI",8,"herb","L"
"ARCA","ARCAC2",NA,"HEMI",5,"herb","L"
"ARCA","ARCAC2",NA,"HEMI",1,"herb","S"
"ARDO","ARDO1","T","HEMI",4,"herb","L"
"ARDO","ARDO1","T","HEMI",7,"herb","S"
"ARDO","ARDO10","C","HEMI",17,"herb","S"
"ARDO","ARDO11","C","HEMI",4,"herb","L"
"ARDO","ARDO11","C","HEMI",7,"herb","S"
"ARDO","ARDO13","C","HEMI",1,"herb","L"
"ARDO","ARDO3","T","HEMI",6,"herb","L"
"ARDO","ARDO3","T","HEMI",7,"herb","S"
"ARDO","ARDO6","T","HEMI",1,"herb","L"
"ARDO","ARDO6","T","HEMI",3,"herb","S"
"ARDO","ARDO7","T","HEMI",2,"herb","L"
"ARDO","ARDO7","T","HEMI",4,"herb","S"
"ARDO","ARDO8","C","HEMI",8,"herb","L"
"ARDO","ARDO8","C","HEMI",10,"herb","S"
"ENCA","ENCA1","T","HEMI",1,"herb","L"
"ENCA","ENCA1","T","HEMI",1,"herb","S"
"ENCA","ENCA3","T","HEMI",4,"herb","S"
"ENCA","ENCA4","T","HEMI",19,"herb","S"
"ENCA","ENCA5","C","HEMI",6,"herb","S"
"ENCA","ENCA6","T","HEMI",7,"herb","L"
"ENCA","ENCA6","T","HEMI",1,"herb","S"
"ENCA","ENCA7","C","HEMI",2,"herb","S"
"ENCA","ENCA8","T","HEMI",1,"herb","S"
"ENCA","ENCA9","T","HEMI",7,"herb","S"
"ENCA","ENCAX",NA,"HEMI",1,"herb","S"
"ERFA","ERFA10","T","HEMI",1,"herb","L"
"ERFA","ERFA10","T","HEMI",2,"herb","S"
"ERFA","ERFA11","T","HEMI",3,"herb","L"
"ERFA","ERFA11","T","HEMI",2,"herb","S"
"ERFA","ERFA12","T","HEMI",6,"herb","L"
"ERFA","ERFA13","T","HEMI",1,"herb","L"
"ERFA","ERFA3","T","HEMI",1,"herb","S"
"ERFA","ERFA4","C","HEMI",8,"herb","S"
"ERFA","ERFA5","C","HEMI",2,"herb","S"
"ERFA","ERFA6","T","HEMI",1,"herb","L"
"ERFA","ERFA6","T","HEMI",5,"herb","S"
"ERFA","ERFA7","C","HEMI",2,"herb","S"
"ERFA","ERFA9","C","HEMI",1,"herb","L"
"ERPA","ERPA1","T","HEMI",1,"herb","L"
"ERPA","ERPA10","C","HEMI",8,"herb","L"
"ERPA","ERPA10","C","HEMI",1,"herb","S"
"ERPA","ERPA10","C","HEMI",1,"herb","S"
"ERPA","ERPA11","T","HEMI",2,"herb","L"
"ERPA","ERPA11","T","HEMI",2,"herb","S"
"ERPA","ERPA12","T","HEMI",1,"herb","S"
"ERPA","ERPA3","T","HEMI",3,"herb","S"
"ERPA","ERPA3.1",NA,"HEMI",7,"herb","L"
"ERPA","ERPA4","C","HEMI",4,"herb","L"
"ERPA","ERPA4","C","HEMI",5,"herb","S"
"ERPA","ERPA7","T","HEMI",1,"herb","S"
"ERPA","ERPA8","C","HEMI",10,"herb","S"
"ISME","ISME1","T","HEMI",3,"herb","S"
"ISME","ISME12","C","HEMI",2,"herb","L"
"ISME","ISME12","C","HEMI",2,"herb","S"
"ISME","ISME13","C","HEMI",1,"herb","S"
"ISME","ISME4","T","HEMI",2,"herb","S"
"ISME","ISME5","T","HEMI",1,"herb","S"
"ISME","ISME6","T","HEMI",7,"herb","L"
"ISME","ISME7","T","HEMI",1,"herb","L"
"ISME","ISME8","T","HEMI",3,"herb","L"
"ISME","ISME8","T","HEMI",2,"herb","S"
"LUAL","LUAL10","T","HEMI",2,"herb","S"
"LUAL","LUAL11","T","HEMI",4,"herb","L"
"LUAL","LUAL11","T","HEMI",3,"herb","S"
"LUAL","LUAL12","T","HEMI",8,"herb","L"
"LUAL","LUAL12","T","HEMI",25,"herb","S"
"LUAL","LUAL13","T","HEMI",1,"herb","L"
"LUAL","LUAL13","T","HEMI",30,"herb","S"
"LUAL","LUAL14",NA,"HEMI",1,"herb","S"
"LUAL","LUAL2","C","HEMI",1,"herb","L"
"LUAL","LUAL2","C","HEMI",9,"herb","S"
"LUAL","LUAL3","C","HEMI",5,"herb","S"
"LUAL","LUAL4","T","HEMI",2,"herb","L"
"LUAL","LUAL6.2",NA,"HEMI",2,"herb","L"
"SAAP","SAAP1","T","HEMI",3,"herb","L"
"SAAP","SAAP10","T","HEMI",17,"herb","L"
"SAAP","SAAP10","T","HEMI",39,"herb","S"
"SAAP","SAAP11","T","HEMI",11,"herb","L"
"SAAP","SAAP11","T","HEMI",22,"herb","S"
"SAAP","SAAP12","C","HEMI",10,"herb","L"
"SAAP","SAAP12","C","HEMI",6,"herb","S"
"SAAP","SAAP15","T","HEMI",3,"herb","L"
"SAAP","SAAP15","T","HEMI",7,"herb","S"
"SAAP","SAAP2","C","HEMI",6,"herb","L"
"SAAP","SAAP2","C","HEMI",22,"herb","S"
"SAAP","SAAP4","C","HEMI",8,"herb","L"
"SAAP","SAAP4","C","HEMI",23,"herb","S"
"SAAP","SAAP5","T","HEMI",1,"herb","L"
"SAAP","SAAP5","T","HEMI",4,"herb","S"
"SAAP","SAAP6","C","HEMI",12,"herb","L"
"SAAP","SAAP6","C","HEMI",11,"herb","S"
"SAAP","SAAP7","T","HEMI",11,"herb","L"
"SAAP","SAAP7","T","HEMI",8,"herb","S"
"SAAP","SAAP8","C","HEMI",3,"herb","L"
"SAAP","SAAP8","C","HEMI",2,"herb","S"
"SAAP","SAAP9","T","HEMI",8,"herb","L"
"SAAP","SAAP9","T","HEMI",9,"herb","S"
"SAME","SAME10","T","HEMI",1,"herb","S"
"SAME","SAME11","C","HEMI",1,"herb","L"
"SAME","SAME11","C","HEMI",3,"herb","S"
"SAME","SAME12","T","HEMI",6,"herb","S"
"SAME","SAME3","T","HEMI",4,"herb","L"
"SAME","SAME3","T","HEMI",1,"herb","S"
"SAME","SAME4","T","HEMI",2,"herb","S"
"SAME","SAME5","T","HEMI",1,"herb","L"
"SAME","SAME5","T","HEMI",9,"herb","S"
"SAME","SAME5.2",NA,"HEMI",1,"herb","L"
"SAME","SAME5.2",NA,"HEMI",7,"herb","S"
"SAME","SAME7","T","HEMI",1,"herb","L"
"SAME","SAME7","T","HEMI",3,"herb","S"
"SAAP","SAAP1","T","HETE",8,"herb","S"
"SAAP","SAAP3","T","HETE",7,"herb","L"
"SAAP","SAAP3","T","HETE",6,"herb","S"
"ARDO","ARDO1","T","HYME",1,"pred","L"
"ARDO","ARDO1","T","HYME",1,"pred","S"
"ARDO","ARDO10","C","HYME",3,"pred","S"
"ARDO","ARDO11","C","HYME",1,"pred","S"
"ARDO","ARDO3","T","HYME",1,"pred","S"
"ENCA","ENCA5","C","HYME",3,"pred","S"
"ENCA","ENCA7","C","HYME",2,"pred","S"
"ERFA","ERFA10","T","HYME",3,"pred","S"
"ERFA","ERFA9","C","HYME",1,"pred","L"
"ERPA","ERPA7","T","HYME",1,"pred","L"
"ERPA","ERPA8","C","HYME",1,"pred","L"
"SAAP","SAAP1","T","HYME",2,"pred","L"
"SAAP","SAAP9","T","HYME",1,"pred","L"
"SAME","SAME5","T","HYME",1,"pred","S"
"SAAP","SAAP4","C","HYME",3,"pred","S"
"ENCA","ENCA1","T","COLE",1,"pred","S"
"ENCA","ENCA3","T","COLE",1,"pred","L"
"ENCA","ENCA3","T","COLE",2,"pred","S"
"ENCA","ENCA7","C","COLE",1,"pred","S"
"ENCA","ENCA9","T","COLE",6,"pred","S"
"ERPA","ERPA3","T","COLE",1,"pred","L"
"ERPA","ERPA4","C","COLE",2,"pred","S"
"LUAL","LUAL11","T","COLE",2,"pred","S"
"LUAL","LUAL12","T","COLE",1,"pred","S"
"SAAP","SAAP1","T","COLE",1,"pred","L"
"SAAP","SAAP4","C","COLE",1,"pred","S"
"SAAP","SAAP6","C","COLE",1,"pred","S"
"SAME","SAME7","T","COLE",1,"pred","S"
"ARCA","ARCA11","T","COLE",3,"herb","L"
"ARCA","ARCA11.2",NA,"COLE",13,"herb","L"
"ARCA","ARCA14","C","COLE",4,"herb","L"
"ARCA","ARCA2","T","COLE",8,"herb","L"
"ARCA","ARCA4","T","COLE",4,"herb","L"
"ARCA","ARCA6","T","COLE",6,"herb","L"
"ARCA","ARCA9","T","COLE",4,"herb","L"
"ARDO","ARDO13","C","COLE",1,"herb","S"
"ERFA","ERFA5","C","COLE",1,"herb","L"
"ERPA","ERPA3","T","COLE",7,"herb","L"
"ERPA","ERPA4","C","COLE",1,"herb","L"
"ISME","ISME1","T","COLE",3,"herb","L"
"ISME","ISME10","C","COLE",18,"herb","L"
"ISME","ISME11","C","COLE",24,"herb","L"
"ISME","ISME12","C","COLE",20,"herb","L"
"ISME","ISME13","C","COLE",15,"herb","L"
"ISME","ISME3","T","COLE",6,"herb","L"
"ISME","ISME4","T","COLE",14,"herb","L"
"ISME","ISME5","T","COLE",5,"herb","L"
"ISME","ISME7","T","COLE",3,"herb","L"
"ISME","ISME8","T","COLE",17,"herb","L"
"ISME","ISME9","C","COLE",15,"herb","L"
"LUAL","LUAL11","T","COLE",12,"herb","L"
"LUAL","LUAL11","T","COLE",8,"herb","S"
"LUAL","LUAL12","T","COLE",5,"herb","L"
"LUAL","LUAL14",NA,"COLE",26,"herb","S"
"SAAP","SAAP1","T","COLE",11,"herb","L"
"SAAP","SAAP10","T","COLE",10,"herb","L"
"SAAP","SAAP11","T","COLE",15,"herb","L"
"SAAP","SAAP15","T","COLE",12,"herb","L"
"SAAP","SAAP9","T","COLE",4,"herb","L"
"SAME","SAME7","T","COLE",1,"herb","L"
"ISME","ISME3","T","ARAN",1,"pred","L"
"ISME","ISME5","T","ARAN",1,"pred","L"
"ARCA","ARCA14","C","HEMI",1,"pred","L"
"ARCA","ARCA5","C","HEMI",1,"pred","S"
"ARCA","ARCAC2",NA,"HEMI",1,"pred","L"
"ARCA","ARCAC2",NA,"HEMI",1,"pred","S"
"ARDO","ARDO10","C","HEMI",2,"pred","S"
"ARDO","ARDO13","C","HEMI",1,"pred","L"
"ARDO","ARDO13","C","HEMI",4,"pred","S"
"ARDO","ARDO7","T","HEMI",2,"pred","S"
"ARDO","ARDO8","C","HEMI",1,"pred","S"
"ENCA","ENCA3","T","HEMI",1,"pred","S"
"ENCA","ENCA8","T","HEMI",7,"pred","S"
"ENCA","ENCAX",NA,"HEMI",1,"pred","S"
"ERFA","ERFA10","T","HEMI",1,"pred","L"
"ERFA","ERFA12","T","HEMI",2,"pred","L"
"ERFA","ERFA3","T","HEMI",4,"pred","S"
"ERFA","ERFA4","C","HEMI",1,"pred","L"
"ERFA","ERFA4","C","HEMI",4,"pred","S"
"ERFA","ERFA6","T","HEMI",1,"pred","L"
"ERFA","ERFA6","T","HEMI",9,"pred","S"
"ERFA","ERFA7","C","HEMI",2,"pred","S"
"ERPA","ERPA10","C","HEMI",1,"pred","S"
"ERPA","ERPA12","T","HEMI",2,"pred","S"
"LUAL","LUAL14",NA,"HEMI",1,"pred","L"
"LUAL","LUAL2","C","HEMI",1,"pred","L"
"LUAL","LUAL2","C","HEMI",4,"pred","S"
"LUAL","LUAL3","C","HEMI",2,"pred","L"
"LUAL","LUAL3","C","HEMI",1,"pred","S"
"LUAL","LUAL4","T","HEMI",1,"pred","L"
"LUAL","LUAL6.2",NA,"HEMI",2,"pred","L"
"SAAP","SAAP15","T","HEMI",1,"pred","S"
"SAME","SAME12","T","HEMI",8,"pred","S"
"SAME","SAME4","T","HEMI",18,"pred","L"
"SAME","SAME5","T","HEMI",1,"pred","S"
"ENCA","ENCA6","T","COLE",1,"herb","S"
"LUAL","LUAL11","T","COLE",1,"herb","L"
"ERPA","ERPA7","T","LEPI",1,"herb","S"
"SAAP","SAAP3","T","LEPI",1,"herb","L"
"ARCA","ARCA6","T","LEPID",1,"herb","L"
"ENCA","ENCA7","C","LEPID",1,"herb","S"
"ENCA","ENCA1","T","COLE",1,"omni","L"
"ENCA","ENCA8","T","COLE",1,"omni","L"
"ENCA","ENCA8","T","COLE",1,"omni","S"
"SAAP","SAAP3","T","COLE",3,"omni","S"
"SAAP","SAAP5","T","COLE",4,"omni","L"
"SAAP","SAAP5","T","COLE",5,"omni","S"
"SAAP","SAAP6","C","COLE",1,"omni","L"
"ARDO","ARDO10","C","HEMI",1,"omni","L"
"ENCA","ENCA5","C","HEMI",1,"omni","S"
"ERFA","ERFA10","T","HEMI",10,"omni","S"
"ERFA","ERFA11","T","HEMI",1,"omni","L"
"ERFA","ERFA11","T","HEMI",14,"omni","S"
"ERFA","ERFA13","T","HEMI",1,"omni","S"
"ERFA","ERFA2","T","HEMI",6,"omni","L"
"ERFA","ERFA2","T","HEMI",26,"omni","S"
"ERFA","ERFA3","T","HEMI",1,"omni","L"
"ERFA","ERFA4","C","HEMI",2,"omni","L"
"ERFA","ERFA4","C","HEMI",1,"omni","S"
"ERFA","ERFA5","C","HEMI",2,"omni","L"
"ERFA","ERFA5","C","HEMI",9,"omni","S"
"ERFA","ERFA7","C","HEMI",10,"omni","S"
"ERFA","ERFA9","C","HEMI",6,"omni","L"
"ERFA","ERFA9","C","HEMI",5,"omni","S"
"ERPA","ERPA1","T","HEMI",1,"omni","S"
"ERPA","ERPA12","T","HEMI",1,"omni","S"
"ERPA","ERPA3.1",NA,"HEMI",1,"omni","L"
"ERPA","ERPA7","T","HEMI",3,"omni","L"
