"Sample","sp","plant","treat","flower","diameter","height","complexity","sample_g","vaccum","vac_sec","vac_min","abun_comp","plant_g","vac_g_min","dens_g_min","plant_kg","plant_vol","sum","kg_min"
"ARCA1","ARCA",1,"C","N",0.87,1.01,11,7.827,"2:28",148,2.466666667,17,791,320.6756757,0.053013064,0.791,0.600412548574284,6.79289792989429,0.320675675632341
"ARCA2","ARCA",2,"T","N",0.91,1.37,9,4.998,"3:47",227,3.783333333,15,678,179.2070485,0.083702065,0.678,0.891031860179915,13.7950068596,0.179207048473939
"ARCA3","ARCA",3,"T","N",1.29,1.45,8,4.544,"3:03",183,3.05,45,678,222.295082,0.202433628,0.678,1.89512257137906,10.5540166168632,0.222295081967213
"ARCA4","ARCA",4,"T","N",0.7,1.31,7,5.932,"3:49",229,3.816666667,20,791,207.2489083,0.096502318,0.791,0.504147081084822,13.5253917616419,0.207248908278843
"ARCA5","ARCA",5,"C","N",0.78,0.92,10,8.675,"3:36",216,3.6,18,565,156.9444444,0.114690265,0.565,0.439609343202127,29.1411575667865,0.156944444444444
"ARCA6","ARCA",6,"T","N",0.64,0.95,10,9.91,"3:33",213,3.55,34,904,254.6478873,0.133517699,0.904,0.305614133341215,24.8606142714589,0.254647887323944
"ARCA7","ARCA",7,"T","N",0.75,0.9,12,7.983,"3:23",203,3.383333333,20,1017,300.591133,0.066535562,1.017,0.397607820219958,12.8371947910876,0.300591133034541
"ARCA8","ARCA",8,"C","N",0.73,1.06,11,6.868,"3:45",225,3.75,27,791,210.9333333,0.128002528,0.791,0.44365100215097,15.9252767662518,0.210933333333333
"ARCA9","ARCA",9,"T","N",1,1.25,6,3.209,"2:42",162,2.7,21,791,292.962963,0.071681416,0.791,0.98174770424681,8.16642061287189,0.292962962962963
"ARCA10","ARCA",10,"C","N",0.9,1.2,7,4.444,"3:30",210,3.5,42,1130,322.8571429,0.130088496,1.13,0.76340701482232,11.8855869824456,0.322857142857143
"ARCA11","ARCA",11,"T","N",0.99,1.04,12,6.899,"3:58",238,3.966666667,43,1130,284.8739496,0.150943953,1.13,0.800559489543673,26.0063197324175,0.284873949555893
"ARCA14","ARCA",14,"C","N",0.6,0.73,6,8,"1:32",92,1.533333333,34,565,368.4782609,0.092271386,0.565,0.206402637340849,32.8418097997128,0.368478260949669
"ARDO1","ARDO",1,"T","N",0.6,1.11,3,8.113,"1:58",118,1.966666667,52,418.68,212.8881356,0.244259737,0.41868,0.31384510609362,20.6449289781425,0.212888135557138
"ARDO3","ARDO",3,"T","N",0.51,1,8,8,"2:05",125,2.083333333,47,418.68,200.9664,0.23386994,0.41868,0.204282062299676,32.180843851633,0.200966400032155
"ARDO4","ARDO",4,"T","N",0.74,0.82,2,NA,"2:12",132,2.2,49,558.24,253.7454545,0.193106907,0.55824,0.352668908106683,21.0693323017956,0.253745454545454
"ARDO5","ARDO",5,"T","N",0.56,0.84,3,1.611,"2:19",139,2.316666667,19,348.9,150.6043165,0.126158403,0.3489,0.206892725794809,7.00129475330521,0.150604316525093
"ARDO6","ARDO",6,"T","N",0.74,0.87,3,2.023,"1:56",116,1.933333333,20,488.46,252.6517241,0.079160354,0.48846,0.374173109820505,11.0429988786331,0.252651724181492
"ARDO7","ARDO",7,"T","N",0.6,0.68,2,1.766,"1:58",134,2.233333333,17,418.68,187.4686567,0.090681825,0.41868,0.192265470399695,11.0182940639811,0.187468656744398
"ARDO8","ARDO",8,"C","N",0.75,0.79,3,3.522,"2:30",150,2.5,26,628.02,251.208,0.103499889,0.62802,0.349011308859741,18.4288524299472,0.251208
"ARDO9","ARDO",9,"C","Y",0.81,0.77,4,NA,"2:51",171,2.85,29,628.02,220.3578947,0.131604089,0.62802,0.396780795953901,9.09114312136847,0.220357894736842
"ARDO10","ARDO",10,"C","N",0.72,0.83,3,1.098,"2:01",121,2.016666667,26,418.68,207.6099174,0.125234865,0.41868,0.337934838561347,17.0068231637533,0.207609917321056
"ARDO11","ARDO",11,"C","N",0.55,0.74,6,3.533,"2:21",141,2.35,25,348.9,148.4680851,0.168386357,0.3489,0.175811378876519,9.02870178093829,0.148468085106383
"ARDO12","ARDO",12,"T","N",0.48,0.78,8,NA,"2:57",177,2.95,42,279.12,94.61694915,0.443895099,0.27912,0.141145474740482,20.0345339178526,0.0946169491525424
"ARDO13","ARDO",13,"C","N",0.54,0.73,5,2.379,"2:40",160,2.666666667,21,279.12,104.67,0.200630553,0.27912,0.167186136246088,18.3447966002202,0.104669999986916
"ENCA1","ENCA",1,"T","Y",0.6,0.98,6,NA,"2:45",178,2.966666667,9,219.9,74.12359551,0.121418827,0.2199,0.27708847204662,5.91946938529427,0.0741235954972895
"ENCA2","ENCA",2,"C","N",1.64,1.12,8,6.545,"3:28",268,4.466666667,7,703.68,157.5402985,0.044433076,0.70368,2.36589572830663,8.99415016282061,0.157540298495706
"ENCA3","ENCA",3,"T","Y",1.24,0.95,10,NA,"4:00",240,4,22,615.72,153.93,0.142922107,0.61572,1.14724680523792,16.7886040577361,0.15393
"ENCA4","ENCA",4,"C","Y",1.2,0.94,12,11.47,"3:38",218,3.633333333,40,615.72,169.4642202,0.236038026,0.61572,1.06311495397479,NA,0.169464220199033
"ENCA5","ENCA",5,"C","N",0.81,1,15,4.747,"2:58",178,2.966666667,25,439.8,148.247191,0.168637259,0.4398,0.515299735005066,16.4007105936945,0.148247190994579
"ENCA6","ENCA",6,"T","N",1.19,1.21,8,17.766,"4:45",285,4.75,17,527.76,111.1073684,0.153005154,0.52776,1.34576483041642,5.60860538741025,0.111107368421053
"ENCA7","ENCA",7,"C","N",1.24,0.91,7,17.998,"3:15",195,3.25,21,659.7,202.9846154,0.103456116,0.6597,1.09894167659632,10.6188132209368,0.202984615384615
"ENCA8","ENCA",8,"T","Y",1.23,0.9,7,NA,"3:14",284,4.733333333,33,791.64,167.2478873,0.197311909,0.79164,1.0694059932636,40.0738209118616,0.167247887335722
"ENCA9","ENCA",9,"T","Y",1.3,0.81,10,NA,"2:44",284,4.733333333,29,791.64,167.2478873,0.173395314,0.79164,1.07513154587477,27.6376242674312,0.167247887335722
"ENCA10","ENCA",10,"C","Y",1.35,0.85,12,22.222,"3:42",222,3.7,6,703.68,190.1837838,0.031548431,0.70368,1.21667992987307,1.62259254248404,0.190183783783784
"ENCA11","ENCA",11,"C","N",1.19,1.54,6,11.491,"3:56",266,4.433333333,17,527.76,119.043609,0.14280481,0.52776,1.71279160234817,0.8196,0.119043609031507
"ENCA12","ENCA",12,"T","N",0.91,1.37,4,5.308,"2:30",150,2.5,16,263.88,105.552,0.151584053,0.26388,0.891031860179915,7.88565612686507,0.105552
"ENCA14","ENCA",14,"T","N",1.03,1.52,5,9.761,"1:33",160,2.666666667,7,175.92,65.97,0.106108837,0.17592,1.2665079455535,0.4036,0.0659699999917537
"ERFA1","ERFA",1,"C","Y",1.43,0.9,14,23.456,"3:26",206,3.433333333,30,564.59,164.4436893,0.18243327,0.56459,1.4454546338983,10.4055261398999,0.164443689336354
"ERFA2","ERFA",2,"T","Y",1.27,0.85,16,22.282,"3:38",218,3.633333333,46,608.02,167.3449541,0.274881309,0.60802,1.07675339308218,15.9432908665991,0.167344954143793
"ERFA3","ERFA",3,"T","Y",1.19,0.55,24,20.992,"2:30",150,2.5,27,477.73,191.092,0.03663157,0.47773,0.61171128655292,4.58230877329438,0.191092
"ERFA4","ERFA",4,"C","Y",1.24,0.57,25,17.533,"4:05",120,2,31,434.3,217.15,0.142758462,0.4343,0.688348083142752,15.9287459604831,0.21715
"ERFA5","ERFA",5,"T","Y",0.99,0.63,16,10.943,"3:38",245,4.083333333,25,477.73,116.995102,0.213684159,0.47773,0.484954306165879,NA,0.116995102050367
"ERFA6","ERFA",6,"C","Y",1.3,0.71,18,27.674,"4:09",249,4.15,36,390.87,94.18554217,0.382224269,0.39087,0.942399256260598,NA,0.0941855421686747
"ERFA7","ERFA",7,"C","Y",1.56,0.87,35,10.366,"4:25",265,4.416666667,30,825.17,216.330566,0.138676658,0.82517,1.66287012428631,11.0827477973883,0.186830943382126
"ERFA8","ERFA",8,"T","Y",1.51,0.66,30,14.982,"3:21",210,3.5,28,1042.32,297.8057143,0.09402103,1.04232,1.18191899255926,5.90851548110225,0.297805714285714
"ERFA9","ERFA",9,"C","Y",1.6,0.79,24,25.013,"4:55",295,4.916666667,30,825.17,167.8311864,0.178751045,0.82517,1.588389245655,17.1960982977462,0.1678311864293
"ERFA10","ERFA",10,"T","Y",1.31,0.65,21,4.186,"2:43",163,2.716666667,30,651.45,175.8515337,0.170598455,0.65145,0.876084162334135,10.3266518900629,0.239797545982847
"ERFA11","ERFA",11,"T","Y",1.14,0.71,20,18.28,"2:51",171,2.85,31,651.45,228.5789474,0.135620539,0.65145,0.72469945173744,18.0226167587626,0.228578947368421
"ERFA12","ERFA",12,"T","Y",1.2,0.8,14,10.856,"2:44",164,2.733333333,26,651.45,238.3353659,0.109089979,0.65145,0.904778684233861,13.7252581514731,0.238335365882724
"ERFA13","ERFA",13,"T","Y",1.09,0.77,14,5.252,"2:26",133,2.216666667,20,477.73,137.1473684,0.145828536,0.47773,0.718511299608032,2.89739731595621,0.215517293200674
"ERPA1","ERPA",1,"T","Y",1.14,1.12,30,9.669,"2:58",178,2.966666667,6,542.24,182.7775281,0.032826793,0.54224,1.14318786752948,2.83929471980632,0.182777528069351
"ERPA2","ERPA",2,"C","Y",1.22,1.03,18,NA,"3:52",232,3.866666667,6,610.02,157.7637931,0.03803154,0.61002,1.20405622519278,0.2841,0.157763793089848
"ERPA3","ERPA",3,"T","Y",1,0.85,25,9.576,"2:28",148,2.466666667,19,542.24,219.827027,0.086431592,0.54224,0.667588438887831,21.1100775146622,0.219827026997321
"ERPA4","ERPA",4,"C","N",1.3,0.8,30,23.779,"3:29",209,3.483333333,19,847.25,243.2296651,0.078115472,0.84725,1.06185831691335,13.7413285255706,0.243229665095046
"ERPA5","ERPA",5,"T","Y",1.18,0.72,31,36.256,"2:30",150,2.5,23,813.36,325.344,0.070694403,0.81336,0.787383649954517,14.7237573933461,0.325344
"ERPA6","ERPA",6,"C","N",1,0.96,22,NA,"1:20",80,1.333333333,12,305.01,228.7575,0.052457296,0.30501,0.75398223686155,0.6024,0.228757500057189
"ERPA7","ERPA",7,"T","Y",1.47,0.91,20,13.662,"3:40",265,4.416666667,25,1152.26,260.8890566,0.095826173,1.15226,1.54442187106985,8.80325762033657,0.260889056584084
"ERPA8","ERPA",8,"C","Y",1.63,0.99,90,9.854,"2:12",132,2.2,29,982.81,446.7318182,0.064915904,0.98281,2.06585713652737,14.741118972768,0.446731818181818
"ERPA9","ERPA",9,"T","Y",0.96,1.14,16,16.545,"2:55",175,2.916666667,3,610.02,209.1497143,0.014343792,0.61002,0.825158160021281,0.123,0.209149714261811
"ERPA10","ERPA",10,"C","N",1.21,1.01,25,12.456,"3:17",197,3.283333333,18,847.25,258.0456853,0.06975509,0.84725,1.16140046554051,1.7273,0.258045685305385
"ERPA11","ERPA",11,"T","Y",1.31,0.7,18,6.26,"2:39",159,2.65,8,508.35,191.8301887,0.041703551,0.50835,0.943475251744453,0.658,0.191830188679245
"ERPA12","ERPA",12,"T","N",0.87,0.88,11,9.333,"2:40",160,2.666666667,14,440.57,165.21375,0.08473871,0.44057,0.523131725490465,1.2872,0.165213749979348
"ERPA13","ERPA",13,"T","N",1.3,0.89,15,10.743,"3:44",242,4.033333333,25,948.92,235.2694215,0.106261153,0.94892,1.1813173775661,2.9393236883263,0.235269421507047
"ISME1","ISME",1,"T","N",0.64,0.93,17,6.356,"3:44",224,3.733333333,9,682.08,182.7,0.049261084,0.68208,0.299180151586663,7.67012329790522,0.182700000016313
"ISME2","ISME",2,"T","N",0.84,0.84,17,NA,"3:40",220,3.666666667,18,779.52,212.5963636,0.084667488,0.77952,0.465508633038321,9.20300825396718,0.212596363617037
"ISME3","ISME",3,"T","N",0.49,0.61,14,4.863,"2:08",128,2.133333333,10,876.96,411.075,0.024326461,0.87696,0.115030200409354,14.7134465958104,0.411075000064231
"ISME4","ISME",4,"T","N",0.58,1.04,15,10.228,"3:19",199,3.316666667,19,1071.84,323.1678392,0.058792979,1.07184,0.274776259853578,18.2398939724631,0.323167839163501
"ISME5","ISME",5,"T","N",0.71,1.11,14,5.367,"3:37",217,3.616666667,15,876.96,242.4774194,0.06186143,0.87696,0.439470327727206,13.4900229074841,0.242477419332491
"ISME6","ISME",6,"T","N",0.66,0.91,14,8.878,"3:18",198,3.3,29,584.64,177.1636364,0.163690476,0.58464,0.311328690378095,18.2209229860735,0.177163636363636
"ISME7","ISME",7,"T","N",0.64,0.82,21,9.677,"4:29",269,4.483333333,6,974.4,217.33829,0.027606732,0.9744,0.263793251936628,6.45635716778944,0.217338289978984
"ISME8","ISME",8,"T","N",0.77,0.8,11,7.682,"3:47",250,4.166666667,27,1364.16,327.3984,0.082468332,1.36416,0.372530056862678,23.3397316365682,0.327398399973808
"ISME9","ISME",9,"C","N",0.6,0.83,25,12.921,"3:05",185,3.083333333,25,1071.84,347.6237838,0.071916828,1.07184,0.234676971223158,19.2358891161893,0.347623783821365
"ISME10","ISME",10,"C","N",0.48,0.93,19,4.765,"2:30",150,2.5,20,974.4,389.76,0.051313629,0.9744,0.168288835267498,24.0865553248945,0.38976
"ISME11","ISME",11,"C","N",0.54,1.04,10,6.096,"3:20",200,3.333333333,33,974.4,292.32,0.112889984,0.9744,0.238182988624564,38.228573376105,0.292320000029232
"ISME12","ISME",12,"C","N",0.99,1.18,24,13.111,"2:34",180,3,35,1364.16,454.72,0.076970443,1.36416,0.90832711313609,17.4606127710168,0.45472
"ISME13","ISME",13,"C","Y",0.59,1.19,11,7.2,"2:55",175,2.916666667,25,1266.72,434.304,0.057563366,1.26672,0.325342549807596,25.8889790132208,0.434303999950365
"LUAL1","LUAL",1,"T","N",0.51,1.21,4,NA,"3:12",231,3.85,35,252.76,65.65194805,0.533114417,0.25276,0.247181295382608,11.0599421299578,0.065651948051948
"LUAL2","LUAL",2,"C","N",0.83,0.72,12,1.458,"2:11",131,2.183333333,27,505.52,231.5358779,0.116612597,0.50552,0.389563772230441,12.4596369274733,0.231535877897944
"LUAL3","LUAL",3,"C","N",0.64,0.59,5,3.564,"2:41",161,2.683333333,15,379.14,141.2944099,0.106161312,0.37914,0.189802461759281,3.71431623081034,0.14129440995544
"LUAL4","LUAL",4,"T","N",0.84,0.56,7,10.151,"2:42",162,2.7,5,505.52,187.2296296,0.026705175,0.50552,0.310339088692214,4.70120630896787,0.18722962962963
"LUAL5","LUAL",5,"C","N",0.58,0.6,5,9.867,"2:35",155,2.583333333,18,315.95,122.3032258,0.147175186,0.31595,0.158524765300141,1.08510867649477,0.122303225822233
"LUAL6","LUAL",6,"T","N",0.6,0.64,3,13.333,"2:46",166,2.766666667,15,379.14,137.0385542,0.109458248,0.37914,0.180955736846772,12.2779456672688,0.137038554200357
"LUAL7","LUAL",7,"T","N",0.8,0.68,4,NA,"3:02",211,3.516666667,39,631.9,179.6872038,0.217043836,0.6319,0.34180528071057,14.3638461611047,0.179687203774437
"LUAL8","LUAL",8,"C","N",0.85,0.78,9,13.862,"3:04",184,3.066666667,9,568.71,185.448913,0.048530886,0.56871,0.442611134982632,6.01814441124215,0.185448913023321
"LUAL9","LUAL",9,"C","N",0.91,0.77,5,13.353,"2:01",121,2.016666667,28,821.47,407.3404959,0.068738562,0.82147,0.500798928714259,8.46976642294277,0.40734049580044
"LUAL10","LUAL",10,"T","N",0.84,0.6,7,15.044,"3:03",183,3.05,9,505.52,165.7442623,0.054300522,0.50552,0.332506166455944,3.5850473766526,0.165744262295082
"LUAL11","LUAL",11,"T","N",0.98,0.53,5,13.517,"3:09",189,3.15,41,505.52,160.4825397,0.255479506,0.50552,0.399777089947262,42.0175884760626,0.16048253968254
"LUAL12","LUAL",12,"T","N",0.81,0.7,11,5.041,"2:31",151,2.516666667,51,758.28,301.3033113,0.169264652,0.75828,0.360709814503546,14.9766413416169,0.30130331121837
"LUAL13","LUAL",13,"T","N",0.8,0.71,10,5.249,"2:18",138,2.3,36,631.9,274.7391304,0.131033391,0.6319,0.356884925447801,9.31708647420219,0.274739130434783
"SAAP1","SAAP",1,"T","Y",0.98,1.24,12,NA,"2:47",167,2.783333333,37,1433.7,515.1017964,0.071830462,1.4337,0.935327531197367,33.1140192207001,0.515101796468874
"SAAP2","SAAP",2,"C","N",0.82,0.9,14,NA,"2:51",171,2.85,38,764.64,268.2947368,0.141635279,0.76464,0.4752915525616,12.5246373331958,0.268294736842105
"SAAP3","SAAP",3,"T","Y",1.09,0.77,13,NA,"2:18",138,2.3,51,1146.96,498.6782609,0.102270349,1.14696,0.718511299608032,35.8259877510677,0.498678260869565
"SAAP4","SAAP",4,"C","Y",1.01,1.42,17,NA,"4:31",271,4.516666667,37,1624.86,359.7476015,0.102849887,1.62486,1.13768222640407,15.5793298638001,0.359747601449465
"SAAP5","SAAP",5,"T","N",1.04,0.78,9,NA,"2:39",159,2.65,19,716.85,270.509434,0.070237846,0.71685,0.662599589753931,6.1019573354269,0.270509433962264
"SAAP6","SAAP",6,"C","N",1.11,0.54,11,7.58,"2:34",154,2.566666667,31,1146.96,446.8675325,0.069371789,1.14696,0.522552101645878,5.76521840813263,0.446867532409498
"SAAP7","SAAP",7,"T","Y",0.91,0.78,8,NA,"2:40",160,2.666666667,33,860.22,322.5825,0.102299412,0.86022,0.507302810905353,16.9853176272905,0.322582499959677
"SAAP8","SAAP",8,"C","N",0.83,0.92,6,7.555,"3:13",193,3.216666667,6,573.48,178.2839378,0.033654181,0.57348,0.497775931183342,1.8670236883263,0.178283937805359
"SAAP9","SAAP",9,"T","N",0.87,0.8,7,3.5,"2:33",153,2.55,22,955.8,374.8235294,0.058694288,0.9558,0.475574295900423,13.7149062162207,0.374823529411765
"SAAP10","SAAP",10,"T","N",1.21,0.67,13,NA,"2:45",165,2.75,73,1529.28,556.1018182,0.131270925,1.52928,0.770433972190237,17.4299732678941,0.556101818181818
"SAAP11","SAAP",11,"T","N",1.02,0.72,10,NA,"2:32",152,2.533333333,46,1146.96,452.7473684,0.101601916,1.14696,0.588332339423068,24.4511922262842,0.452747368480625
"SAAP12","SAAP",12,"C","N",0.85,0.9,8,1.286,"2:20",140,2.333333333,21,860.22,368.6657143,0.056962172,0.86022,0.510705155749191,9.47240532066323,0.368665714338381
"SAAP14","SAAP",14,"C","N",1.13,0,8,NA,"2:19",139,2.316666667,43,1146.96,NA,NA,1.14696,0,NA,0.495090647410778
"SAAP15","SAAP",15,"T","Y",1.07,0.65,7,16.134,"4:15",255,4.25,38,764.64,179.9152941,0.211210504,0.76464,0.58448153222793,26.2418887257683,0.179915294117647
"SAME1","SAME",1,"T","N",0.8,0.82,5,NA,"3:20",200,3.333333333,12,376.5,112.95,0.1062417,0.3765,0.412176956150981,5.15459589394737,0.112950000011295
"SAME2","SAME",2,"C","N",1.19,1.14,6,13.579,"3:31",211,3.516666667,10,627.5,178.436019,0.056042497,0.6275,1.26791066667332,0.982490901733912,0.178436018940433
"SAME3","SAME",3,"T","N",0.94,0.64,4,15.858,"4:17",257,4.283333333,13,502,117.1984436,0.110922975,0.502,0.444145802993911,7.40361054135793,0.117198443588887
"SAME4","SAME",4,"C","Y",1.61,1.55,4,14.051,"4:00",240,4,29,690.25,172.5625,0.168055053,0.69025,3.15553739798092,NA,0.1725625
"SAME5","SAME",5,"T","N",0.74,0.78,5,15.351,"3:09",189,3.15,23,313.75,99.6031746,0.230916335,0.31375,0.335465546735625,2.09432585956669,0.0996031746031746
"SAME6","SAME",6,"C","Y",0.94,1.55,4,9.333,"3:30",210,3.5,16,439.25,125.5,0.12749004,0.43925,1.07566561662588,11.1294908204886,0.1255
"SAME7","SAME",7,"T","N",0.55,0.8,8,22.3,"3:15",195,3.25,14,439.25,135.1538462,0.103585657,0.43925,0.190066355542183,4.37105605314737,0.135153846153846
"SAME8","SAME",8,"T","N",0.74,0.79,6,9.281,"2:57",177,2.95,12,376.5,127.6271186,0.094023904,0.3765,0.33976638707839,NA,0.127627118644068
"SAME9","SAME",9,"C","N",1.17,1.7,6,5.949,"3:58",238,3.966666667,9,439.25,110.7352941,0.0812749,0.43925,1.8277236279871,7.20876105965471,0.110735294108342
"SAME10","SAME",10,"T","Y",1.31,0.9,4,7.119,"3:41",221,3.683333333,12,502,136.2895928,0.088047809,0.502,1.21303960938573,7.3907594634518,0.136289592772515
"SAME11","SAME",11,"C","Y",1.64,1.88,8,8.657,"4:03",243,4.05,13,753,185.9259259,0.069920319,0.753,3.9713249725147,7.63339215206296,0.185925925925926
"SAME12","SAME",12,"T","N",0.85,0.74,7,10.121,"4:07",269,4.483333333,21,502,111.9702602,0.187549801,0.502,0.419913128060446,4.26702418596396,0.111970260231373
"SAME14","SAME",14,"T","N",0.67,1.32,14,NA,"3:01",181,3.016666667,19,376.5,124.8066298,0.152235502,0.3765,0.465386110924831,9.87812379554288,0.124806629820463
