"species","Sample","treat","ID","feed","total","L","S","Adj"
"ARCA","ARCA14","C","ACAR","pred",1,0,1,0
"ARDO","ARDO7","T","ACAR","pred",1,0,1,0
"ENCA","ENCA4","T","ACAR","pred",2,0,2,0
"ERFA","ERFA4","C","ACAR","pred",3,0,3,0
"ERFA","ERFA10","T","ACAR","pred",2,0,2,0
"ERFA","ERFA12","T","ACAR","pred",4,0,4,0
"ERPA","ERPA11","T","ACAR","pred",1,0,1,0
"LUAL","LUAL10","T","ACAR","pred",1,0,1,0
"LUAL","LUAL12","T","ACAR","pred",4,0,4,0
"LUAL","LUAL13","T","ACAR","pred",1,0,1,0
"SAAP","SAAP6","C","ACAR","pred",1,0,1,0
"SAAP","SAAP15","T","ACAR","pred",1,0,1,0
"SAAP","SAAP7","T","ACAR","pred",3,0,3,0
"SAME","SAME10","T","ACAR","pred",1,0,1,0
"ARCA","ARCA14","C","ARAN","pred",4,4,0,0
"ARCA","ARCA11","T","ARAN","pred",4,4,0,0
"ARCA","ARCA4","T","ARAN","pred",3,2,1,0
"ARCA","ARCA6","T","ARAN","pred",3,3,0,0
"ARCA","ARCA7","T","ARAN","pred",1,1,0,0
"ARDO","ARDO10","C","ARAN","pred",1,0,1,0
"ARDO","ARDO11","C","ARAN","pred",2,1,1,0
"ARDO","ARDO8","C","ARAN","pred",1,0,1,0
"ARDO","ARDO1","T","ARAN","pred",3,1,2,0
"ARDO","ARDO3","T","ARAN","pred",4,1,3,0
"ENCA","ENCA5","C","ARAN","pred",4,1,3,0
"ENCA","ENCA12","T","ARAN","pred",1,1,0,0
"ENCA","ENCA6","T","ARAN","pred",1,1,0,0
"ENCA","ENCA8","T","ARAN","pred",3,3,0,0
"ENCA","ENCA9","T","ARAN","pred",2,1,1,0
"ERFA","ERFA4","C","ARAN","pred",2,1,1,0
"ERFA","ERFA7","C","ARAN","pred",4,0,4,0
"ERFA","ERFA9","C","ARAN","pred",6,2,4,0
"ERFA","ERFA10","T","ARAN","pred",4,2,2,0
"ERFA","ERFA11","T","ARAN","pred",2,1,1,0
"ERFA","ERFA12","T","ARAN","pred",2,2,0,0
"ERFA","ERFA13","T","ARAN","pred",2,0,2,0
"ERFA","ERFA2","T","ARAN","pred",4,2,2,0
"ERFA","ERFA6","T","ARAN","pred",4,4,0,0
"ERPA","ERPA4","C","ARAN","pred",3,2,1,0
"ERPA","ERPA8","C","ARAN","pred",1,0,1,0
"ERPA","ERPA11","T","ARAN","pred",2,0,2,0
"ERPA","ERPA3","T","ARAN","pred",1,1,0,0
"ERPA","ERPA7","T","ARAN","pred",4,0,4,0
"ISME","ISME9","C","ARAN","pred",2,1,0,-1
"ISME","ISME1","T","ARAN","pred",3,1,0,-2
"ISME","ISME3","T","ARAN","pred",2,1,0,-1
"ISME","ISME4","T","ARAN","pred",3,0,1,-2
"ISME","ISME5","T","ARAN","pred",3,1,0,-2
"ISME","ISME8","T","ARAN","pred",3,0,3,0
"LUAL","LUAL2","C","ARAN","pred",3,2,1,0
"LUAL","LUAL3","C","ARAN","pred",2,0,2,0
"LUAL","LUAL10","T","ARAN","pred",1,0,1,0
"LUAL","LUAL11","T","ARAN","pred",5,0,5,0
"LUAL","LUAL12","T","ARAN","pred",2,2,0,0
"SAAP","SAAP12","C","ARAN","pred",1,1,0,0
"SAAP","SAAP2","C","ARAN","pred",3,1,2,0
"SAAP","SAAP1","T","ARAN","pred",2,2,0,0
"SAAP","SAAP15","T","ARAN","pred",4,2,2,0
"SAAP","SAAP3","T","ARAN","pred",1,1,0,0
"SAAP","SAAP7","T","ARAN","pred",2,2,0,0
"SAME","SAME11","C","ARAN","pred",1,1,0,0
"SAME","SAME10","T","ARAN","pred",3,0,3,0
"SAME","SAME12","T","ARAN","pred",1,0,1,0
"SAME","SAME3","T","ARAN","pred",4,1,3,0
"SAME","SAME4","T","ARAN","pred",1,0,1,0
"SAME","SAME5","T","ARAN","pred",1,0,1,0
"ENCA","ENCA6","T","ARCH","herb",1,1,0,0
"SAAP","SAAP2","C","ARCH","herb",2,2,0,0
"SAAP","SAAP6","C","ARCH","herb",1,1,0,0
"SAAP","SAAP15","T","ARCH","herb",1,1,0,0
"SAAP","SAAP3","T","ARCH","herb",2,2,0,0
"SAAP","SAAP5","T","ARCH","herb",3,3,0,0
"ARCA","ARCA5","C","COLE","herb",3,2,1,0
"ARCA","ARCA14","C","COLE","herb",4,4,0,0
"ARCA","ARCA11","T","COLE","herb",3,3,0,0
"ARCA","ARCA2","T","COLE","herb",8,8,0,0
"ARCA","ARCA4","T","COLE","herb",4,4,0,0
"ARCA","ARCA6","T","COLE","herb",7,6,1,0
"ARCA","ARCA7","T","COLE","herb",1,1,0,0
"ARCA","ARCA9","T","COLE","herb",4,4,0,0
"ARDO","ARDO10","C","COLE","herb",1,1,0,0
"ARDO","ARDO11","C","COLE","herb",5,1,4,0
"ARDO","ARDO13","C","COLE","herb",8,7,1,0
"ARDO","ARDO8","C","COLE","herb",6,3,3,0
"ARDO","ARDO1","T","COLE","herb",9,5,4,0
"ARDO","ARDO3","T","COLE","herb",10,10,0,0
"ARDO","ARDO6","T","COLE","herb",1,1,0,0
"ENCA","ENCA10","C","COLE","herb",4,0,4,0
"ENCA","ENCA11","C","COLE","herb",16,0,16,0
"ENCA","ENCA4","T","COLE","herb",13,4,9,0
"ENCA","ENCA5","C","COLE","herb",10,1,9,0
"ENCA","ENCA7","C","COLE","herb",15,0,15,0
"ENCA","ENCA3","T","COLE","herb",9,4,1,-4
"ENCA","ENCA6","T","COLE","herb",2,0,2,0
"ENCA","ENCA8","T","COLE","herb",12,10,2,0
"ENCA","ENCA9","T","COLE","herb",9,2,7,0
"ERFA","ERFA4","C","COLE","herb",2,1,1,0
"ERFA","ERFA5","C","COLE","herb",6,1,5,0
"ERFA","ERFA7","C","COLE","herb",10,0,10,0
"ERFA","ERFA9","C","COLE","herb",7,0,7,0
"ERFA","ERFA10","T","COLE","herb",1,1,0,0
"ERFA","ERFA11","T","COLE","herb",5,0,5,0
"ERFA","ERFA12","T","COLE","herb",8,2,6,0
"ERFA","ERFA2","T","COLE","herb",4,1,3,0
"ERFA","ERFA3","T","COLE","herb",1,1,0,0
"ERFA","ERFA6","T","COLE","herb",3,1,2,0
"ERPA","ERPA4","C","COLE","herb",1,1,0,0
"ERPA","ERPA8","C","COLE","herb",14,0,17,3
"ERPA","ERPA1","T","COLE","herb",1,1,0,0
"ERPA","ERPA12","T","COLE","herb",3,0,3,0
"ERPA","ERPA3","T","COLE","herb",8,7,1,0
"ERPA","ERPA7","T","COLE","herb",1,0,1,0
"ISME","ISME10","C","COLE","herb",18,18,0,0
"ISME","ISME11","C","COLE","herb",24,24,0,0
"ISME","ISME12","C","COLE","herb",20,20,0,0
"ISME","ISME13","C","COLE","herb",21,15,0,-6
"ISME","ISME9","C","COLE","herb",15,15,0,0
"ISME","ISME1","T","COLE","herb",3,3,0,0
"ISME","ISME3","T","COLE","herb",6,6,0,0
"ISME","ISME4","T","COLE","herb",14,14,0,0
"ISME","ISME5","T","COLE","herb",6,5,1,0
"ISME","ISME6","T","COLE","herb",20,28,0,8
"ISME","ISME7","T","COLE","herb",3,3,0,0
"ISME","ISME8","T","COLE","herb",17,17,0,0
"LUAL","LUAL2","C","COLE","herb",4,0,4,0
"LUAL","LUAL3","C","COLE","herb",4,1,3,0
"LUAL","LUAL10","T","COLE","herb",3,2,1,0
"LUAL","LUAL11","T","COLE","herb",21,13,8,0
"LUAL","LUAL12","T","COLE","herb",5,5,0,0
"LUAL","LUAL13","T","COLE","herb",2,0,2,0
"SAAP","SAAP2","C","COLE","herb",1,1,0,0
"SAAP","SAAP6","C","COLE","herb",1,1,0,0
"SAAP","SAAP8","C","COLE","herb",1,1,0,0
"SAAP","SAAP1","T","COLE","herb",11,11,0,0
"SAAP","SAAP10","T","COLE","herb",11,10,1,0
"SAAP","SAAP11","T","COLE","herb",14,15,2,3
"SAAP","SAAP15","T","COLE","herb",13,12,1,0
"SAAP","SAAP3","T","COLE","herb",12,10,2,0
"SAAP","SAAP7","T","COLE","herb",7,6,1,0
"SAAP","SAAP9","T","COLE","herb",4,4,0,0
"SAME","SAME11","C","COLE","herb",2,2,0,0
"SAME","SAME12","T","COLE","herb",1,0,1,0
"SAME","SAME3","T","COLE","herb",1,0,1,0
"SAME","SAME4","T","COLE","herb",1,1,0,0
"SAME","SAME5","T","COLE","herb",3,0,3,0
"SAME","SAME7","T","COLE","herb",1,1,0,0
"ARCA","ARCA4","T","DIPT","herb",1,0,1,0
"ARDO","ARDO11","C","DIPT","herb",1,0,1,0
"ARDO","ARDO1","T","DIPT","herb",4,0,4,0
"ARDO","ARDO3","T","DIPT","herb",6,0,6,0
"ARDO","ARDO7","T","DIPT","herb",1,0,1,0
"ENCA","ENCA4","T","DIPT","herb",4,0,4,0
"ENCA","ENCA1","T","DIPT","herb",1,0,1,0
"ERFA","ERFA7","C","DIPT","herb",2,0,2,0
"ERFA","ERFA12","T","DIPT","herb",1,0,1,0
"ERPA","ERPA8","C","DIPT","herb",1,0,1,0
"ERPA","ERPA3","T","DIPT","herb",1,0,1,0
"LUAL","LUAL3","C","DIPT","herb",1,0,1,0
"LUAL","LUAL10","T","DIPT","herb",1,0,1,0
"SAAP","SAAP1","T","DIPT","herb",1,0,1,0
"SAAP","SAAP10","T","DIPT","herb",2,0,2,0
"SAAP","SAAP3","T","DIPT","herb",4,0,4,0
"SAME","SAME10","T","DIPT","herb",1,0,1,0
"SAME","SAME12","T","DIPT","herb",1,0,1,0
"SAME","SAME3","T","DIPT","herb",1,0,1,0
"ARCA","ARCA5","C","HYME","pred",10,10,1,1
"ARCA","ARCA14","C","HYME","pred",13,13,0,0
"ARCA","ARCA7","T","HYME","pred",1,1,0,0
"ARDO","ARDO13","C","HYME","pred",2,0,1,-1
"ARDO","ARDO6","T","HYME","pred",1,0,2,1
"ARDO","ARDO7","T","HYME","pred",1,1,0,0
"ERFA","ERFA4","C","HYME","pred",6,5,1,0
"ERFA","ERFA12","T","HYME","pred",2,2,0,0
"ERPA","ERPA10","C","HYME","pred",6,0,9,3
"ERPA","ERPA1","T","HYME","pred",1,0,1,0
"ISME","ISME11","C","HYME","pred",1,0,1,0
"LUAL","LUAL4","T","HYME","pred",2,2,0,0
"SAAP","SAAP1","T","HYME","pred",1,3,1,3
"SAAP","SAAP10","T","HYME","pred",3,0,1,-2
"SAAP","SAAP15","T","HYME","pred",1,0,7,6
"ERFA","ERFA6","T","ISOP","herb",1,1,0,0
"ARDO","ARDO11","C","LEPI","herb",1,0,1,0
"ARDO","ARDO13","C","LEPI","herb",1,0,1,0
"ERFA","ERFA9","C","LEPI","herb",2,2,0,0
"ERFA","ERFA6","T","LEPI","herb",1,1,0,0
"ERPA","ERPA7","T","LEPI","herb",1,0,1,0
"LUAL","LUAL12","T","LEPI","herb",1,1,0,0
"SAAP","SAAP12","C","LEPI","herb",1,1,0,0
"SAAP","SAAP2","C","LEPI","herb",1,1,0,0
"SAAP","SAAP4","C","LEPI","herb",2,2,0,0
"SAAP","SAAP3","T","LEPI","herb",1,1,0,0
"SAAP","SAAP5","T","LEPI","herb",1,1,0,0
"ARCA","ARCA4","T","MIRID","omni",1,1,0,0
"ISME","ISME12","C","MIRID","omni",1,0,1,0
"ARCA","ARCA6","T","NEUR","pred",1,0,1,0
"ERFA","ERFA5","C","NEUR","pred",1,1,0,0
"ERFA","ERFA11","T","NEUR","pred",1,0,1,0
"ISME","ISME7","T","NEUR","pred",1,0,1,0
"SAAP","SAAP6","C","NEUR","pred",1,0,1,0
"ARCA","ARCA6","T","ORTH","herb",1,1,0,0
"ARDO","ARDO10","C","ORTH","herb",1,1,0,0
"ERFA","ERFA11","T","ORTH","herb",1,1,0,0
"ERPA","ERPA4","C","ORTH","herb",2,2,0,0
"ERPA","ERPA1","T","ORTH","herb",1,1,0,0
"ERPA","ERPA12","T","ORTH","herb",1,0,1,0
"ISME","ISME12","C","ORTH","herb",1,1,0,0
"LUAL","LUAL12","T","ORTH","herb",1,1,0,0
"LUAL","LUAL13","T","ORTH","herb",2,2,0,0
"SAAP","SAAP6","C","ORTH","herb",1,1,0,0
"SAAP","SAAP1","T","ORTH","herb",1,1,0,0
"SAAP","SAAP3","T","ORTH","herb",1,1,0,0
"SAAP","SAAP5","T","ORTH","herb",1,1,0,0
"SAAP","SAAP7","T","ORTH","herb",1,1,0,0
"SAME","SAME12","T","ORTH","herb",1,1,0,0
"ENCA","ENCA10","C","PSOC","herb",1,0,1,0
"ENCA","ENCA9","T","PSOC","herb",1,0,1,0
"SAME","SAME5","T","PSOC","herb",2,2,0,0
"ARCA","ARCA11","T","STER","herb",17,0,4,-13
"ARCA","ARCA9","T","STER","herb",2,0,2,0
"ISME","ISME11","C","STER","herb",7,0,1,-6
"ISME","ISME3","T","STER","herb",2,0,2,0
"SAAP","SAAP1","T","STER","herb",5,0,5,0
"ARDO","ARDO7","T","THYS","herb",1,1,0,0
"ENCA","ENCA4","T","THYS","herb",1,0,1,0
"ERFA","ERFA4","C","THYS","herb",1,0,1,0
"ERFA","ERFA10","T","THYS","herb",6,0,6,0
"ERFA","ERFA11","T","THYS","herb",1,0,1,0
"ERFA","ERFA13","T","THYS","herb",8,0,8,0
"ERFA","ERFA6","T","THYS","herb",3,0,3,0
"ERPA","ERPA8","C","THYS","herb",2,0,2,0
"ERPA","ERPA1","T","THYS","herb",1,0,1,0
"ERPA","ERPA11","T","THYS","herb",2,0,2,0
"ERPA","ERPA7","T","THYS","herb",2,0,2,0
"ARCA","ARCA11","T","HEMI","herb",NA,8,10,NA
"ARCA","ARCA11.2",NA,"COLE","herb",NA,13,0,NA
"ARCA","ARCA11.2",NA,"HEMI","herb",NA,0,1,NA
"ARCA","ARCA14","C","HEMI","herb",NA,7,4,NA
"ARCA","ARCA14","C","HEMI","pred",NA,1,0,NA
"ARCA","ARCA2","T","HEMI","herb",NA,4,1,NA
"ARCA","ARCA4","T","HEMI","herb",NA,1,7,NA
"ARCA","ARCA5","C","HEMI","herb",NA,1,2,NA
"ARCA","ARCA5","C","HEMI","pred",NA,0,1,NA
"ARCA","ARCA6","T","HEMI","herb",NA,8,10,NA
"ARCA","ARCA6","T","LEPID","herb",NA,1,0,NA
"ARCA","ARCA7","T","HEMI","herb",NA,3,0,NA
"ARCA","ARCA9","T","HEMI","herb",NA,8,0,NA
"ARCA","ARCAC2",NA,"ARAN","pred",NA,1,0,NA
"ARCA","ARCAC2",NA,"DERM","omni",NA,1,0,NA
"ARCA","ARCAC2",NA,"DIPT","herb",NA,5,0,NA
"ARCA","ARCAC2",NA,"HEMI","herb",NA,5,1,NA
"ARCA","ARCAC2",NA,"HEMI","pred",NA,1,1,NA
"ARCA","ARCAC2",NA,"HYME","pred",NA,0,1,NA
"ARCA","ARCAC2",NA,"STER","herb",NA,0,1,NA
"ARDO","ARDO1","T","HEMI","herb",NA,4,7,NA
"ARDO","ARDO1","T","HYME","pred",NA,1,1,NA
"ARDO","ARDO1","T","LEPID","herb",NA,1,0,NA
"ARDO","ARDO1","T","PSCO","herb",NA,0,1,NA
"ARDO","ARDO10","C","HEMI","herb",NA,0,17,NA
"ARDO","ARDO10","C","HEMI","omni",NA,1,0,NA
"ARDO","ARDO10","C","HEMI","pred",NA,0,2,NA
"ARDO","ARDO10","C","HYME","pred",NA,0,3,NA
"ARDO","ARDO11","C","HEMI","herb",NA,4,7,NA
"ARDO","ARDO11","C","HYME","pred",NA,1,1,NA
"ARDO","ARDO13","C","HEMI","herb",NA,1,0,NA
"ARDO","ARDO13","C","HEMI","pred",NA,1,4,NA
"ARDO","ARDO3","T","HEMI","herb",NA,6,7,NA
"ARDO","ARDO3","T","HYME","pred",NA,0,1,NA
"ARDO","ARDO3","T","LEPID","herb",NA,2,0,NA
"ARDO","ARDO6","T","HEMI","herb",NA,1,4,NA
"ARDO","ARDO7","T","HEMI","herb",NA,3,5,NA
"ARDO","ARDO7","T","HEMI","pred",NA,0,2,NA
"ARDO","ARDO8","C","HEMI","herb",NA,8,10,NA
"ARDO","ARDO8","C","HEMI","pred",NA,0,1,NA
"ENCA","ENCA1","T","COLE","omni",NA,1,0,NA
"ENCA","ENCA1","T","COLE","pred",NA,0,1,NA
"ENCA","ENCA1","T","HEMI","herb",NA,1,1,NA
"ENCA","ENCA1","T","HYME","pred",NA,1,3,NA
"ENCA","ENCA11","C","HYME","pred",NA,0,1,NA
"ENCA","ENCA3","T","COLE","pred",NA,1,2,NA
"ENCA","ENCA3","T","HEMI","herb",NA,0,4,NA
"ENCA","ENCA3","T","HEMI","pred",NA,0,1,NA
"ENCA","ENCA3","T","HYME","pred",NA,1,0,NA
"ENCA","ENCA4","T","HEMI","herb",NA,0,19,NA
"ENCA","ENCA4","T","HYME","pred",NA,1,0,NA
"ENCA","ENCA5","C","HEMI","herb",NA,0,7,NA
"ENCA","ENCA5","C","HEMI","omni",NA,0,1,NA
"ENCA","ENCA5","C","HYME","pred",NA,0,3,NA
"ENCA","ENCA6","T","HEMI","herb",NA,7,2,NA
"ENCA","ENCA6","T","HYME","pred",NA,1,1,NA
"ENCA","ENCA7","C","COLE","pred",NA,0,1,NA
"ENCA","ENCA7","C","HEMI","herb",NA,0,2,NA
"ENCA","ENCA7","C","HYME","pred",NA,0,2,NA
"ENCA","ENCA7","C","LEPID","herb",NA,0,1,NA
"ENCA","ENCA8","T","COLE","omni",NA,1,1,NA
"ENCA","ENCA8","T","HEMI","herb",NA,0,1,NA
"ENCA","ENCA8","T","HEMI","pred",NA,0,7,NA
"ENCA","ENCA8","T","HYME","pred",NA,2,2,NA
"ENCA","ENCA9","T","COLE","pred",NA,0,6,NA
"ENCA","ENCA9","T","HEMI","herb",NA,0,7,NA
"ENCA","ENCA9","T","HYME","pred",NA,0,4,NA
"ENCA","ENCAx",NA,"ARAN","pred",NA,1,0,NA
"ENCA","ENCAX",NA,"ARAN","pred",NA,0,3,NA
"ENCA","ENCAX",NA,"HEMI","herb",NA,0,1,NA
"ENCA","ENCAX",NA,"HEMI","pred",NA,0,1,NA
"ENCA","ENCAX",NA,"HYME","pred",NA,0,1,NA
"ERFA","ERFA10","T","HEMI","herb",NA,1,2,NA
"ERFA","ERFA10","T","HEMI","omni",NA,0,10,NA
"ERFA","ERFA10","T","HEMI","pred",NA,1,0,NA
"ERFA","ERFA10","T","HYME","pred",NA,0,3,NA
"ERFA","ERFA11","T","HEMI","herb",NA,3,2,NA
"ERFA","ERFA11","T","HEMI","omni",NA,1,14,NA
"ERFA","ERFA11","T","HYME","pred",NA,1,0,NA
"ERFA","ERFA12","T","HEMI","herb",NA,7,0,NA
"ERFA","ERFA12","T","HEMI","pred",NA,2,0,NA
"ERFA","ERFA13","T","HEMI","herb",NA,1,5,NA
"ERFA","ERFA13","T","HEMI","omni",NA,0,1,NA
"ERFA","ERFA13","T","HYME","pred",NA,0,3,NA
"ERFA","ERFA2","T","HEMI","omni",NA,6,26,NA
"ERFA","ERFA2","T","HYME","pred",NA,0,6,NA
"ERFA","ERFA3","T","HEMI","herb",NA,0,1,NA
"ERFA","ERFA3","T","HEMI","omni",NA,1,0,NA
"ERFA","ERFA3","T","HEMI","pred",NA,0,4,NA
"ERFA","ERFA4","C","HEMI","herb",NA,0,9,NA
"ERFA","ERFA4","C","HEMI","omni",NA,2,1,NA
"ERFA","ERFA4","C","HEMI","pred",NA,1,4,NA
"ERFA","ERFA5","C","HEMI","herb",NA,0,2,NA
"ERFA","ERFA5","C","HEMI","omni",NA,2,9,NA
"ERFA","ERFA5","C","HYME","pred",NA,0,5,NA
"ERFA","ERFA6","T","HEMI","herb",NA,4,8,NA
"ERFA","ERFA6","T","HEMI","pred",NA,1,9,NA
"ERFA","ERFA6","T","HYME","pred",NA,2,0,NA
"ERFA","ERFA7","C","HEMI","herb",NA,0,2,NA
"ERFA","ERFA7","C","HEMI","omni",NA,0,10,NA
"ERFA","ERFA7","C","HEMI","pred",NA,0,2,NA
"ERFA","ERFA9","C","HEMI","herb",NA,1,0,NA
"ERFA","ERFA9","C","HEMI","omni",NA,6,5,NA
"ERFA","ERFA9","C","HYME","pred",NA,2,1,NA
"ERPA","ERPA1","T","HEMI","herb",NA,1,0,NA
"ERPA","ERPA1","T","HEMI","omni",NA,0,1,NA
"ERPA","ERPA10","C","HEMI","herb",NA,8,2,NA
"ERPA","ERPA10","C","HEMI","pred",NA,0,1,NA
"ERPA","ERPA11","T","HEMI","herb",NA,2,2,NA
"ERPA","ERPA11","T","HYME","pred",NA,0,2,NA
"ERPA","ERPA12","T","HEMI","herb",NA,0,1,NA
"ERPA","ERPA12","T","HEMI","omni",NA,0,1,NA
"ERPA","ERPA12","T","HEMI","pred",NA,0,2,NA
"ERPA","ERPA12","T","HYME","pred",NA,0,6,NA
"ERPA","ERPA3","T","COLE","pred",NA,1,0,NA
"ERPA","ERPA3","T","HEMI","herb",NA,0,3,NA
"ERPA","ERPA3","T","HYME","pred",NA,0,5,NA
"ERPA","ERPA3.1",NA,"ARAN","pred",NA,3,0,NA
"ERPA","ERPA3.1",NA,"COLE","herb",NA,1,0,NA
"ERPA","ERPA3.1",NA,"HEMI","herb",NA,7,1,NA
"ERPA","ERPA3.1",NA,"HEMI","omni",NA,1,0,NA
"ERPA","ERPA3.1",NA,"HYME","pred",NA,1,9,NA
"ERPA","ERPA4","C","COLE","pred",NA,0,2,NA
"ERPA","ERPA4","C","HEMI","herb",NA,4,5,NA
"ERPA","ERPA4","C","HYME","pred",NA,0,5,NA
"ERPA","ERPA7","T","HEMI","herb",NA,0,1,NA
"ERPA","ERPA7","T","HEMI","omni",NA,3,7,NA
"ERPA","ERPA7","T","HYME","pred",NA,1,5,NA
"ERPA","ERPA8","C","HEMI","herb",NA,0,10,NA
"ERPA","ERPA8","C","HYME","pred",NA,1,7,NA
"ISME","ISME1","T","HEMI","herb",NA,0,3,NA
"ISME","ISME12","C","HEMI","herb",NA,2,2,NA
"ISME","ISME13","C","HEMI","herb",NA,0,1,NA
"ISME","ISME4","T","HEMI","herb",NA,0,2,NA
"ISME","ISME5","T","HEMI","herb",NA,0,2,NA
"ISME","ISME6","T","HEMI","herb",NA,7,2,NA
"ISME","ISME7","T","HEMI","herb",NA,1,0,NA
"ISME","ISME7","T","HYME","pred",NA,0,1,NA
"ISME","ISME8","T","HEMI","herb",NA,3,2,NA
"ISME","ISME8","T","HYME","pred",NA,0,2,NA
"LUAL","LUAL10","T","HEMI","herb",NA,0,3,NA
"LUAL","LUAL11","T","COLE","pred",NA,0,2,NA
"LUAL","LUAL11","T","HEMI","herb",NA,4,3,NA
"LUAL","LUAL11","T","HEMI","omni",NA,4,0,NA
"LUAL","LUAL11","T","HYME","pred",NA,1,1,NA
"LUAL","LUAL12","T","COLE","pred",NA,0,1,NA
"LUAL","LUAL12","T","HEMI","herb",NA,8,25,NA
"LUAL","LUAL12","T","HEMI","omni",NA,0,3,NA
"LUAL","LUAL12","T","HYME","pred",NA,0,1,NA
"LUAL","LUAL13","T","HEMI","herb",NA,1,30,NA
"LUAL","LUAL14",NA,"ARAN","pred",NA,0,3,NA
"LUAL","LUAL14",NA,"COLE","herb",NA,2,26,NA
"LUAL","LUAL14",NA,"HEMI","herb",NA,0,1,NA
"LUAL","LUAL14",NA,"HEMI","omni",NA,0,1,NA
"LUAL","LUAL14",NA,"HEMI","pred",NA,1,0,NA
"LUAL","LUAL14",NA,"HYME","pred",NA,0,1,NA
"LUAL","LUAL2","C","HEMI","herb",NA,1,11,NA
"LUAL","LUAL2","C","HEMI","omni",NA,0,2,NA
"LUAL","LUAL2","C","HEMI","pred",NA,1,4,NA
"LUAL","LUAL2","C","HYME","pred",NA,0,3,NA
"LUAL","LUAL3","C","HEMI","herb",NA,0,5,NA
"LUAL","LUAL3","C","HEMI","pred",NA,2,1,NA
"LUAL","LUAL4","T","HEMI","herb",NA,2,0,NA
"LUAL","LUAL4","T","HEMI","pred",NA,1,0,NA
"LUAL","LUAL6.2",NA,"ARAN","pred",NA,2,2,NA
"LUAL","LUAL6.2",NA,"COLE","herb",NA,0,1,NA
"LUAL","LUAL6.2",NA,"HEMI","herb",NA,2,0,NA
"LUAL","LUAL6.2",NA,"HEMI","omni",NA,3,1,NA
"LUAL","LUAL6.2",NA,"HEMI","pred",NA,2,0,NA
"LUAL","LUAL6.2",NA,"HYME","pred",NA,1,0,NA
"LUAL","LUAL6.2",NA,"ORTH","herb",NA,1,0,NA
"SAAP","SAAP1","T","COLE","pred",NA,1,0,NA
"SAAP","SAAP1","T","HEMI","herb",NA,3,0,NA
"SAAP","SAAP1","T","HETE","herb",NA,0,8,NA
"SAAP","SAAP1","T","PSCO","herb",NA,0,1,NA
"SAAP","SAAP10","T","HEMI","herb",NA,17,39,NA
"SAAP","SAAP11","T","HEMI","herb",NA,11,22,NA
"SAAP","SAAP11","T","HYME","pred",NA,0,1,NA
"SAAP","SAAP11","T","LEPID","herb",NA,1,0,NA
"SAAP","SAAP12","C","HEMI","herb",NA,10,6,NA
"SAAP","SAAP15","T","HEMI","herb",NA,3,8,NA
"SAAP","SAAP15","T","HEMI","pred",NA,0,1,NA
"SAAP","SAAP2","C","HEMI","herb",NA,6,22,NA
"SAAP","SAAP3","T","COLE","omni",NA,0,3,NA
"SAAP","SAAP3","T","HETE","herb",NA,7,6,NA
"SAAP","SAAP3","T","HYME","pred",NA,0,14,NA
"SAAP","SAAP4","C","COLE","pred",NA,0,1,NA
"SAAP","SAAP4","C","HEMI","herb",NA,8,23,NA
"SAAP","SAAP4","C","HYME","pred",NA,0,3,NA
"SAAP","SAAP5","T","COLE","omni",NA,4,5,NA
"SAAP","SAAP5","T","HEMI","herb",NA,1,4,NA
"SAAP","SAAP6","C","COLE","omni",NA,1,0,NA
"SAAP","SAAP6","C","COLE","pred",NA,0,1,NA
"SAAP","SAAP6","C","HEMI","herb",NA,12,11,NA
"SAAP","SAAP6","C","HYME","pred",NA,0,1,NA
"SAAP","SAAP7","T","HEMI","herb",NA,11,8,NA
"SAAP","SAAP7","T","HYME","pred",NA,0,1,NA
"SAAP","SAAP8","C","HEMI","herb",NA,3,2,NA
"SAAP","SAAP9","T","HEMI","herb",NA,8,9,NA
"SAAP","SAAP9","T","HYME","pred",NA,1,0,NA
"SAME","SAME10","T","HEMI","herb",NA,0,1,NA
"SAME","SAME10","T","HEMI","omni",NA,3,0,NA
"SAME","SAME10","T","HYME","pred",NA,3,0,NA
"SAME","SAME11","C","HEMI","herb",NA,1,3,NA
"SAME","SAME11","C","HEMI","omni",NA,2,1,NA
"SAME","SAME11","C","HYME","pred",NA,0,1,NA
"SAME","SAME12","T","HEMI","herb",NA,0,7,NA
"SAME","SAME12","T","HEMI","pred",NA,0,8,NA
"SAME","SAME3","T","HEMI","herb",NA,4,1,NA
"SAME","SAME3","T","HEMI","omni",NA,0,1,NA
"SAME","SAME4","T","HEMI","herb",NA,0,2,NA
"SAME","SAME4","T","HEMI","pred",NA,18,0,NA
"SAME","SAME4","T","HYME","pred",NA,5,0,NA
"SAME","SAME5","T","HEMI","herb",NA,1,9,NA
"SAME","SAME5","T","HEMI","pred",NA,0,1,NA
"SAME","SAME5","T","HYME","pred",NA,0,1,NA
"SAME","SAME5.2",NA,"COLE","herb",NA,1,1,NA
"SAME","SAME5.2",NA,"HEMI","herb",NA,1,7,NA
"SAME","SAME7","T","COLE","pred",NA,0,1,NA
"SAME","SAME7","T","HEMI","herb",NA,1,3,NA
"SAME","SAME7","T","HYME","pred",NA,0,2,NA
