"species","sample","treat","plant_g","comp","arth_mg","arth_abun","herb_mg","herb_abun","herb_mg_dens","herb_abun_dens","pred_herb","T_group"
"ARCA","ARCA1","C",791,11,15.264625893239,17,7.04144793793825,15,0.00890195693797503,0.0189633375474083,0.133333333333333,"ID_C"
"ARCA","ARCA10","C",904,7,10.6080981955253,42,8.08370201114919,39,0.00894214824242167,0.043141592920354,0.0769230769230769,"ID_C"
"ARCA","ARCA11","T",1130,12,24.3655751221259,36,14.1262391631463,33,0.0125010966045542,0.0292035398230088,0.0909090909090909,"ID_T"
"ARCA","ARCA14","C",565,6,26.4582522648963,43,13.4664722574356,30,0.0238344641724523,0.0530973451327434,0.433333333333333,"ID_C"
"ARCA","ARCA2","T",678,9,27.1918868338727,19,27.1918868338727,19,0.0401060277785733,0.028023598820059,0,"ID_T"
"ARCA","ARCA3","T",678,8,16.0093372882061,43,13.7305841337222,42,0.0202515990172894,0.0619469026548673,0.0238095238095238,"DD"
"ARCA","ARCA4","T",791,7,23.5631790294773,20,13.4376860507558,17,0.0169882250957722,0.0214917825537295,0.176470588235294,"DD"
"ARCA","ARCA5","C",565,10,15.9818098198942,25,7.39329912099034,18,0.0130854851698944,0.031858407079646,0.388888888888889,"ID_C"
"ARCA","ARCA6","T",904,10,16.3792992050362,28,11.8457998965911,26,0.0131037609475566,0.0287610619469027,0.0769230769230769,"ID_T"
"ARCA","ARCA7","T",1017,12,27.3100748710394,20,11.214222329973,14,0.0110267672861092,0.0137659783677483,0.428571428571429,"DD"
"ARCA","ARCA8","C",791,11,15.4219663353367,26,8.32051940591107,21,0.0105189878709369,0.0265486725663717,0.238095238095238,"ID_C"
"ARCA","ARCA9","T",791,6,13.8360308812785,21,12.2906061369464,17,0.0155380608558109,0.0214917825537295,0.235294117647059,"ID_T"
"ARDO","ARDO1","T",348.9,3,33.3797202113871,52,23.6377872668348,47,0.0677494619284461,0.134709085697908,0.106382978723404,"ID_T"
"ARDO","ARDO10","C",418.68,3,21.4008620258664,26,16.9150244480565,22,0.0404008418077206,0.0525460972580491,0.181818181818182,"ID_C"
"ARDO","ARDO11","C",348.9,6,17.2607289041983,25,13.9831413085949,21,0.0400777910822439,0.060189165950129,0.19047619047619,"ID_C"
"ARDO","ARDO12","T",279.12,8,19.7978835766484,42,19.7978835766484,42,0.0709296488128703,0.150472914875322,0,"ID_T"
"ARDO","ARDO13","C",279.12,5,15.0433512598118,21,12.760091871139,18,0.0457154337601712,0.0644883920894239,0.166666666666667,"ID_C"
"ARDO","ARDO3","T",488.46,8,37.0587179618379,47,32.4782791342748,42,0.0664911745778053,0.0859845227858985,0.119047619047619,"ID_T"
"ARDO","ARDO4","T",558.24,2,31.3473817044188,49,20.6817585687297,46,0.0370481487688622,0.0824018343364861,0.0652173913043478,"DD"
"ARDO","ARDO5","T",279.12,3,5.72149709293965,16,5.72149709293965,16,0.0204983415482217,0.057323015190599,0,"DD"
"ARDO","ARDO6","T",348.9,3,9.45480167393036,20,4.21267640373537,14,0.01207416567422,0.0401261106334193,0.428571428571429,"ID_T"
"ARDO","ARDO7","T",418.68,2,18.1664233062738,14,6.19427287109738,11,0.0147947665785263,0.0262730486290246,0.272727272727273,"DD"
"ARDO","ARDO8","C",628.02,3,15.8808796495802,26,15.6160259586911,25,0.0248654914790789,0.039807649437916,0.04,"ID_C"
"ARDO","ARDO9","C",628.02,4,18.9127986676647,28,6.90719788881107,24,0.0109983724862442,0.0382153434603993,0.166666666666667,"ID_C"
"ENCA","ENCA1","T",219.9,6,16.1682371206426,21,8.42361428011232,17,0.0383065678950083,0.0773078672123693,0.235294117647059,"ID_T"
"ENCA","ENCA10","C",703.68,12,1.14733509148598,6,1.14733509148598,6,0.00163047847243915,0.00852660300136426,0,"ID_C"
"ENCA","ENCA11","C",527.76,6,6.65572620368515,17,6.04514941402347,16,0.011454353141624,0.0303168106715174,0.0625,"ID_C"
"ENCA","ENCA12","T",263.88,4,16.4192360533075,17,4.94570220472436,14,0.0187422396722918,0.0530544186751554,0.214285714285714,"DD"
"ENCA","ENCA14","T",175.92,5,2.03532278241925,7,2.03532278241925,7,0.0115695928968807,0.0397908140063665,0,"ID_T"
"ENCA","ENCA2","C",703.68,8,8.22087708398803,18,4.13916297380624,13,0.00588216657259868,0.0184743065029559,0.384615384615385,"ID_C"
"ENCA","ENCA3","T",615.72,10,14.9761222489495,22,12.125845201859,21,0.0196937653509047,0.034106412005457,0.0476190476190476,"ID_T"
"ENCA","ENCA4","C",615.72,12,18.3411335188293,36,15.863684417667,33,0.0257644455558809,0.0535957902942896,0.0909090909090909,"ID_C"
"ENCA","ENCA5","C",439.8,15,12.2985697125205,24,9.95395563304507,21,0.0226329141269783,0.0477489768076398,0.142857142857143,"ID_C"
"ENCA","ENCA6","T",527.76,8,15.4173388597296,18,4.65374813093248,15,0.00881792506240048,0.0284220100045475,0.2,"ID_T"
"ENCA","ENCA7","C",659.7,7,14.3572097339205,17,11.2698770496149,15,0.0170833364402227,0.022737608003638,0.133333333333333,"ID_C"
"ENCA","ENCA8","T",791.64,7,33.0639629435975,26,26.5920160599996,23,0.0335910465110399,0.0290536102268708,0.130434782608696,"DD"
"ENCA","ENCA9","T",791.64,10,35.5268658093275,29,28.3691590244079,23,0.0358359342938809,0.0290536102268708,0.260869565217391,"DD"
"ERFA","ERFA1","C",564.59,14,19.7793629762291,30,14.6731586082379,28,0.0259890515387058,0.0495935103349333,0.0714285714285714,"ID_C"
"ERFA","ERFA10","T",477.73,21,24.8267213789322,33,10.1353431679243,24,0.0212156305191726,0.0502375818977247,0.375,"ID_T"
"ERFA","ERFA11","T",651.45,20,10.4050782235656,31,5.16325119643011,27,0.0079257827867528,0.0414460050656228,0.148148148148148,"DD"
"ERFA","ERFA12","T",651.45,14,10.9537637897495,34,7.52042774280545,28,0.0115441365305172,0.0429810422902755,0.214285714285714,"DD"
"ERFA","ERFA13","T",304.01,14,8.6864762385018,20,4.13282055064384,15,0.0135943572601027,0.0493404822209796,0.333333333333333,"ID_T"
"ERFA","ERFA2","T",608.02,16,16.1538283929252,45,3.94746967175918,37,0.00649233523857632,0.0608532614058748,0.216216216216216,"DD"
"ERFA","ERFA3","T",477.73,24,2.58359808220049,17,2.58359808220049,17,0.00540807167688965,0.0355849538442216,0,"ID_T"
"ERFA","ERFA4","C",434.3,25,7.81204479640966,28,5.99256544675036,22,0.013798216547894,0.050656228413539,0.272727272727273,"ID_C"
"ERFA","ERFA5","C",608.02,16,10.9975880496789,25,4.62574554677443,19,0.00760788386364664,0.0312489720732871,0.315789473684211,"ID_C"
"ERFA","ERFA6","T",477.73,18,16.9261748262732,28,12.1382216491961,25,0.0254081210080926,0.0523308144767965,0.12,"ID_T"
"ERFA","ERFA7","C",955.46,35,12.2887254626724,30,8.56671215548485,26,0.00896606048969591,0.0272120235279342,0.153846153846154,"ID_C"
"ERFA","ERFA8","T",1042.32,30,7.60803298554308,28,5.32927983105914,27,0.00511290182579164,0.0259037531660143,0.037037037037037,"DD"
"ERFA","ERFA9","C",825.17,24,11.6984501552935,28,6.69226360405587,21,0.00811016348637961,0.0254493013560842,0.333333333333333,"ID_C"
"ERPA","ERPA1","T",542.24,30,8.96555863090125,7,8.03258511477327,6,0.0148137081638634,0.0110652109766893,0.166666666666667,"ID_T"
"ERPA","ERPA10","C",847.25,25,8.01342693070594,14,4.05579922189733,11,0.00478701590073453,0.0129831808793154,0.272727272727273,"ID_C"
"ERPA","ERPA11","T",508.35,18,2.39629979144087,16,1.12732463349785,13,0.00221761509491068,0.0255729320350152,0.230769230769231,"DD"
"ERPA","ERPA12","T",643.91,11,9.64674634835244,18,5.85101329016526,14,0.00908669424324092,0.0217421689366526,0.285714285714286,"ID_T"
"ERPA","ERPA13","T",948.92,15,9.30987467722146,27,7.52110416336394,25,0.00792596231859792,0.0263457404206888,0.08,"ID_T"
"ERPA","ERPA2","C",610.02,18,2.36830184041556,6,2.36830184041556,6,0.0038823347438044,0.00983574309039048,0,"ID_C"
"ERPA","ERPA3","T",542.24,25,30.5804719132026,23,22.4476387480728,17,0.0413979764459885,0.0313514311006197,0.352941176470588,"DD"
"ERPA","ERPA4","C",847.25,30,15.2963168394707,20,12.5314316654703,17,0.0147907130899619,0.0200649159043966,0.176470588235294,"ID_C"
"ERPA","ERPA5","T",813.36,31,20.2015376479655,39,6.65625075363885,29,0.00818364654475122,0.0356545687026655,0.344827586206897,"DD"
"ERPA","ERPA6","C",305.01,22,2.36813860970498,12,2.36813860970498,12,0.00776413432249755,0.0393429723615619,0,"ID_C"
"ERPA","ERPA7","T",1152.26,20,22.0015037798603,26,5.2223713160236,19,0.00453228552238522,0.0164893340044782,0.368421052631579,"ID_T"
"ERPA","ERPA8","C",982.81,90,25.1728573564273,29,17.5661708728837,24,0.0178734148745777,0.0244197759485557,0.208333333333333,"ID_C"
"ISME","ISME1","T",876.96,17,16.0594835182542,15,13.9812460964778,12,0.0159428549722653,0.0136836343732895,0.25,"ID_T"
"ISME","ISME10","C",779.52,19,35.495195685501,21,35.495195685501,21,0.0455346824783213,0.0269396551724138,0,"ID_C"
"ISME","ISME11","C",974.4,10,39.8633689579882,33,38.4176930202573,31,0.0394270248565859,0.0318144499178982,0.0645161290322581,"ID_C"
"ISME","ISME12","C",1364.16,24,20.4074471719127,35,19.2815048986114,32,0.0141343426713959,0.0234576589256392,0.09375,"ID_C"
"ISME","ISME13","C",779.52,11,23.2363388359087,25,23.2363388359087,25,0.0298085217004165,0.0320710180623974,0,"ID_C"
"ISME","ISME2","T",779.52,17,12.7478084574712,18,5.86547889303951,13,0.00752447518093123,0.0166769293924466,0.384615384615385,"DD"
"ISME","ISME3","T",876.96,14,24.6761813099402,10,18.9326172367419,8,0.021588917666418,0.00912242291552636,0.25,"DD"
"ISME","ISME4","T",1071.84,15,14.6025644803826,19,10.5191772472827,16,0.00981413013815748,0.0149276011344977,0.1875,"ID_T"
"ISME","ISME5","T",876.96,14,16.7868407696266,16,8.77165330424141,13,0.0100023413887081,0.0148239372377303,0.230769230769231,"DD"
"ISME","ISME6","T",584.64,14,25.8119808816168,32,25.8119808816168,32,0.044150213604298,0.0547345374931582,0,"ID_T"
"ISME","ISME7","T",1169.28,21,12.2769042255506,15,10.1780515182692,13,0.00870454597553124,0.0111179529282978,0.153846153846154,"ID_T"
"ISME","ISME8","T",682.08,11,37.2507676179896,28,33.7303930329586,23,0.0494522534496812,0.0337203847056064,0.217391304347826,"DD"
"ISME","ISME9","C",1071.84,25,25.8453467190412,25,24.8199418758354,23,0.0231563870314929,0.0214584266308404,0.0869565217391304,"ID_C"
"LUAL","LUAL1","T",252.76,4,19.6698472172706,35,16.8556718602072,31,0.0666864688250009,0.122645988289286,0.129032258064516,"DD"
"LUAL","LUAL10","T",505.52,7,10.6911750714348,9,10.3733213805458,7,0.0205201008477326,0.0138471277100807,0.285714285714286,"DD"
"LUAL","LUAL11","T",505.52,5,42.6864543698022,41,30.5963531108934,34,0.0605245155698951,0.0672574774489634,0.205882352941176,"ID_T"
"LUAL","LUAL12","T",758.28,11,32.5645074360651,51,23.4718086844453,44,0.0309540126133425,0.0580260589755763,0.159090909090909,"ID_T"
"LUAL","LUAL13","T",631.9,10,22.9812284096708,36,22.8355324629924,35,0.0361378896391714,0.0553885108403228,0.0285714285714286,"DD"
"LUAL","LUAL2","C",379.14,12,14.4699793202973,25,6.25049623518524,22,0.0164859846895217,0.0580260589755763,0.136363636363636,"ID_C"
"LUAL","LUAL3","C",379.14,5,6.52480454147973,15,5.74724842898773,13,0.015158644376715,0.0342881257582951,0.153846153846154,"ID_C"
"LUAL","LUAL4","T",505.52,7,4.8531359829341,16,0.806259380414109,14,0.00159491094400639,0.0276942554201614,0.142857142857143,"ID_T"
"LUAL","LUAL5","C",315.95,5,3.19880984445269,16,2.76167047185801,15,0.0087408465638804,0.0474758664345624,0.0666666666666667,"ID_C"
"LUAL","LUAL6","T",379.14,3,18.0748569066477,23,12.5528655684303,19,0.0331087871721009,0.0501134145698159,0.210526315789474,"ID_T"
"LUAL","LUAL7","T",631.9,4,34.8823685353849,39,18.9906765537536,29,0.0300532941189328,0.0458933375534104,0.344827586206897,"DD"
"LUAL","LUAL8","C",568.71,9,8.0250920222177,9,8.0250920222177,9,0.0141110443322919,0.0158252888115208,0,"ID_C"
"LUAL","LUAL9","C",821.47,5,10.9788566207137,28,10.368279831052,27,0.0126216171388511,0.0328679075316201,0.037037037037037,"ID_C"
"SAAP","SAAP1","T",1433.7,12,47.674204117129,37,23.8779855754772,31,0.0166547991738001,0.0216223756713399,0.193548387096774,"ID_T"
"SAAP","SAAP10","T",1529.28,13,33.6402441156471,73,28.7496428907105,69,0.018799463074591,0.0451192718141871,0.0579710144927536,"ID_T"
"SAAP","SAAP11","T",1146.96,10,49.8118738621084,46,49.4584004993668,45,0.0431212949879393,0.0392341494036409,0.0222222222222222,"DD"
"SAAP","SAAP12","C",860.22,8,10.4566038345282,21,9.94390141292523,20,0.0115597189241418,0.0232498663132687,0.05,"ID_C"
"SAAP","SAAP15","T",764.64,8,40.9058952658257,38,17.7753589181702,26,0.0232467029166276,0.0340029294831555,0.461538461538462,"ID_T"
"SAAP","SAAP2","C",764.64,7,16.9438652877483,38,14.617779135258,35,0.0191172043514045,0.0457731743042478,0.0857142857142857,"ID_C"
"SAAP","SAAP3","T",1146.96,14,64.3143305807237,52,31.3253444824384,37,0.0273116276787669,0.0322591895096603,0.405405405405405,"ID_T"
"SAAP","SAAP4","C",1624.86,13,20.2129359360913,37,15.7437155238912,34,0.00968927509071011,0.0209248796819418,0.0882352941176471,"ID_C"
"SAAP","SAAP5","T",716.85,17,7.73792666783051,19,7.73792666783051,19,0.0107943456341362,0.0265048475971263,0,"DD"
"SAAP","SAAP6","C",1146.96,9,14.4242764293367,31,12.8605873087857,28,0.0112127600864771,0.0244123596289321,0.107142857142857,"ID_C"
"SAAP","SAAP7","T",860.22,11,36.8096697625107,33,26.848854677421,27,0.0312116140957209,0.0313873195229127,0.222222222222222,"DD"
"SAAP","SAAP8","C",573.48,8,3.03656557819662,6,3.03656557819662,6,0.00529498078084087,0.0104624398409709,0,"ID_C"
"SAAP","SAAP9","T",955.8,6,23.6032895073197,22,22.2840802710502,21,0.0233145849247229,0.0219711236660389,0.0476190476190476,"DD"
"SAME","SAME1","T",376.5,5,12.9298011480074,12,10.5511009103097,10,0.0280241724045409,0.0265604249667995,0.2,"DD"
"SAME","SAME10","T",502,4,10.4188458242445,24,2.4035403429444,18,0.00478792897000876,0.0358565737051793,0.333333333333333,"ID_T"
"SAME","SAME11","C",753,8,7.38196920950325,13,5.93629327177234,11,0.00788352360129129,0.0146082337317397,0.181818181818182,"ID_C"
"SAME","SAME12","T",502,7,12.5263223880804,27,8.96106855132827,24,0.0178507341659926,0.047808764940239,0.125,"DD"
"SAME","SAME14","T",376.5,14,22.2161895563593,19,10.8698852720034,14,0.0288708772164766,0.0371845949535193,0.357142857142857,"DD"
"SAME","SAME2","C",627.5,6,4.30488536862673,10,4.30488536862673,10,0.00686037508944499,0.0159362549800797,0,"ID_C"
"SAME","SAME3","T",502,4,12.028565930133,17,5.16435116831617,13,0.0102875521281199,0.0258964143426295,0.307692307692308,"ID_T"
"SAME","SAME4","T",627.5,4,23.7282527483364,42,14.3767411470644,36,0.0229111412702221,0.0573705179282869,0.166666666666667,"ID_T"
"SAME","SAME5","T",313.75,5,9.59679324145713,24,7.42178700745805,22,0.0236550980317388,0.0701195219123506,0.0909090909090909,"DD"
"SAME","SAME6","C",439.25,4,14.3979319650322,16,14.3979319650322,16,0.0327784449972276,0.0364257256687536,0,"ID_C"
"SAME","SAME7","T",439.25,8,5.62868876769037,14,4.08513846190071,12,0.00930025830825431,0.0273192942515652,0.166666666666667,"ID_T"
"SAME","SAME8","C",NA,6,3.39164096763521,12,3.39164096763521,12,NA,NA,0,"ID_C"
"SAME","SAME9","C",439.25,6,5.64428323891836,9,5.64428323891836,9,0.012849819553599,0.0204894706886739,0,"ID_C"
