"species","variable","C_mean","C_se","C_sd","C_n","T_mean","T_se","T_sd","T_n","yi","vi","sei","zi","ci.lb","ci.ub"
"ARCA","omni_mg_dens",0.00296725669185117,0.00179789020127275,0.00402020470612665,5,0.000207064250462617,0.000135480918319552,0.00035844881726819,7,2.66236399835774,0.795227580333508,0.891755336588185,2.98553189324756,0.914555655623506,4.41017234109198
"ARCA","herb_mg_dens",0.0100893517868849,0.00177111453665678,0.0039603324999026,5,0.0182951554046325,0.00378906466581056,0.0100249228072768,7,-0.595155703633944,0.0737088598574975,0.271493756571855,-2.19215245001933,-1.12727368854226,-0.0630377187256238
"ARCA","pred_mg_dens",0.0120722828154149,0.00337327396678406,0.00754286989645952,5,0.00685981696892831,0.00222176220636243,0.00587823027035716,7,0.565231388110443,0.182975932345549,0.427756861248945,1.32138473819007,-0.273156654077386,1.40361943029827
"ARCA","plant_total_mg_dens",0.025128891294151,0.00602487305015957,0.0134720256959633,5,0.0253620366240234,0.0029725430073898,0.00786460955899746,7,-0.00923520309662251,0.071221164584259,0.266872937152232,-0.0346052439605538,-0.532296548363418,0.513826142170173
"ARCA","iph_mg_omni",0.892000919616274,0.156787323520861,0.350587113402897,5,0.512582634436454,0.18922932211291,0.500653727072095,7,0.554005227599511,0.16718054328707,0.408877173839615,1.35494290962015,-0.247379307226656,1.35538976242568
"ARCA","iph_abun_omni",0.254114774114774,0.0694712291192255,0.155342390791051,5,0.147425403727925,0.0562281551330635,0.148765715162046,7,0.544463721137405,0.220206000005137,0.469261121344116,1.1602574693976,-0.375271176041942,1.46419861831675
"ARCA","iph_mg",1.29758273664804,0.368888597169705,0.824859979395998,5,0.518838182790314,0.190242338328169,0.503333916051747,7,0.916666331190619,0.215267085405594,0.463968840985679,1.97570666435963,0.00730411290989741,1.82602854947134
"ARCA","iph_abun",0.269176710758861,0.0704493347519835,0.157529501475073,5,0.149262677098812,0.056289366866409,0.148927666185797,7,0.589660393894161,0.210714742263146,0.459036754806351,1.28456030529171,-0.310035113106431,1.48935590089475
"ARCA","herb_omni_mg_dens",0.0130566084787361,0.00279993248158194,0.00626083936122689,5,0.0185022196550951,0.00378563227689867,0.0100158415598131,7,-0.348596303812479,0.0878498114042118,0.296394688556006,-1.17612196598661,-0.929519218591217,0.232326610966259
"ARDO","omni_mg_dens",0.00172805011584583,0.00144849144563263,0.00323892533726151,5,0.00118116423988668,0.000824351601319064,0.00218102932996811,7,0.380493076150812,1.1897024802206,1.09073483497164,0.348841041792441,-1.75730791707684,2.51829406937846
"ARDO","herb_mg_dens",0.0334408767572909,0.00653217714238326,0.0146063921314393,5,0.0491127571715413,0.0166337580173368,0.0440087870823,7,-0.384339814556075,0.152863385280926,0.390977474134925,-0.983022910479596,-1.15064158262697,0.381961953514818
"ARDO","pred_mg_dens",0.0132119802974399,0.00761527482537324,0.0170282721768774,5,0.0159689846280709,0.00545991163600797,0.0144455683692649,7,-0.189524363982704,0.449127876495741,0.670170035510198,-0.282800414731195,-1.50303349710062,1.12398476913521
"ARDO","plant_total_mg_dens",0.0483809071705767,0.00683667546741025,0.0152872710852345,5,0.0662629060394989,0.0189588658620253,0.0501604442107512,7,-0.314524998088928,0.10183060166631,0.319109074873013,-0.985634765210268,-0.939967291979928,0.310917295802072
"ARDO","iph_mg_omni",0.486724190558591,0.315766365986653,0.706075059354234,5,0.585362078198615,0.277784355541126,0.734948322866166,7,-0.184532974033786,0.646086321293756,0.803794949781196,-0.229577175228606,-1.75994212656011,1.39087617849254
"ARDO","iph_abun_omni",0.149125541125541,0.0276608485531624,0.0618515376801977,5,0.141706670053439,0.0592072940738699,0.156647775920528,7,0.0510292918390781,0.20897551747232,0.457138400785058,0.111627664076008,-0.844945509649871,0.947004093328027
"ARDO","iph_mg",0.502473896731771,0.312317352076588,0.698362829795986,5,0.711605229408492,0.387042804173074,1.02401900657903,7,-0.347979612786565,0.682164344540741,0.825932409184154,-0.421317300201714,-1.96677738845191,1.27081816287878
"ARDO","iph_abun",0.165915750915751,0.0327179796804035,0.073159626651839,5,0.145602773949543,0.0607522832819317,0.160735433143338,7,0.130597947486072,0.212981243534392,0.4614989095701,0.282986470342319,-0.773923294175832,1.03511918914798
"ARDO","herb_omni_mg_dens",0.0351689268731368,0.00588374958840328,0.0131564640422561,5,0.050293921411428,0.0163767928471142,0.0433289211462856,7,-0.357721289655119,0.134018677021042,0.366085614332279,-0.977151998467854,-1.07523590900461,0.359793329694368
"ENCA","omni_mg_dens",0.000154785350028292,0.000154785350028292,0.000379145127227406,6,0.000881480681560605,0.000839777363760993,0.00222184206117301,7,-1.73956376756453,1.90761722717788,1.38116517012915,-1.25949003434677,-4.4465977577188,0.967470222589743
"ENCA","herb_mg_dens",0.0151846447911402,0.00431945519668875,0.0105804611987006,6,0.0228800176280829,0.00432884449904399,0.0114530460087404,7,-0.409979230833589,0.116714391398049,0.341634880242122,-1.20005085705251,-1.0795712919708,0.259612830303625
"ENCA","pred_mg_dens",0.00349868412918412,0.000966983604753999,0.00236861642128442,6,0.0172771399429501,0.00622467728226795,0.0164689480805144,7,-1.59699730240316,0.206193204107758,0.454085018589865,-3.51695659848576,-2.48698758475849,-0.70700702004782
"ENCA","plant_total_mg_dens",0.0188381142703526,0.00482978616862494,0.0118305116798829,6,0.0410386382525936,0.00818318177784016,0.0216506639174005,7,-0.778631847000813,0.105493732801811,0.324797987681284,-2.39728039129622,-1.41522420510721,-0.142039488894413
"ENCA","iph_mg_omni",0.278087266435677,0.14542940313865,0.356227831287202,6,0.906274662916287,0.387032668497966,1.02399219010332,7,-1.18140744757722,0.455869806502109,0.675181313798086,-1.74976324645519,-2.5047385056559,0.141923610501468
"ENCA","iph_abun_omni",0.131024129379393,0.0543397545357815,0.133104671360752,6,0.157541277380517,0.0380472808018502,0.100663643063938,7,-0.184306002560159,0.23032722280406,0.479924184433396,-0.38403149609506,-1.12494011935937,0.756328114239056
"ENCA","iph_mg",0.308901525833211,0.175574029116369,0.430066783419661,6,0.914082718843668,0.384867364833059,1.01826333509304,7,-1.08489852989377,0.500334461080072,0.707343241347559,-1.53376531572837,-2.47126580764281,0.301468747855268
"ENCA","iph_abun",0.136366009721273,0.059356602539929,0.145393389088014,6,0.166147160618633,0.0389186344027347,0.102969027995879,7,-0.197531386626518,0.24433289821139,0.49430041291849,-0.399618089453409,-1.16634239349004,0.771279620237
"ENCA","herb_omni_mg_dens",0.0153394301411685,0.00424831688447434,0.0104062086326125,6,0.0237614983096435,0.00456301564313343,0.0120726046202285,7,-0.437639905982189,0.113580589120466,0.337017194102119,-1.29856848149291,-1.09818146859309,0.22290165662871
"ERFA","omni_mg_dens",0.00354973032959224,0.00228005467972102,0.00509835725627272,5,0.00195676516495189,0.00114583477211261,0.00324091014992067,8,0.595578953362796,0.755471333036154,0.869178539217435,0.685220500150666,-1.10797967963851,2.2991375863641
"ERFA","herb_mg_dens",0.00934454485567215,0.00170060576810626,0.00380267010041384,5,0.0101309019407851,0.00207843456717976,0.00587870070682135,8,-0.0807976157612907,0.0752098143612767,0.274244078078774,-0.294619363624261,-0.618306131769078,0.456710900246497
"ERFA","pred_mg_dens",0.00673511590813209,0.00131040566660555,0.00293015614863093,5,0.0114164908127158,0.0036059472254688,0.0101991589429192,8,-0.527723853122321,0.137618748455804,0.370970010183848,-1.42255125383529,-1.25481171242712,0.199364006182477
"ERFA","plant_total_mg_dens",0.0196293910933965,0.00398672668404629,0.00891459187323983,5,0.0235041579184528,0.00547570252333054,0.0154876255440293,8,-0.180149349577323,0.0955233639706845,0.309068542512312,-0.582878309493911,-0.78591256165574,0.425613862501094
"ERFA","iph_mg_omni",0.642324482679285,0.199521072321044,0.446142680653507,5,0.992167768161584,0.342760979841924,0.969474452689479,8,-0.434798613376145,0.215834231545037,0.464579628852834,-0.935896854646371,-1.34535795387868,0.475760727126394
"ERFA","iph_abun_omni",0.229424961003908,0.0504013314811596,0.112700803348373,5,0.180502556127556,0.0465744726939829,0.131732501888412,8,0.23983106968774,0.114839467995279,0.338879724969315,0.707717375860878,-0.424360986342956,0.904023125718436
"ERFA","iph_mg",0.81348526017612,0.196437166180486,0.439246856886989,5,1.15894607315326,0.438652280429142,1.24069600829756,8,-0.353938506011688,0.201567154957633,0.448962309061277,-0.788347927806519,-1.23388846218773,0.526011450164355
"ERFA","iph_abun",0.315033738191633,0.106515172610671,0.238175166592584,5,0.263126349235684,0.0814775955245893,0.230453441240847,8,0.18004540630046,0.210200823173438,0.458476633181494,0.392703560596046,-0.71855228248845,1.07864309508937
"ERFA","herb_omni_mg_dens",0.0128942751852644,0.00345365608001783,0.00772260976582533,5,0.012087667105737,0.00268997183515839,0.00760838930336527,8,0.0645977434212697,0.121263888124341,0.348229648542942,0.185503284087264,-0.617919826071938,0.747115312914478
"ERPA","omni_mg_dens",0.00000124912001950547,0.00000124912001950547,0.00000279311727567009,5,0.000564620645630521,0.000291287760779022,0.000770674974978167,7,-6.11371476297262,1.2661527546259,1.12523453316449,-5.43328042535192,-8.31913392213576,-3.90829560380948
"ERPA","herb_mg_dens",0.00981827346629571,0.00277886445514802,0.00621372982196888,5,0.0120293634020463,0.00510754400887647,0.013513291257805,7,-0.203105322238369,0.260382323568564,0.510276712743746,-0.398029769272198,-1.2032293013656,0.797018656888864
"ERPA","pred_mg_dens",0.00313484832828362,0.00147031000673581,0.00328771312305945,5,0.00831582091932414,0.00257168799254056,0.00680404687791326,7,-0.97557904250938,0.315617868682218,0.56179877953073,-1.7365275220503,-2.07668441694817,0.125526331929408
"ERPA","plant_total_mg_dens",0.0129543709145988,0.00392247054927429,0.00877091078791825,5,0.020909804967001,0.00639533126979811,0.0169204560917607,7,-0.478784932576873,0.185228754020038,0.43038210234632,-1.11246478412247,-1.32231835276629,0.364748487612545
"ERPA","iph_mg_omni",0.325892244942799,0.181292895492382,0.405383238158732,5,1.10551048581256,0.430897284286323,1.14004705483471,7,-1.22149569564169,0.461388800419875,0.679256063955174,-1.79828456521855,-2.55281311727427,0.109821725990882
"ERPA","iph_abun_omni",0.13150623885918,0.0558817310418647,0.12495534930997,5,0.261334285494178,0.040884045545046,0.10816901710243,7,-0.686746080859838,0.205045140775406,0.452819103810126,-1.51660138691454,-1.57425521583939,0.200763054119714
"ERPA","iph_mg",0.326147200675406,0.181521423382728,0.4058942420563,5,1.44985861793837,0.726661942977569,1.92256678833365,7,-1.4918725105214,0.560958697449881,0.74897176011508,-1.99189420745607,-2.95983018578453,-0.0239148352582734
"ERPA","iph_abun",0.136960784313725,0.0594783002828486,0.132997522618595,5,0.335707447837265,0.083295403600005,0.220378923280368,7,-0.896545450764406,0.250155641086988,0.500155616870378,-1.79253300477631,-1.87683244649576,0.0837415449669477
"ERPA","herb_omni_mg_dens",0.00981952258631522,0.00277829857959141,0.0062124644857575,5,0.0125939840476768,0.00502564791964976,0.0132966145723624,7,-0.248846738685472,0.239294983540683,0.48917786493328,-0.508704004257046,-1.2076177359889,0.709924258617956
"ISME","omni_mg_dens",0.000219640258528992,0.000137785024503929,0.000308096681072259,5,0.0000139272487953517,0.0000139272487953517,0.0000393922082658616,8,2.75814375331063,1.39353208193048,1.18047959826948,2.33646033133813,0.444446256218127,5.07184125040313
"ISME","herb_mg_dens",0.0301925514891135,0.00558411571738316,0.0124864623382938,5,0.0208835392982035,0.00590570477143192,0.016703855566261,8,0.368633999258235,0.114178046013224,0.337902420845463,1.09094808594706,-0.293642575887768,1.03091057440424
"ISME","pred_mg_dens",0.000653141756928694,0.000288508451473128,0.000645124509577113,5,0.00470672811994912,0.00117369590233025,0.00331971332635433,8,-1.97495408757471,0.257303359546603,0.507250785654003,-3.89344707476082,-2.9691473585862,-0.980760816563215
"ISME","plant_total_mg_dens",0.0310653335045712,0.00554796120869313,0.0124056183991697,5,0.0256041946669479,0.00558073472440414,0.0157847014705176,8,0.193336326919121,0.0794017444815492,0.281783151521785,0.686117412893559,-0.35894850151377,0.745621155352012
"ISME","iph_mg_omni",0.0274678317373252,0.011748272458714,0.0262699358358731,5,0.404737768424953,0.147567583812638,0.417384156788921,8,-2.69022380705809,0.315869544035447,0.562022725550708,-4.78668154285403,-3.79176810763052,-1.58867950648567
"ISME","iph_abun_omni",0.0490445301542777,0.0205985441087539,0.0460597448647014,5,0.209265259197324,0.0382500491494968,0.108187476537312,8,-1.45087396591548,0.20980676495602,0.45804668425393,-3.16752421923689,-2.34862897029117,-0.553118961539783
"ISME","iph_mg",0.0278558974635602,0.0120072218122896,0.0268489641931978,5,0.406942216999958,0.149215158423575,0.42204420150854,8,-2.68162650031763,0.320252031903771,0.565908147939019,-4.7386250049303,-3.79078608883587,-1.57246691179939
"ISME","iph_abun",0.0502945301542777,0.0213026626986829,0.047634201896004,5,0.218006517938583,0.0444681148744753,0.125774822297296,8,-1.46662863439814,0.221007824174347,0.470114692574426,-3.11972515976185,-2.38803650044713,-0.545220768349148
"ISME","herb_omni_mg_dens",0.0304121917476425,0.00560328667852827,0.0125293299106082,5,0.0208974665469988,0.00590118131270095,0.0166910612928887,8,0.375215638569397,0.113688773574476,0.337177658771272,1.11281287122267,-0.285640429013832,1.03607170615263
"LUAL","omni_mg_dens",0.00233860573109128,0.00128238710104294,0.0028675047314009,5,0.0026882489681338,0.00120774470778508,0.00341601789126797,8,-0.139335130073743,0.502535547097706,0.708897416484012,-0.196551894299202,-1.5287485351159,1.25007827496841
"LUAL","herb_mg_dens",0.0122252249076285,0.00147776599906769,0.00330438522875325,5,0.032259248498139,0.0072276577457675,0.0204429032165107,8,-0.970303344722018,0.0648096240729757,0.254577343989947,-3.81142850151007,-1.46926577022218,-0.471340919221858
"LUAL","pred_mg_dens",0.00517139374208434,0.00414093824385999,0.00925941940389955,5,0.0119524318757077,0.00328954911722684,0.00930424995134927,8,-0.837792527118998,0.716929524576833,0.846716909348593,-0.989460016528475,-2.49732717454331,0.82174212030531
"LUAL","plant_total_mg_dens",0.0197352243808041,0.00613704938332428,0.0137228596023863,5,0.0468999293419805,0.00907885624861332,0.0256788832752494,8,-0.865611090144766,0.134174872059823,0.36629888350884,-2.36312784208602,-1.58354370939933,-0.147678470890206
"LUAL","iph_mg_omni",0.265917047277387,0.180003329881149,0.402499681790569,5,0.910319144094742,0.594513568462619,1.68153830306932,8,-1.23061083801872,0.884731231276295,0.940601526299153,-1.30832324168197,-3.07415595336846,0.612934277331027
"LUAL","iph_abun_omni",0.0765099715099715,0.0281433357190459,0.0629304117813846,5,0.188312784904479,0.0345216498497833,0.0976419708261173,8,-0.900683250950185,0.168911893725378,0.410988921657723,-2.19150250405115,-1.70620673544428,-0.0951597664560933
"LUAL","iph_mg",0.352345608266093,0.246093704913686,0.550282253021775,5,1.00153697611144,0.62056084977678,1.75521114006419,8,-1.04467853958279,0.871738861517702,0.933669567629631,-1.11889535206227,-2.87463726559795,0.785280186432376
"LUAL","iph_abun",0.0961253561253562,0.0379909589260666,0.0849503666890873,5,0.208276574918711,0.0379167698191371,0.107244820239205,8,-0.773213750925386,0.189343516110906,0.435136204091209,-1.77694649090452,-1.62606503931363,0.0796375374628532
"LUAL","herb_omni_mg_dens",0.0145638306387197,0.00219489041489968,0.00490792417087841,5,0.0349474974662728,0.00735185836035935,0.0207941956037325,8,-0.875305761377962,0.0669679719177246,0.258781707077074,-3.38240972000879,-1.38250858710682,-0.368102935649102
"SAAP","omni_mg_dens",0.0000383181674335808,0.0000383181674335808,0.0000856820271547053,5,0.000507603454056981,0.000351911093296183,0.000995354881778012,8,-2.58377641125524,1.48063653196004,1.21681409096051,-2.12339455176403,-4.96868820541867,-0.198864617091799
"SAAP","herb_mg_dens",0.0113364696792813,0.00223497119385294,0.00499754751720903,5,0.0237992006067311,0.00368156071846897,0.0104130261975177,8,-0.741627058090099,0.0627974493748815,0.250594192620024,-2.95947424134696,-1.23278265036024,-0.250471465819959
"SAAP","pred_mg_dens",0.00155038805162637,0.000592239916709752,0.00132428871275182,5,0.0115094824141837,0.00444085077853377,0.0125606227989551,8,-2.00466599787799,0.294794557331237,0.54294986631478,-3.69217513853437,-3.0688281812658,-0.940503814490185
"SAAP","plant_total_mg_dens",0.0129251758983412,0.00268735825519583,0.00600911573851311,5,0.0358162864749718,0.00563296248238234,0.0159324238778479,8,-1.01922568996822,0.0679643400297287,0.260699712369862,-3.90957734745106,-1.5301877369931,-0.508263642943339
"SAAP","iph_mg_omni",0.123229532602358,0.0486928484849251,0.10888051923039,5,0.494800779000204,0.18931322833644,0.535458670100056,8,-1.39010647983659,0.302521726274382,0.550019750803898,-2.52737556752251,-2.46812538219793,-0.312087577475255
"SAAP","iph_abun_omni",0.066218487394958,0.0189572642750629,0.0423897315864689,5,0.176315845074611,0.0629113335791109,0.177940122349113,8,-0.979317271260766,0.20927196376771,0.457462527173221,-2.14075954442043,-1.87592734879696,-0.0827071937245759
"SAAP","iph_mg",0.123652266108252,0.0486911199968019,0.108876654213448,5,0.501622023513742,0.192425942997636,0.544262756679379,8,-1.40037357428655,0.302213097397592,0.549739117579959,-2.54734205644892,-2.4778424456361,-0.322904702936999
"SAAP","iph_abun",0.0670121381886088,0.0193971023516885,0.0433732394248964,5,0.183094920530157,0.0667902383244202,0.188911321745053,8,-1.00513093981278,0.216853022369715,0.465674803236889,-2.15843960812599,-1.91783678266486,-0.0924250969606988
"SAAP","herb_omni_mg_dens",0.0113747878467149,0.00223394799670317,0.00499525957882777,5,0.0243068040607881,0.00349558207127246,0.0098869991471635,8,-0.759356999829853,0.0592524360743762,0.243418232830608,-3.11955678504281,-1.23644796935823,-0.282266030301476
"SAME","omni_mg_dens",0.000895582414741305,0.000352198389898314,0.000704396779796628,5,0.00175235933228777,0.00113836719091413,0.00321978864070266,8,-0.671244099442985,0.545729690577424,0.738735196519987,-0.908639662229528,-2.11913847873428,0.776650279848309
"SAME","herb_mg_dens",0.0141974583956494,0.00582488414151398,0.011649768283028,5,0.0164586109796315,0.00328235183080139,0.00928389295119898,8,-0.147785841693981,0.17443406551972,0.417653044427692,-0.353848352515881,-0.966370766805764,0.670799083417802
"SAME","pred_mg_dens",0.000479972090880115,0.000479972090880115,0.00095994418176023,5,0.0123182412492583,0.00301497723312922,0.0085276433866749,8,-3.24510851294317,0.859906047055347,0.927311192133119,-3.49948166319265,-5.06260505198498,-1.42761197390135
"SAME","plant_total_mg_dens",0.0155730129012708,0.00586402185807254,0.0117280437161451,5,0.0305292115611775,0.00493202769163094,0.0139498809030083,8,-0.673144507410571,0.139530828669009,0.373538255964512,-1.8020764852383,-1.40526603594892,0.0589770211277765
"SAME","iph_mg_omni",0.048706351642202,0.048706351642202,0.108910713207972,5,0.956555421543882,0.366400028656877,1.03633577956089,8,-2.97752928377496,1.1467204745007,1.07085035112321,-2.7805279053715,-5.07635740480852,-0.878701162741395
"SAME","iph_abun_omni",0.0363636363636364,0.0363636363636364,0.0813115628181743,5,0.218426365301365,0.0356323212095326,0.100783423826711,8,-1.79287968251938,1.02661203655604,1.01321865189901,-1.76948941786564,-3.77875174870566,0.192992383666895
"SAME","iph_mg",0.0547910418596416,0.0547910418596416,0.122516494156195,5,1.18680444029754,0.510397675651188,1.44362263021923,8,-3.07549291893628,1.18495200804414,1.08855500919528,-2.82529857743235,-5.2090215321497,-0.941964305722865
"SAME","iph_abun",0.05,0.05,0.11180339887499,5,0.246106442577031,0.0377267014125398,0.106707225602428,8,-1.59374113032199,1.02349912568473,1.01168133603657,-1.57533906532835,-3.57660011278502,0.389117852141051
"SAME","herb_omni_mg_dens",0.0150930408103907,0.00603848412351869,0.0120769682470374,5,0.0182109703119192,0.0032297496510304,0.00913511151911391,8,-0.187790412782432,0.159507450983739,0.399383839161951,-0.470200329528814,-0.970568353547194,0.59498752798233
